talk	notarget	int	string	float	thing
WannaHelpTimber	Sepertinya pohon-pohon ini perlu ditebang, biarku bantu				Sepertinya pohon-pohon ini perlu ditebang, biarku bantu
WannaHelpMine	Batu-batu ini kelihatannya berharga, mari kita lihat				Batu-batu ini kelihatannya berharga, mari kita lihat
WannaHelpFind	Biarkan saya melihat harta apa yang dimiliki orang-orang ini				Biarkan saya melihat harta apa yang dimiliki orang-orang ini
WannaHelpKill	Kita tidak bisa membiarkan tubuh membusuk, biarkan aku membantu merawatnya.				Kita tidak bisa membiarkan tubuh membusuk, biarkan aku membantu merawatnya.
WannaHelpPlant	Tanaman di ladang terlihat bermanfaat. Biarkan aku menyuburkan mereka.				Tanaman di ladang terlihat bermanfaat. Biarkan aku menyuburkan mereka.
WannaCureFreeze	Radang dingin {0} sangat serius, biarkan aku mengobatinya				Radang dingin {0} sangat serius, biarkan aku mengobatinya
WannaCureHot	Serangan panas {0} sangat serius, biar aku obati				Serangan panas {0} sangat serius, biar aku obati
WannaHeatEndure	aku ingin membantu meningkatkan toleransi panas				aku ingin membantu meningkatkan toleransi panas
WannaColdEndure	aku ingin membantu meningkatkan toleransi dingin				aku ingin membantu meningkatkan toleransi dingin
WannaHelpPlay	{0}kelihatannya sedang tidak dalam suasana hati yang baik				{0}kelihatannya sedang tidak dalam suasana hati yang baik
WannaPlayToy	Aku ingin bermain keras {0}				Aku ingin bermain keras{0}
DoTalkEatShit					aku sedang makan{0}
DoTalkEatEssence					aku sedang makan{0}
DoTalkEatDrug					aku sedang makan{0}
DoTalkEatWheat					aku sedang makan{0}
DoTalkEatDryMeat					aku sedang makan{0}
DoTalkEatPear					aku sedang makan{0}
DoTalkEatMeat					aku sedang makan{0}
DoTalkEatCook					aku sedang makan{0}
DoTalkEat					aku menikmati {0}
DoTalkBiteBuilding					aku menggunakan {0} untuk menggemeretakkan gigi
DoTalkBiteClothes					aku menyerang {0}
DoTalkBiteOuter					aku menyerang {0}
DoTalkBiteInner					aku menggigit pengunjung{0}
DoTalkBiteVisitor					aku menggigit pengunjung{0}
DoTalkBiteIncoming					aku menggigit {0}
DoTalkBiteBuildingEx					Aku menggigit {0} dengan keras
DoTalkBiteClothesEx					aku mencoba mengunyah {0}
DoTalkBiteOuterEx					Aku menggigit {0} dengan keras
DoTalkBiteInnerEx					Aku menggigit {0} dengan keras
DoTalkBiteVisitorEx					aku menggigit pengunjung {0}
DoTalkBiteIncomingEx					aku menggigit pengunjung itu sekuat tenaga {0}
DoTalkAtkEnemy					aku menyerang {0}!
DoTalkShitAtShitPlace					aku sedang buang air besar di ruang kerjaku
DoTalkShitAtPlants					aku kencing di sebelah {0}
DoTalkShitAtDogHouse					Aku sedang buang air besar di sarangku
DoTalkShitAtStorage					Aku sedang buang air besar di gudang
DoTalkShitOnBed					Aku kencing di tempat tidur
DoTalkShitInFarm					aku buang air besar di lahan pertanian
DoTalkCarryOuterToBed					aku memindahkan ketidaksadaran {0} ke tempat tidur
DoTalkCarryVisitorToDest					aku memindahkan pengunjung yang tidak sadarkan diri {0} ke titik pergerakan
DoTalkCarryEnemyToDest					aku memindahkan musuh yang tidak sadarkan diri {0} ke titik transfer
DoTalkCarryIncomingToDest					aku memindahkan pengunjung yang tidak sadarkan diri {0} ke titik pergerakan
DoTalkCarryEnemyBodyToDest					aku menggerakkan tubuh {0} ke titik bergerak
DoTalkCarryVisitorBodyToDest					aku menggerakkan tubuh {0} ke titik bergerak
DoTalkCarryIncomingBodyToDest					aku menggerakkan tubuh {0} ke titik bergerak
DoTalkHelpCarry					aku membantu mengatur berbagai hal
DoTalkHelpTimber					Aku sedang membantu menebang pohon itu
DoTalkHelpMine					Aku membantu milikku
DoTalkHelpFind					aku sedang mencari barang
DoTalkHelpKill					aku sedang menyembelih hewan
DoTalkHelpPlant					aku sedang memupuk tanaman
DoTalkCureFreeze					Aku sedang mengobati radang dingin {0}
DoTalkCureHot					Aku merawat {0} karena serangan panas
DoTalkHelpCook					Aku sedang membantu memasak
DoTalkHeatEndure					Aku membantu meningkatkan toleransi panas
DoTalkColdEndure					Aku membantu meningkatkan toleransi dingin
DoTalkHelpPlay					Aku sedang bermain dengan {0}
DoTalkPlayToy					Aku sedang bermain {0}
DoTalkPlaySelf					Aku menghibur diri aku sendiri
DoTalkTrainQiGan	aku sedang melatih kemampuan reiki aku.				
DoTalkTrainNeiDan	aku melatih kemampuan saya dalam mengendalikan ramuan				
DoTalkTrainHuTi	aku melatih kemampuan saya dalam perlindungan tubuh				
DoTalkTrainLingZhi	aku sedang melatih kemampuan spiritual aku			
DoTalkTrainShuFa	aku sedang melatih keterampilan aku dalam sihir				
DoTalkFollow					
DoTalkLay					
DoTalkWander					
CantEatShit	Aku tidak punya apa-apa untuk dimakan				
CantEatEssence	aku tidak punya harta jenius untuk dimakan				
CantEatDrug	aku tidak punya obat mujarab untuk diminum				
CantEatWheat	aku tidak punya gandum untuk dimakan				
CantEatDryMeat	aku tidak punya dendeng untuk dimakan				
CantEatPear	Saya tidak punya buah pir untuk dimakan				
CantEatMeat	Saya tidak punya daging mentah untuk dimakan				
CantEatCook	Saya tidak punya makanan matang untuk dimakan				
CantBiteBuilding	Saya tidak punya bangunan untuk digigit				
CantBiteClothes	Saya tidak punya pakaian untuk digigit				
CantBiteOuter	Saya tidak punya pintu luar untuk digigit.				
CantBiteInner	Saya tidak punya pintu dalam untuk digigit.				
CantBiteVisitor	Saya tidak punya pengunjung untuk digigit				
CantBiteIncoming	Aku tidak punya manusia yang bisa digigit				
CantAtkEnemy	Saya tidak punya musuh untuk diserang				
CantShitAtShitPlace	Saya tidak punya tempat untuk buang air kecil				
CantShitAtPlants	Saya tidak punya tanaman buang air besar.				
CantShitAtDogHouse	Saya tidak punya sarang untuk dibuang				
CantShitAtStorage	Saya tidak punya gudang untuk dibuang				
CantShitOnBed	Aku tidak punya tempat tidur untuk buang air kecil.				
CantShitInFarm	Saya tidak punya lahan pertanian untuk buang air besar				
CantCarryOuterToBed	Saya tidak punya murid untuk pindah ke tempat tidur				
CantCarryVisitorToDest	Saya tidak memiliki pengunjung untuk pindah ke titik perpindahan				
CantCarryEnemyToDest	Saya tidak punya musuh untuk pindah ke portage				
CantCarryIncomingToDest	Saya tidak punya manusia untuk dipindahkan ke portage.				
CantCarryEnemyBodyToDest	Saya tidak memiliki mayat musuh untuk dipindahkan ke titik transfer				
CantCarryVisitorBodyToDest	Saya tidak memiliki tubuh pengunjung untuk dipindahkan ke situs penghapusan				
CantCarryIncomingBodyToDest	Saya tidak memiliki tubuh pengunjung untuk dipindahkan ke situs penghapusan				
CantHelpCarry	Tidak ada item yang perlu saya bantu atur				
CantHelpTimber	Tidak ada pohon yang perlu saya bantu tebang				
CantHelpMine	Tidak ada milik saya yang perlu saya bantu gali				
CantHelpFind	Saya tidak punya siapa pun untuk dijarah				
CantHelpKill	Saya tidak punya musuh untuk dibantai				
CantHelpPlant	Saya tidak punya tanaman untuk disiram				
CantCureFreeze	Orang yang tidak mengalami radang dingin dapat diobati				
CantCureHot	Orang yang tidak terkena serangan panas dapat diobati				
CantHelpCook	Belum siap membantu memasak				
CantHeatEndure	Peningkatan toleransi panas belum siap				
CantColdEndure	Belum siap untuk meningkatkan toleransi dingin				
CantHelpPlay	Tidak ada murid yang bisa diajak bermain				
CantPlayToy	tidak ada mainan untuk dimainkan				
NoParam2CarryVisitorToDest					Saya tidak menemukan titik pindahan untuk memindahkan pengunjung {0}
NoParam2CarryEnemyToDest					Saya tidak menemukan titik transportasi untuk mengangkut musuh{0}
NoParam2CarryIncomingToDest					Saya tidak menemukan titik bergerak untuk memindahkan manusia {0}
NoParam2CarryEnemyBodyToDest					Saya tidak menemukan titik transportasi untuk mengangkut mayat musuh {0}
NoParam2CarryVisitorBodyToDest					Saya tidak menemukan titik bergerak untuk menggerakkan tubuh pengunjung {0}
NoParam2CarryIncomingBodyToDest					Saya tidak menemukan titik bergerak untuk menggerakkan tubuh manusia {0}
NoParam2HelpCarry	Bantuan untuk pindah belum siap				
NoParam2HelpTimber	Belum siap membantu logging				
NoParam2HelpMine	Penambangan bantuan belum siap				
NoParam2HelpPlant	Bantuan pemupukan belum siap				
NoParam2CureFreeze	Mengobati Radang Dingin Belum Siap				
NoParam2CureHot	Mengobati Heat Stroke Belum Siap				
NoParam2HelpCook	Belum siap membantu memasak				
DrinkTalk1	Saya ingin minum air				
DrinkTalk2	saya haus				
DrinkTalk3	air minum				
NotAtkDizzyOuter	Saya tidak akan menyerang murid luar yang tidak sadarkan diri				
NotAtkDizzyInner	Saya tidak akan menyerang murid batiniah yang tidak sadarkan diri				
NotAtkDizzyComing	Saya tidak akan menyerang manusia yang tidak sadarkan diri.				
NotAtkDizzyVisitor	Saya tidak akan menyerang pengunjung yang tidak sadarkan diri				
NoTongXie	Saya tidak dapat menemukan Tongxiesan				
WannaAtkDizzyOuter					Saya ingin mengakhiri penderitaan murid luar {0}
WannaAtkDizzyInner					Saya ingin mengakhiri penderitaan murid batiniah {0}
WannaAtkDizzyComing					Pengunjung yang koma {0} mempunyai kelemahan besar, saya datang
WannaAtkDizzyVisitor					Pengunjung yang koma {0} terlihat kesakitan dan saya ingin membebaskannya
DoTalkAtkDizzyOuter					Saya menyerang murid luar yang tidak sadarkan diri {0}
DoTalkAtkDizzyInner					Saya menyerang murid batin yang tidak sadarkan diri {0}
DoTalkAtkDizzyComing					Saya menyerang manusia yang tidak sadarkan diri{0}
DoTalkAtkDizzyVisitor					Saya menyerang pengunjung yang tidak sadarkan diri{0}
CantAtkDizzyOuter	Saya tidak memiliki murid luar yang tidak sadar untuk diserang				
CantAtkDizzyInner	Saya tidak memiliki murid batiniah yang tidak sadar untuk diserang				
CantAtkDizzyComing	Saya tidak punya manusia yang tidak sadarkan diri untuk diserang				
CantAtkDizzyVisitor	Saya tidak memiliki pengunjung yang tidak sadar untuk diserang				
NotFeedTongXie	Saya tidak akan memberikan katarsis ke pintu luar				
NotCureInner	Saya tidak tahu cara mengobati cedera pintu bagian dalam.				
WannaFeedTongXie	Saya ingin memberi makan pintu luar dengan Tongchaixin				Saya ingin memberi makan Tongchaixin ke pintu luar {0}
WannaCureInner	Saya tidak tahu cara mengobati cedera pintu bagian dalam.				Saya ingin mengobati cedera pintu bagian dalam {0}
DoTalkFeedTongXie					Saya mengantarkan Tongchaixin ke pintu luar {0}
DoTalkCureInner					Saya sedang mengobati cedera pintu bagian dalam {0}
CantFeedTongXie	Saya tidak punya murid luar yang bisa memberi makan Tongchaisan				
CantCureInner	Saya tidak memiliki murid batiniah yang dapat menyembuhkan luka saya				
NoParam2FeedTongXie					Saya ingin memberi makan Tongcaixin ke pintu luar {0}, tetapi Tongcaixin tidak ada.
NoParam2CureInner					Saya ingin mengobati luka pintu bagian dalam {0}, namun waktunya belum tiba.
NotHelpPlantD	Saya tidak akan buang air kecil di bidang pengobatan				
WannaHelpPlantD	Saya ingin membantu menyirami ladang obat				
DoTalkHelpPlantD	Membantu menyirami ladang obat				
CantHelpPlantD	Tidak dapat membantu menyirami ladang obat				
NoParam2HelpPlantD	Penyiraman belum siap				
NotCarryOuterBodyToDest	Saya tidak akan memindahkan tubuh bagian luar ke titik pelepasan.				
NotCarryInnerBodyToDest	Saya tidak akan memindahkan jenazah dari pintu bagian dalam ke titik pelepasan.				
WannaCarryOuterBodyToDest	Saya ingin memindahkan badan dari pintu luar ke titik bergerak				
WannaCarryInnerBodyToDest	Saya ingin memindahkan badan dari pintu dalam ke titik bergerak				
DoTalkCarryOuterBodyToDest	Saya menggerakkan tubuh luar ke titik bergerak				
DoTalkCarryInnerBodyToDest	Saya memindahkan tubuh dari pintu bagian dalam ke titik bergerak				
CantCarryOuterBodyToDest	Saya tidak bisa memindahkan tubuh luar ke titik pelepasan				
CantCarryInnerBodyToDest	Saya tidak bisa memindahkan badan dari pintu dalam ke titik bergerak				
Sleep1	Aku akan pergi tidur				
Sleep2	Saya tidak bisa membuka mata				
Sleep3	Saya mendengar mimpi memanggil saya				
Wonder1	Lihatlah sekeliling				
Wonder2	melihat pemandangan				
Wonder3	berjalan-jalan				
Lay1	menikmati angin sepoi-sepoi				
Lay2	istirahat				
Lay3	Tidak mau pindah				
Follow1	Lihat apa yang dilakukan orang ini				
Follow2	Ada yang aneh pada orang ini				
Follow3	Orang ini menarik perhatianku				
Eat1	Aku akan mati kelaparan				
Eat2	Aku sangat lapar, aku tidak bisa berjalan				
Eat3	Saatnya makan				
NotFeed_Item_Dan_Happiness	Saya tidak akan memberi makan pil surga kepada murid batiniah				
NotFeed_Item_Dan_PracticeSpeed	Saya tidak akan memberi makan murid batin Huang Yadan				
NotFeed_Item_Dan_CalmDown	Saya tidak akan memberi murid batin pil Qingxin				
NotFeed_Item_LingStone	Saya tidak akan memberi makan batu spiritual murid batin				
NotFeed_Item_LingCrystal	Saya tidak akan memberi makan kristal spiritual murid batin				
WannaFeed_Item_Dan_Happiness	Saya ingin memberi makan pil surga kepada murid-murid batin				
WannaFeed_Item_Dan_PracticeSpeed	Saya ingin memberi makan murid batin Huang Yadan				
WannaFeed_Item_Dan_CalmDown	Saya ingin memberi makan pil Qingxin kepada murid-murid batin				
WannaFeed_Item_LingStone	Saya ingin memberi makan batu spiritual murid batin				
WannaFeed_Item_LingCrystal	Saya ingin memberi makan kristal spiritual murid batin				
DoTalkFeed_Item_Dan_Happiness	Saya memberi makan pil surga kepada murid-murid batin				
DoTalkFeed_Item_Dan_PracticeSpeed	Saya memberi makan murid batin Huang Yadan				
DoTalkFeed_Item_Dan_CalmDown	Saya memberi makan pil Qingxin kepada murid dalam				
DoTalkFeed_Item_LingStone	Saya memberi makan batu spiritual murid batin				
DoTalkFeed_Item_LingCrystal	Saya memberi makan kristal spiritual murid batin				
CantFeed_Item_Dan_Happiness	Saya tidak bisa memberi murid-murid batin Pil Kebahagiaan				
CantFeed_Item_Dan_PracticeSpeed	Saya tidak bisa memberi makan murid batin Huang Yadan				
CantFeed_Item_Dan_CalmDown	Saya tidak bisa memberi murid batin pil Qingxin				
CantFeed_Item_LingStone	Saya tidak bisa memberi makan batu spiritual murid batin				
CantFeed_Item_LingCrystal	Saya tidak bisa memberi makan kristal spiritual murid batin				
NoParam2Feed_Item_Dan_Happiness	Saya tidak dapat menemukan Pil Kebahagiaan				
NoParam2Feed_Item_Dan_PracticeSpeed	Saya tidak dapat menemukan Huang Ya Dan				
NoParam2Feed_Item_Dan_CalmDown	Saya tidak dapat menemukan Pil Qingxin				
NoParam2Feed_Item_LingStone	Saya tidak dapat menemukan batu roh				
NoParam2Feed_Item_LingCrystal	Saya tidak dapat menemukan kristal roh				
QiGanResult_Low	Kemampuan Aura sedikit meningkat				
NeiDanResult_Low	Kemampuan mengendalikan pil sedikit meningkat				
HuTiResult_Low	Kemampuan perlindungan tubuh sedikit meningkat				
LingZhiResult_Low	Kemampuan mental sedikit meningkat				
ShuFaResult_Low	Kemampuan sihir sedikit meningkat				
QiGanResult_Mid	Kemampuan spiritualnya telah meningkat pesat				
NeiDanResult_Mid	Kemampuan mengendalikan pil telah meningkat pesat				
HuTiResult_Mid	Kemampuan perlindungan tubuh telah meningkat pesat				
LingZhiResult_Mid	Kemampuan mental telah meningkat pesat				
ShuFaResult_Mid	Kemampuan sihir telah meningkat pesat				
QiGanResult_High	Kemampuan Aura telah meningkat pesat				
NeiDanResult_High	Kemampuan mengendalikan pil telah meningkat pesat				
HuTiResult_High	Kemampuan perlindungan tubuh telah meningkat pesat				
LingZhiResult_High	Kemampuan mental telah meningkat pesat				
ShuFaResult_High	Kemampuan sihir telah meningkat pesat				
NotBiteExpel	Aku tidak akan menggigit manusia asing				
WannaBiteExpel					Saya ingin menggigit manusia aneh {0}!
DoTalkBiteExpel					Aku sedang menggigit manusia aneh {0}
CantBiteExpel	Aku tidak bisa menggigit manusia aneh!				
NotCarryMortalToDest	Saya tidak akan memindahkan manusia yang tidak sadarkan diri ke titik transfer.				
NotCarryMortalBodyToDest	Saya tidak akan memindahkan mayat fana ke tempat yang bergerak				
WannaCarryMortalToDest					Fana {0} pingsan, saya ingin memindahkannya
WannaCarryMortalBodyToDest					Mortal {0} sudah mati dan saya ingin memindahkannya
DoTalkCarryMortalToDest					Saya sedang memindahkan manusia tak sadarkan diri {0} ke titik transfer
DoTalkCarryMortalBodyToDest					Saya memindahkan tubuh manusia {0} ke titik bergerak
CantCarryMortalToDest	Saya tidak bisa memindahkan manusia yang koma ke titik bergerak				
CantCarryMortalBodyToDest	Saya tidak bisa menggerakkan tubuh fana ke titik bergerak				
Nothing	tidak terjadi apa-apa				
No_NutritionQiGan	Tanpa nutrisi Reiki, olahraga tidak ada gunanya...				
No_NutritionNeiDan	Tanpa nutrisi Yudan, olahraga tidak ada gunanya...				
No_NutritionHuTi	Tanpa nutrisi pelindung tubuh, olahraga tidak ada gunanya...				
No_NutritionLingZhi	Tanpa nutrisi yang cerdas, olahraga tidak ada gunanya…				
No_NutritionShufa	Tanpa nutrisi ajaib, olahraga tidak ada gunanya...				
WannaEat					Berdasarkan rencana makan, saya memutuskan untuk makan sesuatu
WannaTrainShuFa	Saya ingin melatih keterampilan saya yang berhubungan dengan sihir				
WannaTrainLingZhi	Saya ingin melatih kemampuan saya yang berhubungan dengan kecerdasan				
WannaTrainHuTi	Saya ingin mengembangkan kemampuan saya yang berhubungan dengan perawatan tubuh				
WannaTrainNeiDan	Saya ingin melatih kemampuan saya yang berhubungan dengan ramuan kekaisaran				
WannaTrainQiGan	Saya ingin mengembangkan kemampuan saya yang berhubungan dengan Reiki				
NothingToEat	Saya tidak punya apa-apa untuk dimakan! sangat lapar				
NotEat_Item_SnakeGallbladder	Saya tidak akan makan empedu ular				
NotEat_Item_BearGallbladder	Saya tidak akan makan empedu beruang				
NotEat_Item_RedGinseng	Saya tidak akan makan ginseng merah				
NotEat_Item_PurpleGanodermaLucidum	Saya tidak akan makan Zizhi				
NotEat_Item_TuEssence	Saya tidak akan makan ekstrak oker				
NotEat_Item_HuoEssence	Saya tidak tahu cara makan buah merah				
NotEat_Item_ShuiEssence	Saya tidak akan makan Teratai Emas				
NotEat_Item_JinEssence	Saya tidak akan makan buah Langya				
NotEat_Item_MuEssence	Saya tidak akan memakan tanaman merambat yang mati				
NotEat_Item_LifeStream	Saya tidak akan memakan sumber umur panjang				
NotEat_Item_LongEgg	Saya tidak akan makan telur naga				
NotEat_Item_FengEgg	Saya tidak akan makan telur phoenix				
NotEat_Item_DragonShit	Saya tidak akan makan Tianlongsha				
NotEat_Item_Jiaozi	Saya tidak bisa makan pangsit				
NotEat_Item_BossFeng_Meat	Saya tidak akan memakan daging dan darah burung phoenix yang ganas				
NotEat_Item_BossLong_Meat	Aku tidak akan memakan daging dan darah naga				
NotEat_Item_BossZhuLong_Meat	Saya tidak akan makan daging dan darah asli				
NotEat_Item_Cake	Saya tidak tahu cara makan roti				
NotEat_Item_MonsterBlood	Saya tidak akan makan darah iblis				
NotEat_Item_EarthEssence	Saya tidak akan memakan cairan spiritual ibu bumi				
NotEat_Item_SilverGrit	Saya tidak akan makan pasir kristal dingin				
NotEat_Item_CopperGrit	Saya tidak akan memakan pasir tembaga api				
NotEat_Item_Cinnabar	Saya tidak akan makan cinnabar				
NotEat_Item_LingMuXueJie	Saya tidak akan meminum Lingmu Xanax				
NotEat_Item_EarthEssence_1	Saya tidak akan mengonsumsi lemak sumsum				
NotEat_Item_EarthEssence1_1	Saya tidak akan mengonsumsi myeloid				
NotEat_Item_Healroot	Saya tidak bisa minum herbal				
NotEat_Item_Mint	Saya tidak akan makan Qingxincao				
NotEat_Item_MagicHerb	Saya tidak akan makan rumput peri				
NotEat_Item_Laxative	Aku tidak akan memakannya				
WannaEat_Item_SnakeGallbladder					Saya sangat ingin makan empedu ular
WannaEat_Item_BearGallbladder					Saya ingin makan empedu beruang
WannaEat_Item_RedGinseng					Saya sangat ingin makan ginseng merah
WannaEat_Item_PurpleGanodermaLucidum					Saya sangat ingin makan Zizhi
WannaEat_Item_TuEssence					Saya sangat ingin makan sari kuning oker
WannaEat_Item_HuoEssence					Saya sangat ingin makan buah merah
WannaEat_Item_ShuiEssence					Saya sangat ingin makan Teratai Emas
WannaEat_Item_JinEssence					Saya sangat ingin makan buah Langya
WannaEat_Item_MuEssence					Saya sangat ingin makan pohon anggur kayu
WannaEat_Item_LifeStream					Saya sangat ingin memakan sumber umur panjang
WannaEat_Item_LongEgg					Saya sangat ingin makan telur naga
WannaEat_Item_FengEgg					Saya sangat ingin makan telur phoenix
WannaEat_Item_DragonShit					Saya sangat ingin makan Tianlongsha
WannaEat_Item_Jiaozi					Saya sangat ingin makan pangsit
WannaEat_Item_BossFeng_Meat					Saya sangat ingin memakan daging dan darah burung phoenix yang ganas
WannaEat_Item_BossLong_Meat					Saya sangat ingin memakan daging dan darah naga
WannaEat_Item_BossZhuLong_Meat					Saya sangat ingin makan daging dan darah asli
WannaEat_Item_Cake					Saya sangat ingin makan pancake
WannaEat_Item_MonsterBlood					Saya sangat ingin memakan darah roh iblis
WannaEat_Item_EarthEssence					Saya sangat ingin memakan cairan spiritual ibu bumi
WannaEat_Item_SilverGrit					Saya sangat ingin makan pasir kristal yang dingin
WannaEat_Item_CopperGrit					Saya sangat ingin makan pasir tembaga api
WannaEat_Item_Cinnabar					Saya ingin makan cinnabar
WannaEat_Item_LingMuXueJie					Saya sangat ingin makan Lingmu Xanax
WannaEat_Item_EarthEssence_1					Saya sangat ingin makan sumsum spiritual
WannaEat_Item_EarthEssence1_1					Saya sangat ingin makan myeloid
WannaEat_Item_Healroot					Saya ingin makan jamu
WannaEat_Item_Mint					Saya sangat ingin makan Qingxincao
WannaEat_Item_MagicHerb					Saya sangat ingin makan rumput peri
WannaEat_Item_Laxative					Saya sangat ingin makan Tongcaisan
DoTalkEat_Item_SnakeGallbladder					Aku sedang makan empedu ular
DoTalkEat_Item_BearGallbladder					Aku sedang makan empedu beruang
DoTalkEat_Item_RedGinseng					Saya sedang makan ginseng merah
DoTalkEat_Item_PurpleGanodermaLucidum					Saya sedang makan Zizhi
DoTalkEat_Item_TuEssence					Saya mengambil ekstrak oker
DoTalkEat_Item_HuoEssence					Saya sedang makan buah merah
DoTalkEat_Item_ShuiEssence					Saya sedang makan nasturtium
DoTalkEat_Item_JinEssence					Saya sedang makan buah Langya
DoTalkEat_Item_MuEssence					Saya sedang makan kayu mati
DoTalkEat_Item_LifeStream					Saya sedang memakan sumber umur panjang
