Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
Eat_Item_Cinnabar											Saya tidak akan pernah makan cinnabar，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan cinnabar	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk makan cinnabar	Kapan saya bisa menyerap obatnya，Terkadang saya makan cinnabar	Kapan saya bisa menyerap obatnya，Saya sering makan cinnabar
Eat_Item_LingMuXueJie											Saya pasti tidak akan meminum Lingmu Xanax，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan Lingmu Xanax	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan Lingmu Xanax	Kapan saya bisa menyerap obatnya，Terkadang saya mengonsumsi Lingmu Xanax	Kapan saya bisa menyerap obatnya，Saya sering makan Lingmu Xanax
Eat_Item_EarthEssence_1											Saya tidak akan pernah mengonsumsi lemak rohani，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali ambil lemak sumsum	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk mengambil lemak sumsum rohani	Kapan saya bisa menyerap obatnya，Kadang-kadang saya mengambil lemak sumsum rohani	Kapan saya bisa menyerap obatnya，Saya sering mengonsumsi lemak sumsum
Eat_Item_EarthEssence1_1											Saya tidak akan pernah makan myeloid，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali konsumsi myeloid	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan myeloid darah	Kapan saya bisa menyerap obatnya，Kadang-kadang saya mengonsumsi myeloid darah	Kapan saya bisa menyerap obatnya，Sering mengonsumsi myeloid
Eat_Item_Healroot											Saya jelas tidak mengonsumsi herbal，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali minum jamu	Kapan saya bisa menyerap obatnya，Mungkin mengonsumsi herbal	Kapan saya bisa menyerap obatnya，Terkadang saya minum herbal	Kapan saya bisa menyerap obatnya，sering makan jamu
Eat_Item_Mint											Saya tidak akan pernah makan Qingxincao，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan Qingxincao	Kapan saya bisa menyerap obatnya，Qingxincao bisa dimakan	Kapan saya bisa menyerap obatnya，Terkadang saya makan Qingxincao	Kapan saya bisa menyerap obatnya，Sering makan Qingxincao
Eat_Item_MagicHerb											Saya pasti tidak akan makan rumput peri，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan rumput peri	Kapan saya bisa menyerap obatnya，Mungkin memakan obat mujarab	Kapan saya bisa menyerap obatnya，Terkadang saya makan rumput peri	Kapan saya bisa menyerap obatnya，Saya sering makan rumput peri
Eat_Item_Laxative											Saya tidak akan pernah mengambil Tongcai San，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Kadang-kadang menderita diare	Kapan saya bisa menyerap obatnya，Ada kemungkinan Anda akan menderita diare	Kapan saya bisa menyerap obatnya，Terkadang saya diare	Kapan saya bisa menyerap obatnya，Sering menderita diare
ESkill											Saya tidak akan secara aktif menggunakan mantra melawan musuh	Saya akan melepaskan skill pada musuh dengan nilai aura terendah	Saya akan melepaskan skill pada musuh dengan persentase nilai aura terendah	Saya akan melepaskan skill pada musuh dengan nilai aura tertinggi	Saya akan melepaskan keterampilan pada musuh secara acak
FSkill											Saya tidak akan secara aktif menggunakan mantra melawan pihak persahabatan	Saya akan melepaskan skill pada teman dengan nilai aura terendah	Saya akan melepaskan skill pada teman yang persentase nilai auranya paling rendah	Saya akan melepaskan skill pada teman dengan nilai aura tertinggi	Saya akan melepaskan keterampilan pada teman secara acak
Eat_Item_Bamboo											Saya tidak akan pernah makan batang bambu，Kecuali kamu memberiku makan	Saya sesekali makan batang bambu	Saya mungkin makan batang bambu	Saya terkadang makan batang bambu	Saya sering makan batang bambu
Eat_Item_BambooShoot											Saya tidak akan pernah makan rebung，Kecuali kamu memberiku makan	Saya sesekali makan rebung	Saya mungkin makan rebung	Saya terkadang makan rebung	Saya sering makan rebung
Eat_Item_WuDang_HuangJingFen											Saya tidak akan pernah makan bubuk poligonatum，Kecuali kamu memberiku makan	Kapan saya bisa minum obat，Sesekali makan bubuk Polygonatum	Kapan saya bisa minum obat，Dimungkinkan untuk memakan Bubuk Polygonatum	Kapan saya bisa minum obat，Terkadang saya makan Bubuk Polygonatum	Kapan saya bisa minum obat，Saya sering makan Bubuk Polygonatum
Eat_Item_Dan_WuQiNoHunger2											Saya tidak akan pernah meminum Pil Lima Qi Bigu，Kecuali kamu memberiku makan	Kapan saya bisa minum obat，Kadang-kadang saya meminum pil Wu Qi Bigu	Kapan saya bisa minum obat，Dimungkinkan untuk meminum pil Wu Qi Bigu	Kapan saya bisa minum obat，Terkadang saya meminum pil Wu Qi Bigu	Kapan saya bisa minum obat，Saya sering meminum Pil Lima Qi Bigu
Eat_Item_Dan_SanHuaHuangJing											Saya tidak akan pernah meminum Pil Sanhua Huangjing，Kecuali kamu memberiku makan	Kapan saya bisa minum obat，Kadang-kadang saya meminum Pil Sanhua Huangjing	Kapan saya bisa minum obat，Dimungkinkan untuk meminum Pil Sanhua Huangjing	Kapan saya bisa minum obat，Kadang-kadang saya meminum pil Sanhua Huangjing	Kapan saya bisa minum obat，Saya sering meminum Pil Sanhua Huangjing
