ID	Type	Kind	Rate	Times	Content	FlagID
14	1	KeyEvet1	10	100|900	[NAME]Pada[PLACE1]bertemu[MONSTER1]pengepungan，Meski dia nyaris lolos，Tapi tubuh abadi itu hancur，Hampir bereinkarnasi。Situasi putus asa，[NAME]Menerobos secara paksa alam abadi，Tubuh yang larut dengan sendirinya，Buang semua mana，Jiwa memasuki alam reinkarnasi。Hidupkan kembali ratusan reinkarnasi dalam sekejap mata。Untung[NAME]Berkah yang mendalam，Sedikit roh sejati abadi dalam reinkarnasi，Secara mengejutkan berhasil menerobos！\n    Tunggu sampai kamu bangun，[NAME]Kekuatan sihir seluruh tubuh telah dimurnikan menjadi kekuatan abadi，Tubuh fisik juga ditata ulang menjadi tubuh abadi yang bebas bocor，Melihat ke belakang, saya merasa masa lalu seringan asap。saat ini[NAME]Baru pada saat itulah saya akhirnya mengerti kurang lebih，Apa itu surga surga，Mengapa nenek moyang ascended tersebut tidak pernah kembali ke dunia manusia?。	
15	1	KeyEvet1	10	10000|90000	[NAME]pertemuan kebetulan[NAME1]Pada[PLACE1]Mulailah kuliah[IDEA1]，secara misterius，[NAME]Aku hanya merasakan jiwaku bergerak，Sudah jatuh ke alam reinkarnasi。Saya benar-benar menemukan kesempatan untuk menerobos negeri dongeng saat itu juga.。\n    Dalam keadaan tenang, saya tidak memperhatikan tahun-tahunnya，Tunggu sampai Anda sadar，Beberapa dekade telah berlalu。[NAME]Kekuatan sihir seluruh tubuh telah dimurnikan menjadi kekuatan abadi，Tubuh fisik juga ditata ulang menjadi tubuh abadi yang bebas bocor。Alami baptisan reinkarnasi，Melihat ke belakang, saya merasa masa lalu seringan asap。saat ini[NAME]Baru pada saat itulah saya akhirnya mengerti kurang lebih，Apa itu surga surga，Mengapa nenek moyang ascended tersebut tidak pernah kembali ke dunia manusia?。	
16	1	KeyEvet1	10	100|900	[NAME]ada[PLACE1]Ditemukan secara kebetulan[DAN1]，setelah mengambil，Akhirnya, kami telah mengambil satu langkah maju，Menemukan kesempatan untuk menerobos jalan keabadian。Di bawah pengaruh Qi，[NAME]Jiwa tanpa sadar telah jatuh ke dalam kondisi reinkarnasi.。\n    Seribu tahun di alam reinkarnasi，[NAME]Pasang surut dalam reinkarnasi tanpa akhir，Akhirnya menjaga jejak semangat sejati tetap hidup，Berhasil melewati level tersebut，Ciptakan tubuh yang sempurna。Tunggu sampai[NAME]Melihat ke belakang lagi，Saya merasa masa lalu seperti pengalaman reinkarnasi dalam ratusan kehidupan，Meski dengan jelas，Tapi seringan asap。Baru pada saat itulah saya akhirnya mengerti kurang lebih apa itu keadaan pikiran orang yang abadi.，Mengapa nenek moyang ascended tersebut tidak pernah kembali ke dunia manusia?。	
17	1	KeyEvet2	10	10000|90000	[NAME]Pada[PLACE1]tiba-tiba merasakan sesuatu，Saya tahu tempat ini ada hubungannya dengan itu，Lebih mudah untuk membuka gua di sini，Membangun dojo。antara seratus tahun，Saya juga mengumpulkan beberapa binatang peri.，Kumpulkan tiga atau lima teman abadi untuk mendiskusikan praktik Tao，secara bertahap menjadi iklim，Gua juga menjadi daya tarik tersendiri dari tempat ini。	
18	1	KeyEvet2	10	10000|90000	[NAME]bepergian ke[PLACE1]jam，Tanpa diduga, saya menemukan sesuatu yang disebut[EVENT1]penampakan langit dan bumi。Untuk memahami misteri ini，[NAME]Memutuskan untuk membuka gua di kehampaan terdekat，Tenang。\n    Keluarga abadi tanpa memandang usia，Lebih dari seratus tahun berlalu dalam sekejap，Perlahan-lahan, makhluk abadi lainnya datang untuk mencerahkan saya.[EVENT1]berkumpul di sini，[NAME]Berkat letak geografisnya, gua ini lambat laun menjadi tempat orang berkomunikasi dan berdiskusi tentang Taoisme.，Iklim tersendiri。	
19	1	KeyEvet2	10	10000|90000	[NAME]Pada[PLACE1]Dimasukkan secara tidak sengaja saat bepergian[MONSTER1]sarang，masa krisis，Beberapa teman peri yang lewat mengulurkan tangan membantu，[NAME]Baru pada saat itulah dia akhirnya bisa menggunakan inkarnasinya untuk melarikan diri.。Setelah pertempuran ini，[NAME]Cocokkan dengan beberapa teman peri，Semua orang bertambah，Memutuskan untuk membuka gua di sini，Di satu sisi, pencerahan，Di satu sisi, ini juga dapat mengingatkan makhluk abadi lainnya untuk tidak mengganggu Anda.[MONSTER1]tidur nyenyak，menempatkannya dalam bahaya。\n    Lebih dari seratus tahun telah berlalu dalam sekejap mata，[MONSTER1]Terima kasih atas dukungan semua orang，mendadak[NAME]membentuk sebuah perjanjian。Dengan bantuan[MONSTER1]kekuatan，[NAME]Gua ini juga memiliki iklim yang bagus，Menjadi tempat suci negeri dongeng。	
20	1	KeyEvet2	10	10000|90000	[NAME]Pada[PLACE1]Saat bepergian, saya bertemu dengan teman peri lawan jenis.，Keduanya sangat sinkron satu sama lain.，Jadi mereka bepergian bersama。Ternyata keduanya saling jatuh cinta seumur hidup，Sekarang mereka berdua keluar dari reinkarnasi，Bertemu di dunia peri，Ini adalah takdir。\nSetelah beberapa tahun bergaul，Kenangan masa lalu perlahan-lahan hidup kembali，Keduanya menjadi pasangan Tao lagi，Dan membuka sebuah gua di tempat pertama kali kita bertemu，Bisnis selama seratus tahun，Itu juga menciptakan dongeng。	
21	1	KeyEvet3	10	1000|9000	[NAME]Saat bepergian di dunia peri，kesempatan dan[NAME1]menjalin hubungan yang baik，Manfaatkan situasi ini untuk berlindung[NAME1]di bawah pintu。[NAME1]Dia adalah salah satu Dewa Emas Daluo tertua di Alam Surga Sembilan Roh.，Dojo-nya terbuka di tengah kekacauan langit dan bumi，Momentumnya mandiri，Dominasi satu sisi di Alam Surga Sembilan Roh Atas。	
22	1	KeyEvet3	10	1000|9000	[NAME]Saat bepergian di dunia peri，Saya merasa dunia peri menderita kontaminasi setan，Kemudian dia bergabung dengan tentara Surga dan mendapat pekerjaan。Pengadilan Surgawi adalah kekuatan yang mewakili Dao Surgawi di Alam Surga Sembilan Roh.，Dia menugaskan berbagai makhluk abadi untuk menjalankan tugasnya masing-masing，Pertahankan pengoperasian surga，Dia juga merupakan kekuatan utama dalam menghilangkan noda setan.。	
23	1	KeyEvet3	10	1000|9000	[NAME]Saat bepergian di dunia peri，Merasa bahwa keabadian tidak ada batasnya，Saya berharap Taoisme akan meningkat lagi。Jadi dia pergi tiga puluh tiga hari lagi，Bergabunglah dengan klan Tao，Pencerahan。	
24	1	KeyEvet3	10	1000|9000	[NAME]Saat bepergian ke negeri dongeng，Secara kebetulan, saya bertemu dengan seorang biksu yang naik dari dunia ini.，sebuah percakapan，Ternyata para biksu di dunia ini sebenarnya membentuk aliansi di Alam Surga Sembilan Roh Atas untuk saling mendukung.。[NAME]Merasa bahwa jalan menuju keabadian itu sulit，Ia pun setuju untuk bergabung dengan aliansi ini。	
25	1	KeyEvet4	10	1000|9000	[NAME]tiba-tiba teringat，Setelah berlatih seumur hidup, Anda telah menjadi abadi，Jika Anda tidak dapat mencapai alam Daluo lebih jauh,，Bukankah gagal menghayati kebahagiaan hidup ini?？Jadi dia diam-diam menetapkan ambisinya untuk menjadi Luo yang hebat。	
26	1	KeyEvet4	10	1000|9000	[NAME]tiba-tiba menghela nafas，Negeri dongeng juga bukan tempat kebebasan abadi，Ada juga perhitungan sebab akibat，Pertarungan setan，tiba-tiba bosan。Jadi dia diam-diam memutuskan untuk secara bertahap melepaskan diri dari sebab dan akibat，Benar-benar bebas untuk akhirnya memutuskan permintaan tersebut。	
27	1	KeyEvet4	10	1000|9000	[NAME]tiba-tiba menghela nafas，Ada banyak misteri dan keajaiban di langit dan bumi，Daripada terjerat perselisihan sebab akibat，Lebih baik jelajahi rahasianya，Ini benar-benar acara yang membahagiakan bagi keluarga peri。Kemudian saya mulai mencari rahasia dan rahasia.。	
28	1	KeyEvet4	10	1000|9000	[NAME]tiba-tiba menghela nafas，Penguasa besar dunia abadi menguasai dunia，Betapa agung dan tanpa beban。Jika aku bisa mengumpulkan teman-teman periku di dunia peri,，Dominasi satu sisi，Sangat senang，Hanya dengan demikian anda dapat memenuhi kultivasi anda。Jadi dia diam-diam memutuskan untuk mendominasi satu sisi.。	
29	1	MajorEvnt	10	1000|9000	[NAME]Pada[PLACE1]Bertemu dengan makhluk abadi dengan pikiran iblis，Setelah bertengkar，[NAME]mengalahkan dengan tipis，Bunuh iblis。	
30	1	MajorEvnt	10	1000|9000	[NAME]Pada[PLACE1]Tiba-tiba benar[IDEA1]Pemahaman yang luar biasa，Dia benar-benar menciptakan metode ajaib baru darinya，Kemajuan besar dalam budidaya。	
31	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian ke negeri dongeng，Ditemui secara kebetulan[NAME1]Gunakan kekuatan magis Anda untuk membuat gua bagi generasi muda dalam kekacauan。[NAME]Melihat[NAME1]Setiap gerakan，Bumi, air, api, dan angin bergejolak dan mendidih, membentuk kembali gunung-gunung dan sungai-sungai，Mau tak mau aku terpesona。	
32	1	MajorEvnt	10	1000|9000	[NAME]Pada[PLACE1]melihat[EVENT1]Merasa，Untuk sesaat, saya mengalami kesurupan.。Tunggu[NAME]bangun，beberapa tahun telah berlalu，Ada kemajuan besar dalam Taoisme。	
33	1	MajorEvnt	10	1000|9000	[NAME]Kebetulan，Menemukan satu[MONSTER1]anak，Kesempatan yang luar biasa。Melihat[MONSTER1]Untuk binatang aneh di langit dan bumi，Ketika ia dewasa, kekuatan magisnya tidak kalah dengan Daluo Jinxian，Jika Anda bisa membesarkan diri sendiri sejak kecil，Ini akan sangat membantu dibandingkan dengan。	
34	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian di dunia peri，Saya tiba-tiba bertemu dengan seorang rekan kultivator dari dunia ini yang naik ratusan tahun yang lalu.。Kedua belah pihak mengobrol dan minum，Dalam sekejap mata, lebih dari sepuluh tahun telah berlalu。	
35	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian di dunia peri，bertemu secara kebetulan[NAME1]Diskusikan dengan orang lain，Diskusi ini berlangsung selama lebih dari sepuluh tahun，[NAME]Di bawah pengawasan，Pemahaman yang luar biasa。	
36	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian di dunia peri，mendadak[PLACE1]Menemukan satu[DAN1]。[NAME]Menyempurnakannya dengan bentuk dan semangat，Pahami betul misteri yang terkandung di dalamnya，Kemajuan besar dalam Taoisme。	
37	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian di dunia peri，Menemukan sebuah gua kecil secara kebetulan。Setelah beberapa eksplorasi，Baru pada saat itulah mereka menemukan bahwa tempat ini sebenarnya adalah tempat di mana makhluk abadi meninggal ribuan tahun yang lalu.，Sudah ditinggalkan。Di manakah tempat abadi ini akan beristirahat?，Tidak ada yang tahu untuk waktu yang lama。[NAME]Sedikit emosional，Saya memanen banyak harta peri darinya，berpaling。	
38	1	MajorEvnt	10	100|900	[NAME]Saat bepergian ke negeri dongeng，Tiba-tiba, inspirasi datang padaku，Kemudian seseorang dipisahkan untuk menjelma di alam rendah.，Memperkenalkan murid muda yang memiliki kedekatan besar dengannya untuk kembali ke jalan keabadian。	
39	1	MajorEvnt	10	100|900	[NAME]Saat bepergian ke negeri dongeng，Tiba-tiba saya merasakan keinginan untuk berkorban dari para murid di alam bawah.，Kemudian ia menjelma ke alam bawah dan membuka wadah untuk berdakwah.。	
40	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian ke negeri dongeng，Tiba-tiba saya merasakan keinginan untuk berkorban dari para murid di alam bawah.，Kemudian dia memberikan beberapa gadget tidak berguna yang dia kumpulkan di dunia peri ke dunia fana.。	
41	1	MajorEvnt	10	100000|200000	[NAME]Saat bepergian ke negeri dongeng，Pada[PLACE1]Bertemu dengan teman peri。Keduanya entah kenapa terikat satu sama lain，Bicara untuk waktu yang lama，Kami bahkan mengadakan permainan catur dan berdiskusi satu lawan satu.。Keluarga abadi tidak mengenal tahun，Di akhir pembicaraan tangan，Sudah lebih dari seribu tahun。	
42	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian ke negeri dongeng，datang secara kebetulan[PLACE1]，Tiba-tiba saya merasa pemandangan negeri dongeng di sini misterius dan ajaib.，Terkagum-kagum。[NAME]beberapa pemikiran，Saya memutuskan untuk tinggal di sini selama beberapa tahun.。	
43	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian ke negeri dongeng，Pada[PLACE1]bertemu[NAME1]Selenggarakan perjamuan peri，Undanglah yang abadi untuk minum dan berdiskusi tentang Taoisme。Sekali jamuan makan diadakan, itu berlangsung bertahun-tahun，Semua makhluk abadi meminum nektar tersebut，Makanlah buah peri，Kembali dengan senang hati。	
44	1	MajorEvnt	10	10000|90000	[NAME]Saat bepergian ke negeri dongeng，tiba-tiba merasa mengantuk。mudah untuk[PLACE1]Saya menemukan tempat yang indah dan tertidur dengan bahagia，bangun，Sudah seratus tahun。	
45	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian ke negeri dongeng，Minum anggur impian bersama orang lain dan mabuk，Tunggu sampai kamu sadar，Sudah lebih dari sepuluh tahun。	
46	1	MajorEvnt	10	1000|9000	[NAME]Pada[PLACE1]saat bepergian，Bertepatan dengan pecahnya malapetaka dunia abadi。[NAME]Taoisme yang Mendalam，Pengoperasian kekuatan magis，Lewati kesulitan ini dengan sukses。Taoisme telah sedikit meningkat。	
47	1	MajorEvnt	10	1000|9000	[NAME]Pada[PLACE1]Bertemu dengan teman peri，Keduanya langsung cocok，Ada kecocokan yang tidak bisa dijelaskan dengan latihan spiritual。Untuk mengkonfirmasi misterinya，[NAME]Putuskan pertarungan kecerdasan selama berabad-abad dengan teman peri Anda，Kedua belah pihak memamerkan kekuatan magis mereka，saling melengkapi，Tidak hanya keduanya memiliki pemahaman masing-masing,。Para penonton juga mendapat banyak manfaat dari pertemuan yang telah berusia seabad ini，Ini benar-benar menjadi sebuah legenda。	
48	1	MajorEvnt	10	1000|9000	[NAME]keinginan，Tiba-tiba saya ingin menyempurnakan senjata ajaib abadi。Namun di menit-menit terakhir，Namun kehilangan jejak Tao Yun，Akhirnya gagal terwujud。[NAME]sedikit maaf，Dia dengan santai memberikan harta yang gagal dimurnikan kepada murid fananya.。	
49	1	MajorEvnt	10	1000|9000	[NAME]Saat bepergian ke negeri dongeng，Pada[PLACE1]Menghadapi wabah kesenjangan ajaib。Untuk mencegah terjadinya pewarnaan setan skala besar，Semua makhluk abadi bekerja sama untuk memblokir tempat ini，Melawan monster selama beberapa dekade。[NAME]Rasakan pertempuran berdarah ini，Diberkati oleh surga，Latihan Dao meningkat pesat。	
50	2	Start	10	100|200	[NAME]Merasa bingung setelah diusir，Untungnya, semua alat pembelajaran ada di sana，Aku hanya perlu mengatur suasana hatiku，Sendirian di dunia manusia yang terus berputar。	
51	2	End	10		[NAME]ada[PLACE2]Mengalami plot oleh musuh，Menghitung secara mental dan tidak sengaja，[NAME]Meskipun saya mencoba yang terbaik，Masih jatuh di sini，Kultivasi seumur hidup semuanya sia-sia。	
52	2	End	10		[NAME]Latihan keras selama bertahun-tahun，akhirnya masuk[PLACE2]Selamat dari bencana itu，Ambil langkah terakhir，Naik ke dunia ini dan jadilah abadi。	
53	2	End	10		[NAME]ada[PLACE2]Memulai Kesengsaraan Surgawi Tao，untuk melangkah lebih jauh，Namun, tingkat kultivasinya tidak sebaik sebelumnya.，Berubah menjadi abu karena bencana。Kultivasi seumur hidup semuanya sia-sia。	
54	2	End	10		[NAME]Saya sudah lama mengembara sendirian di dunia spiritual，Dibatasi oleh kualifikasinya sendiri, tidak ada jalan ke depan，Dan bosan dengan intrik di dunia spiritual。Akhirnya memutuskan untuk menyembunyikan budidayanya，Menjadi manusia fana，Mundur ke[PLACE2]。	
55	2	End	10		[NAME]ada[PLACE2]Memasuki gua seorang kultivator kuno，Namun[NAME]Bagaimanapun, kami melewatkan beberapa peluang，Selama proses eksplorasi, Anda secara tidak sengaja memasuki hukum terlarang dan tidak dapat melarikan diri.。Saya hanya bisa menyaksikan tanpa daya ketika kultivasi saya habis，akhirnya meninggal。	
56	2	End	10		[NAME]Telah berada di dunia spiritual selama bertahun-tahun，Namun, dibatasi oleh kualifikasi sumber daya，Jangan pernah melampaui。Akhirnya hidup habis，ada[PLACE2]tiba-tiba meninggal。	
57	2	End	10		[NAME]Sambil menjelajahi celah di dunia lain，Secara tidak sengaja terseret ke dalam celah ruang-waktu，Tidak ada lagi jejak yang dapat ditemukan。	
58	2	End	10		[NAME]Saat bepergian keliling dunia，Secara tidak sengaja jatuh ke tangan sekte Hehuan，Diperlakukan sebagai kuali dan dipanen sampai mati，menderita。	
59	2	End	10		[NAME]Saat bepergian keliling dunia，secara tidak sengaja[PLACE2]Temui binatang purba[MONSTER2]，di tengah perkelahian，[NAME]Tidak dapat mendukung sendirian，Dipukuli sampai mati。	
60	2	End	10		[NAME]Saat bepergian keliling dunia，Ada perselisihan dengan Seven Kills Demon Palace。Di tengah pertarungan akal，[NAME]dikepung，Dua tinju bukanlah tandingan empat tangan，Jatuh di tempat。Daging dilatih menjadi boneka，Membawa jiwa menuju kesucian，menderita。	
61	2	End	10		[NAME]Keserakahan yang tak tertahankan，Infiltrasi[SCHOOL2]Pencurian rumah harta karun，Tertangkap secara tidak sengaja。[SCHOOL2]Hapus dan perbaiki，potong tangan dan kaki，dibuang ke padang gurun。[NAME]Akhirnya mati secara tragis dari mulut anjing liar，Sangat menyedihkan。	
62	2	KeyEvet1	10	50|550	[NAME]Diselamatkan secara kebetulan[SCHOOL2]Cicit dari yang lebih tua，Mendapat kesempatan ini，[NAME]Berhasil masuk[SCHOOL2]di bawah pintu。	
63	2	KeyEvet1	10	50|550	[NAME]Pada[PLACE2]Pengasingan selama beberapa bulan，Secara sadar tidak kalah dengan para pahlawan di dunia，Memutuskan untuk mendirikan sekte sendiri，Buatlah fondasi。	
64	2	KeyEvet1	10	50|550	[NAME]Telah berada di dunia spiritual selama bertahun-tahun，Ternyata persaingan di Central Plains terlalu ketat。Jadi dia berubah menjadi orang barbar，Bergabunglah dengan Hutan Belantara Selatan，Mengumpulkan sekelompok penduduk asli liar dan mengumpulkan harta surga dan bumi，Ini telah menjadi suatu kekuatan。	
65	2	KeyEvet1	10	50|550	[NAME]Terluka parah dalam perkelahian，Ketika dia sekarat, dia dicobai iblis，Mempraktikkan seni inkarnasi iblis，Menjadi iblis。	
66	2	KeyEvet2	10	50|550	[NAME]Pada[CITY2]Menemukan reinkarnasi mantan kekasihku secara kebetulan，Meskipun dia masih manusia biasa，Namun ternyata itu adalah benih budidaya yang langka。[NAME]Perkenalkan ke gerbang peri，menikah lagi，Kisah yang luar biasa。	
67	2	KeyEvet2	10	3000|5000	[NAME]Pada[CITY2]Menemukan reinkarnasi mantan kekasihku secara kebetulan，Sayangnya, dia tidak memiliki kualifikasi untuk berlatih dalam kehidupan ini。[NAME]Sembunyikan identitas Anda dan jalani seluruh hidup Anda sebagai manusia fana，Dia tidak pergi sampai kematiannya。	
68	2	KeyEvet2	10	50|550	[NAME]Pada[CITY2]Menemukan reinkarnasi mantan kekasihku secara kebetulan，Dia telah kembali ke jalan keabadian dalam kehidupan ini，dan tidak ingin bersama[NAME]Ada pertengkaran lagi，Saya hanya ingin bertanya。[NAME]Tidak ada keterikatan juga，Keduanya berpisah，Saya hanya menghela nafas bahwa tidak ada takdir。	
69	2	KeyEvet2	10	50|550	[NAME]Pada[CITY2]Menemukan reinkarnasi mantan kekasihku secara kebetulan，Dia telah kembali ke jalan keabadian dalam kehidupan ini。Keduanya sangat gembira bisa bertemu satu sama lain，Menjadi pasangan Tao lagi，Prestasi dalam beberapa dongeng。	
70	2	KeyEvet3	10	300|900	[NAME]Secara kebetulan, saya mendapat warisan Tao yang lebih cocok untuk saya.。untuk mencapai kesuksesan yang lebih besar，[NAME]Setelah ragu-ragu, saya meminum Pil Kelahiran Kembali Xuan Mi.，Memutuskan untuk membangun kembali mana。Hanya saja tidak ada sekte yang melindungi Anda，Jalan ini pasti akan sangat sulit。	
71	2	KeyEvet3	10	300|900	[NAME]Terobosan gagal，Darah mengamuk，hidup tergantung pada seutas benang。Untuk secercah kehidupan，[NAME]Meminum Pil Kelahiran Kembali Xuan Mi，Menginjakkan kaki di jalur latihan spiritual lagi。Hanya saja tidak ada sekte yang melindungi Anda，Jalan ini pasti akan sangat sulit。	
72	2	KeyEvet3	10	300|900	[NAME]Saat menjelajahi gua peri yang hilang，Secara tidak sengaja menelan kesadaran abadi dari keluarga abadi kuno。Semua kekuatan sihirnya hilang。Ternyata tempat ini merupakan mekanisme yang diatur khusus oleh makhluk abadi untuk warisan Taoismenya sendiri.，[NAME]Meski tidak mau，Saya hanya dapat membangun kembali kekuatan sihir saya di sini.，Dibutuhkan beberapa tahun untuk menjadi bebas。	
73	2	KeyEvet3	10	300|900	[NAME]Saya melukai hati saya saat berlatih teknik rahasia sebelumnya，Menderita siang dan malam ini，menderita。[NAME]Tak tertahankan untuk menahan rasa sakit yang berkepanjangan，Akhirnya memutuskan untuk meminum Pil Kelahiran Kembali Xuan Ni，Berlatih lagi，untuk bantuan。Hanya saja tidak ada sekte yang melindungi Anda，Jalan ini pasti akan sangat sulit。	
74	2	KeyEvet4	10	50|550	[NAME]Saat bepergian keliling dunia，Tiba-tiba aku berpikir。Kemudian berubah menjadi manusia dan kembali ke tempat Anda dibesarkan untuk melihat，Tapi gunung-gunung itu rata，pengalihan sungai，Tempat ini telah hancur akibat bencana alam。[NAME]Saya menyesalkan bahwa segalanya berbeda dan orang-orang berbeda.，lalu pergi dari sini。	
75	2	KeyEvet4	10	50|550	[NAME]Saat bepergian keliling dunia，Tiba-tiba aku berpikir。Kemudian berubah menjadi manusia dan kembali ke tempat Anda dibesarkan untuk melihat，Tapi aku melihat meskipun teman lamaku tidak ada di sini,，Tidak banyak yang berubah，Seperti sebelumnya。[NAME]tiba-tiba merasa lega，Semua masa lalu lenyap，kiri sambil tertawa。	
76	2	KeyEvet4	10	50|550	[NAME]Saat bepergian keliling dunia，Tiba-tiba aku berpikir。Kemudian berubah menjadi manusia dan kembali ke tempat Anda dibesarkan untuk melihat，Mengingat tempat ini tergolong halaman dalam sebuah keluarga kaya，Tidak ada jejak sosok lama。[NAME]melihatnya sebentar，Gelengkan kepalamu dan pergi。	
77	2	KeyEvet4	10	50|550	[NAME]Saat bepergian keliling dunia，Tiba-tiba aku berpikir。Kemudian berubah menjadi manusia dan kembali ke tempat Anda dibesarkan untuk melihat，Tapi saya melihat tempat ini telah terbakar habis akibat perang.。Melihat asap，[NAME]Perasaan tanpa emosi，Hal yang sama，Perasaan campur aduk。	
78	2	MajorEvnt	10	50|550	[NAME]Pada[PLACE2]saat bepergian，Temui seorang anak laki-laki fana，Saya merasa ada kedekatan yang besar antara dia dan saya。[NAME]Jadi dia menerimanya sebagai murid langsungnya，Berikan mantelnya。	
