Key	Value
但没人需要这么大一根木棍。	Tapi tidak ada yang membutuhkan tongkat kayu sebesar itu.
{0}准备将石料分给路人。	{0} bersiap untuk memberikan Batu kepada Orang yang lewat.
但没人需要这么大一块石头。	Namun tidak ada yang membutuhkan Batu sebesar itu.
{0}看了一眼众弟子，好像没有谁比较特别，微微叹了口气。	{0} melihat ke arah para murid, dan menghela nafas karena sepertinya tidak ada orang yang istimewa.
送礼	Hadiah
该对象无法被通灵	Target ini tidak dapat diterangi.
夏	Musim panas
邀请	Mengundang
胜	Kemenangan
技高一筹。	Pemenang mengambil semuanya.
归寂之地	Tempat Kehancuran
无法使用	Tidak tersedia
该物品不是法宝胚胎	Item ini bukan inkubasi artefak.
不能对非己方角色使用	Tidak dapat digunakan pada karakter non-sekutu.
乾坤秘境，凝滞千年的时光，重新开始转动。	Alam yang penuh teka-teki di alam semesta. Waktu yang terhenti selama seribu tahun akhirnya mulai bergerak maju.
[NAMA]仔细观摩了此建筑的模样。	[NAMA] menganalisis arsitektur bangunan.
[NAMA]收获了一些信徒和信仰。	[NAMA] menerima beberapa Pengikut dan Keyakinan baru.
解锁：武当红墙。	Buka kunci: Tembok Merah Wudang
我们已经知晓了此物如何建造。	Kita sudah tahu cara membangunnya.
该目标已经失去灵智	Targetnya tercengang.
测试技能	Tes Keterampilan
不能对己方角色使用	Tidak dapat digunakan pada sekutu
只能对友方角色使用	Hanya dapat digunakan pada karakter sekutu.
失败	Gagal
该角色已被释放过心印诀，无法再次使用	Seseorang telah menggunakan Chant of Resonance pada karakter ini. Itu tidak dapat digunakan lagi.
将灵源种埋在此处，会在三年中慢慢生效！	Kubur Benih Roh di sini, dan itu akan mulai berlaku secara perlahan selama 3 tahun ke depan!
你们悉数被击败，已无人有一战之力，一股巨大的力量将你们推出了此地。	Anda telah dikalahkan satu per satu dan tidak ada dari Anda yang mampu melawan. Sebuah kekuatan yang kuat telah mendorongmu keluar dari tempat ini.
秋	Musim gugur
埋下灵源种	Mengubur Benih Roh
%s 略胜 %s 一筹！	%s dikalahkan %s!
只能对妖兽使用	Hanya dapat dilemparkan ke monster
驱云	Penghilangan Awan
该对象曾经诞生过灵性，如今灵性紊乱，无法再次通灵	Target ini pernah berhasil diterangi, namun spiritualitasnya kini tidak teratur dan tidak dapat diterangi lagi.
前往地母石碑许愿(需要500灵石)	Pergi ke Prasasti Ibu Bumi untuk membuat permohonan (500 Batu Roh)
冬	Musim dingin
许愿	Buatlah Permintaan
将身上的某件物品送给对方，需要好感度大于等于20。当与门派好感度足够高时，可能会将随身宝物作为回礼。	Hadiahkan salah satu item Anda ke pihak lain. Untuk melakukan ini, Anda memerlukan Favor yang lebih besar dari 20. Ketika Anda memiliki Favor yang cukup pada suatu Sekte, mereka dapat membalas budi tersebut dengan Harta Pribadi mereka.
只能对动物使用	Hanya dapat digunakan pada hewan.
求雨	Cari Hujan
离开隐匿	Batalkan Sembunyikan
隐匿	Bersembunyi
地母石碑失去了光泽，看起来无法进行许愿	Prasasti Ibu Bumi telah kehilangan kilaunya. Sepertinya kamu tidak bisa membuat permintaan apa pun di sini.
村民说：“这附近以前有一块太一门的封地，建有太一门的主殿，现在被拆了。既然你们是太一门逃出来的，也许能建设一番。”	Penduduk desa berkata: "Dulu ada bangunan dari Sekte Taiyi, tapi sudah dirobohkan. Mungkin Anda bisa membangun sesuatu."
辩论旷日持久，最终也没有个结果，奇观建设被耽误了。	Perdebatan terus berlanjut, sehingga pembangunan keajaiban pun tertunda.
该角色已经失去灵智	Karakter ini tercengang.
天逢之时	Momen Unifikasi
只能对人类使用	Hanya bisa digunakan pada manusia.
在未来不久，天逢之刻即将到来。	Momen Unifikasi sudah dekat.
受天道异动影响，无法邀请对方到你的门派做客。	Dipengaruhi oleh Kekacauan Surgawi, tidak dapat mengundang pihak lain ke sekte Anda.
置物台上的%s不能用于种植	%s di Layar tidak dapat digunakan untuk menanam.
无何有之乡	Desa Tanpa Tempat
历史沉淀之所，不甘永驻之地。	Tempat di mana sejarah alam semesta diringkas.
天逢之刻已至。	Waktunya telah tiba.
目标境界过高	Status target terlalu tinggi
可蕴养，当前目标:%s	Dapat dikembangkan, target saat ini: %s
[NAMA]来到此地便感觉到一种亲近的气息，一番寻觅，竟然真的找到了天地灵根的踪迹！	[NAMA] merasakan sesuatu yang familiar di udara ketika[DIA] tiba di sini. Setelah mencari-cari,[DIA] tiba-tiba menyadari hal itu[DIA] telah menemukan Akar Roh yang menghubungkan langit dan bumi!
[NAMA]来到此地便感觉到一种亲近的气息，但似乎欠缺了一些机缘，最终一无所获，只能空手而归。	[NAMA] merasakan sesuatu yang familiar di udara ketika[DIA] tiba di sini, tapi tampaknya itu[DIA] Keberuntungan belum berakhir. Pada akhirnya[DIA] hanya bisa kembali dengan tangan kosong.
[NAMA]来到此地便感觉到一种同出一源的气息，一番寻觅，竟然真的找到了天地灵根的踪迹！	[NAMA] merasakan sesuatu di udara seperti[DIA] berbagi asal usul dengannya entah bagaimana. Setelah mencari-cari,[DIA] tiba-tiba menemukan Akar Roh yang menghubungkan langit dan bumi!
[NAMA]来到此地便感觉到一种同出一源的气息，但似乎欠缺了一些机缘，最终一无所获，只能空手而归。	[NAMA] merasakan sesuatu di udara seperti[DIA] berbagi asal usul dengannya entah bagaimana. Sayangnya, tampaknya demikian[DIA] Keberuntungan tidak berhenti pada akhirnya[DIA] hanya bisa kembali dengan tangan kosong.
[NAMA]凭着感觉一番寻觅，最终一无所获，只能空手而归。	[NAMA] mencari-cari mengikuti[DIA] naluri, tapi pada akhirnya[DIA] hanya bisa kembali dengan tangan kosong.
等待移动	Tunggu sampai mereka bergerak.
烈阳术	Matahari yang bersemangat
邀请对方到你的门派做客，需要好感度大于等于60。	Undang pihak lain ke sekte Anda, membutuhkan Bantuan minimal 60.
地图上已有该类灵植	Sudah ada Tanaman Spiritual jenis ini di peta
心魔化形	Pergeseran Bentuk Setan
{0}大显神通，召唤了大雨，灾难缓解了不少。	{0} melakukan mukjizat, terjadi hujan lebat, dan bantuan bencana cukup banyak terbantu.
我方赈灾进度增加了{0}。	Kemajuan bantuan kami meningkat{0}.
罪孽之雷	Guntur Ketidaksopanan
内丹	Inti Dalam
示威	Kekuatan Tampilan
失落之迷阵	Formasi Hilang
烈焰之径	Hukum Kebakaran
心魔龙息	Nafas Naga Setan
怒吼	Mengaum
业火龙息	Nafas Naga
死亡	mati.
蛟王刺	Raja Tanduk Wyrm
暴雨术	Hujan badai
盘旋	Ekor ular
阴阳之怒	Kemarahan Yin Yang
可观察，当前目标:%s	Tampak. Target saat ini: %s
水脉爆发	Letusan
神念之雷	Guntur Keilahian
业力化形	Transformasi Karma
癸水妖雷	Biaya yang Setara
龙怒	Kemarahan Naga
瓶颈突破成功！	Terobosan berhasil!
不能对己方动物使用	Tidak dapat digunakan pada hewan sekutu
该角色未处于昏迷状态	Karakter ini bukannya tidak sadar.
破土	Terobosan
法宝	Artefak
降临	Menurun
涅槃	Nirwana
熔断	Sekering
真焱形态	Formulir Neraka
凤怒九霄	Phoenix yang marah
天道之怒-业火缠身	Kemarahan Pengakuan Iman Surga - Neraka Karma
请选择一块空地	Pilih area kosong di tanah.
该目标未处于昏迷状态	Target ini bukannya tidak disadari.
真焱形态-回收	Formulir Inferno - Memulihkan
真焱熔断	Sekering Api
反噬	Menyerang balasan
天道之怒-心灵遮罩	Kemarahan Pengakuan Iman Surga - Pelindung Pikiran
寒狱	Penjara Dingin
[NAMA]解读密卷，发现其中记载了一名古代仙人的食谱，简直莫名其妙。	[NAMA] menguraikan Gulungan itu dan menemukan resep Dewa kuno.
[NAMA]解读密卷，发现其中记载了上古时期人类如厕方式的衍变，简直不知所谓。	[NAMA] menguraikan Gulungan itu dan menemukan adat istiadat kuno untuk buang air kecil.
[NAMA]解读密卷，发现其中每一个字都认识，但是连起来就完全读不懂了。	[NAMA] menguraikan Gulungan itu dan menyadari bahwa apa yang tertulis tidak masuk akal sedikit pun.
[NAMA]解读密卷，发现其中记载了许多古代儿童玩具的制造方法，让人摸不着头脑。	[NAMA] menguraikan Gulungan itu dan menemukan cara orang-orang zaman dahulu membuat mainan untuk anak-anak.
吞火	petugas pemadam kebakaran
该角色没有化形天劫	Karakter tidak menghadapi Kesengsaraan yang Berubah Bentuk.
%s采摘完后，算了算时间，大概推算出%s会在天苍历%s年 %s %s日左右再次成熟。	Setelah memetik buah, %s memeriksa tanaman dan menghitungnya. Tampaknya %s akan matang kembali pada tahun %s era Tiancang, %s hari %s.
太阳之晶	Kristal Matahari
灼之瞳	Murid yang Terbakar
泽国	Tanah yang Tergenang
火息虹练	Api Warna-warni
善念之术	Seni Niat Baik
灵根备忘录	Peringatan Akar Roh
兽群呼唤	Panggilan Kawanan
[NAMA]在大竹林深处反复搜寻，终于在某个溪流边寻得这枚黑白相间的玉佩。	[NAMA] mencari dengan hati-hati di dalam Hutan Bambu Besar, dan menemukan batu giok ini di tepi sungai.
%s成功将天气吸入其中	%s menyerap cuaca
已经标记了%s，对方如果出行我们将会收到消息。	%s telah ditandai. Kami akan menerima pesan jika mereka keluar.
真水凝练	Pemadatan Air
龙吸术	Inhalasi Naga
天妖化血	Penyerapan Sanguinis
付辟空	Fu Pikong
吸收天气	Menyerap Cuaca
追踪	Pelacakan
移动摄像头。fParam1为相对时间fParam2:0锁定并释放主角锁定1锁定主角不释放 ,sParam1为移动路径{坐标,摄像机距离},例如{{5000,20},{6000,5}}	Pindahkan kamera. fParam1 adalah durasi. fParam2:0 untuk mengunci dan membuka kunci fokus. 1 adalah tetap fokus. sParam1 adalah gerakan{koordinat, jarak kamera}, misalnya{{5000,20},{6000,5}}.
%s十分懊恼，只得仔细查看了灵植的长势，算了算时间，大概推算出%s会在天苍历%s年 %s %s日左右再次成熟。	%s memeriksa tanaman dan menghitung dengan frustrasi. Tampaknya %s akan matang kembali di tahun %s era Tiancang, %s hari %s.
岐黄	Penyembuhan
烹饪	Memasak
版筑	Konstruksi
耕作	Pertanian
采掘	Penggalian
雅艺	Seniman
巧匠	kerajinan
处世	Sosial
[acak_label=deskripsi_waktu,des_tempat,des_cuaca]，[nama]在[keberatan_tindakan]时，突然心中一动，对%s一道又有感悟。	[acak_label=deskripsi_waktu,des_tempat,des_cuaca], ketika[keberatan_tindakan] , [nama] tiba-tiba merasakan perubahan dan mendapat pencerahan mengenai %s.
烈焰之息	Nafas Api
%s毫无反应	%dia tidak bereaksi
无法转换该角色的阵营	Tidak dapat mengubah perataan karakter
该动物已经失去灵智	Hewan ini tercengang.
%s十分懊恼，采摘完剩下的灵植后，仔细查看了灵植的长势，算了算时间，大概推算出%s会在天苍历%s年 %s %s日左右再次成熟。	Setelah memetik sisa akar karena frustrasi, %s memeriksa tanaman dan menghitungnya. Tampaknya %s akan matang kembali di tahun %s era Tiancang, %s hari %s.
尚有未结束的战斗	Pertempuran yang belum selesai.
利用神通使天放晴	Ciptakan cuaca cerah melalui keajaiban.
无知者	Pelajar
吾生也有涯，而知也无涯。\n以有涯随无涯，殆已！	Hidup ini singkat sementara pengetahuan tidak terbatas.\nTidak mungkin menguasai segalanya!
[NAMA]什么都不想做，还是离开这里吧。	[NAMA] tidak ingin melakukan apa pun kecuali pergi.
甲：哎你听说了么，村头阿柴明明像兔子一样柔弱，居然杀了人，几个壮汉都拉不住。\n乙：喂，你听说了么，隔壁村的阿柴明明像兔子一样柔弱，居然连续杀了几个壮汉。\n丙：喂喂喂，听说邻县有个叫阿柴的兔子，居然连续杀了几个壮汉。	J: Pernahkah kamu mendengar? Shiba di desa kami, lemah seperti kelinci, membunuh seseorang. Beberapa pria mencoba tetapi tidak dapat menghentikannya.\nB: Hei, pernahkah kamu mendengar? Shiba di desa lain lemah seperti kelinci, tapi baru-baru ini, dia membunuh beberapa pria berturut-turut.\nC: Hei, aku mendengar seekor kelinci di kota lain bernama Shiba membunuh beberapa pria berturut-turut.
隐匿气息，降低被发现的概率。\n离开隐匿需要五秒。	Sembunyikan kehadiran untuk menurunkan kemungkinan ditemukan.\nDibutuhkan 5 detik untuk membatalkan persembunyian.
利用神通求得一场雨	Membawa hujan melalui keajaiban.
流言	Isu
[NAMA]悄悄追踪这些弟子的踪迹。发现这是一群{0}的内门弟子在掳掠根基不错的凡人修炼魔功。\n[NAMA]表明来意，愿意帮忙，只是需要分润一些好处。{0}的弟子略一沉吟答应了[NAMA]入伙，短短几日，[NAMA]觉得修为有了长足进步。	[NAMA] diam-diam melacak jejak murid-murid ini. Ternyata itu adalah sekelompok murid batin{0} menjarah rakyat jelata untuk mempraktikkan sihir mereka.\n[NAMA] menyatakan alasannya[DIA] datang dan itu[DIA] bersedia membantu untuk ikut serta dalam aksi tersebut. Setelah mempertimbangkan sejenak, para murid{0} diterima[NAMA]. [NAMA] menemukan bahwa hanya dalam beberapa hari terdapat kemajuan besar dalam budidaya.
道生一	Pengakuan Iman Penciptaan
等待10s	Menunggu (10 detik)
道生一，一生二，二生三，三生万物。\n万物负阴而抱阳,冲气以为和。	Iman itu melahirkan satu, dan yang satu melahirkan dua. Kemudian keduanya menghasilkan tiga, dan tiga, semuanya.\nSegala sesuatu mempunyai naungan di punggungnya dan matahari di lengannya. Dengan memadukan nafas dari matahari dan bayangan, keseimbangan terjadi di dunia.
该动物未处于昏迷状态	Hewan ini bukannya tidak sadarkan diri.
恶念	Niat Jahat
周天神算施展成功，获得持续一个月的前知之力。	Universal Foresight berhasil, Anda telah memperoleh Foresight selama sebulan.
天机	Phecda
[color=WARNA SAYA]%s[/warna]被[warna=#HEWARNA]%s[/warna]逗笑了，随手扔了一件物品给它玩。	[warna=WARNA SAYA]%s[/warna] terhibur oleh[warna=#HEWARNA]%s[/warna], dan melemparkan item untuk dimainkan.
周天神算	Pandangan ke Depan Universal
恶念之渊	Jurang Jahat
曾经有一名富豪贪婪的收集奇珍异宝，并花费巨资为这些宝物建立华丽的宫殿，派遣仆人日日清扫。\n然而，他给的越多，宝物所求也越多，富豪最终因这份爱而失去了自己的一切：\n家庭，未来，还有自己的生命……	Suatu ketika, seorang kaya mengumpulkan segala macam harta langka dan menghabiskan banyak uang untuk membangun istana mewah dan mempekerjakan pelayan untuk membersihkannya setiap hari.\nNamun, harta karun ini mulai menuntut lebih banyak darinya, dan akhirnya, orang kaya itu kehilangan segalanya karena kecintaannya pada kemewahan:\nkeluarga, masa depan dan kehidupannya sendiri.
真焱丹	Pil Api
天道审判	Penghakiman Surgawi
随着天机变动，这个神通似乎已失去了作用。	Keajaiban itu tampaknya telah kehilangan pengaruhnya.
炽火之怒	Kemarahan Api
贪婪的宝物	Harta Karun Keserakahan
他们骂了几句就走了，奇观建设继续进行。	Mereka bersumpah dan pergi, dan pembangunan yang menakjubkan terus berlanjut.
尚有角色处于隐匿状态	Karakter tersembunyi.
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系金行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有金行之力对其有效。	Sepotong Bounded Universe yang hancur setelah hancurnya keyakinan, hampir tidak ada pada kekuatan Logam dengan satu Akar Roh.\nAlam ini sekarang dipenuhi dengan roh-roh jahat yang mati ketika langit dan bumi runtuh. Mereka hidup di alam kacau ini, hanya rentan terhadap Metal.
该角色寿元不足	Karakter tidak memiliki umur yang cukup.
乱界夹缝-金之界	Keretakan dalam Kekacauan: Alam Logam
之后来的NPC角色	Karakter NPC yang hadir nantinya
{0}的{1}将会参与下次拍卖。	{0}'s {1} akan mengikuti lelang berikutnya.
这次拍卖没啥重要人物啊。	Tidak ada sosok penting yang muncul dalam lelang kali ini.
大衍神算施展成功，获得一条秘闻。	Perhitungan Derivatif berhasil. Anda telah memperoleh Rahasia.
败	Mengalahkan
兵家常事。	Kegagalan adalah batu loncatan menuju kesuksesan.
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系木行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有木行之力对其有效。	Sepotong Bounded Universe yang hancur setelah hancurnya keyakinan, hampir tidak ada pada kekuatan Kayu dengan satu Akar Roh.\nAlam ini sekarang dipenuhi dengan roh-roh jahat yang mati ketika langit dan bumi runtuh. Mereka hidup di alam kacau ini, hanya rentan terhadap Wood.
大衍神算	Perhitungan Derivatif
乱界夹缝-木之界	Keretakan dalam Kekacauan: Alam Kayu
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系水行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有水行之力对其有效。	Sepotong Alam Semesta Terikat yang hancur setelah hancurnya keyakinan, hampir tidak ada pada kekuatan Air dengan satu Akar Roh.\nAlam ini sekarang dipenuhi dengan roh-roh jahat yang mati ketika langit dan bumi runtuh. Mereka hidup di alam kacau ini, hanya rentan terhadap Air.
[warna=WARNA SAYA]%s[/warna]觉得[warna=HEWARNA]%s[/warna]真可爱，好像从冰冷的修仙界找到了一丝温度，心防不在不知不觉中被打开了。	[warna=WARNA SAYA]%s[/warna] berpikir[warna=HEWARNA]%s[/warna] sungguh lucu. Seolah menemukan sumber kehangatan yang tipis di dunia kultivasi yang dingin, jiwa yang kesepian tanpa sadar membuka hatinya.
此时的天空并无星光。	Tidak ada bintang di langit.
乱界夹缝-水之界	Keretakan dalam Kekacauan: Alam Air
无法转换该动物的阵营	Tidak dapat mengubah kesejajaran hewan
北斗星光	Cahaya Bintang Kereta Agung
阿柴	Shiba
{0}大显神通，又减少了食物的产量，灾难加剧了。	{0} melakukan keajaiban, produksi pangan menurun, dan bencana semakin parah.
赈灾需求提高了{0}。	Persyaratan Bantuan Bencana meningkat{0}.
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系火行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有火行之力对其有效。	Sepotong Alam Semesta Terikat yang hancur setelah hancurnya keyakinan, nyaris tidak ada dalam kekuatan Api dengan satu Akar Roh.\nAlam ini sekarang dipenuhi dengan roh-roh jahat yang mati ketika langit dan bumi runtuh. Mereka hidup di alam kacau ini, hanya rentan terhadap Api.
%s 败于 %s 之手！	%s dikalahkan oleh %s!
乱界夹缝-火之界	Keretakan dalam Kekacauan: Alam Api
乱界夹缝-土之界	Keretakan dalam Kekacauan: Alam Bumi
心魔吐息	Nafas Ketidaksopanan
这是技能的tip	Ini adalah tip untuk keterampilan.
业火吐息	Nafas Penistaan
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系土行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有土行之力对其有效。	Sepotong Alam Semesta Terikat yang hancur setelah hancurnya keyakinan, hampir tidak ada di kekuatan Bumi dengan satu Akar Roh.\nAlam ini sekarang dipenuhi dengan roh-roh jahat yang mati ketika langit dan bumi runtuh. Mereka hidup di alam kacau ini, hanya rentan terhadap Bumi.
[NAMA]悄悄追踪这些弟子的踪迹。发现这是一群{0}的内门弟子在掳掠根基不错的凡人修炼魔功。\n[NAMA]表明来意，愿意帮忙，只是需要分润一些好处。{0}的弟子略一沉吟答应[NAMA]的请求。[NAMA]面色一喜，却没想到对面突然出手偷袭，[NAMA]瞬间被重创，拼了全力才逃得性命。	[NAMA] diam-diam melacak jejak murid-murid ini. Ternyata itu adalah sekelompok murid batin{0} menjarah rakyat jelata untuk mempraktikkan sihir mereka.\n[NAMA] menyatakan alasannya[DIA] datang dan itu[DIA] bersedia membantu untuk ikut serta dalam aksi tersebut. Para murid dari{0} bergumam di antara mereka sendiri dan kemudian menyetujui permintaan Anda. Seringai menyebar[NAMA]'wajahnya, tapi kemudian lawan melancarkan serangan mendadak dan[NAMA] menerima kerusakan besar sebelum melarikan diri.
分享码错误或者召唤失败，请重新再试	Kode tidak valid atau pemanggilan gagal, coba lagi
请输入分享码	Masukkan kode Bagikan
尚有角色处于警戒区域，请先远离门派区域	Karakter di area peringatan. Harap menjauh dari sekte tersebut.
无法蕴养	Tidak dapat mengasuh.
我…我是谁……？这里是哪儿？\n糟了，似乎什么都不记得了……\n不，并不是，我还记得一件事，唯有这件事我不会忘：\n我的这具身体————无坚不摧！	A-siapa aku? Dimana saya?\nOh tidak, sepertinya aku tidak mengingat apa pun.\nTidak, itu tidak benar. Saya ingat satu hal dan hanya satu hal:\nTubuhku—tidak bisa dipecahkan!
周天神算施展失败。	Pandangan ke Depan Universal gagal.
最初者	Manusia Pertama
来的人越来越多，很多人甚至还对建筑设计评头论足，奇观建设被耽误了。	Semakin banyak orang yang mengkritik desain tersebut, sehingga pembangunan keajaiban tersebut tertunda.
粉红乡是英雄冢。\n百炼钢化绕指柔。	Pahlawan besar mati di tangan wanita cantik.\nBahkan hati yang keras pun bisa dilunakkan oleh wajah cantiknya.
软弱的心	Hati yang Lembut
玉佩碎裂之后，远处有一道天貊的气息飞了过来。	Setelah batu gioknya pecah, nafas panda dewa terbang dari jauh.
画地为牢	Tahanan Kerajaan
忠诚的将军为王看守宝库。\n千年时光流转，王国早已凋零……\n昔日之誓却如星辉，熠熠闪烁，永不磨灭。	Seorang jenderal yang setia berjanji akan menjaga harta karun rajanya.\nSeribu tahun berlalu, dan kerajaan itu sudah lama terkubur di dalam tanah.\nJanji lama masih belum diingkari.
生命是剧毒，生者饮鸩止渴，但无人能躲过最后的衰亡……\n面对必然的凋零，这一生的挣扎又有何意义？\n来，在我的帮助下，拥抱这生命之毒吧！	Kehidupan adalah racun kuat yang menyebabkan kehancuran segala sesuatu.\nApa gunanya perjuangan jika kita harus menghadapi akhir?\nDi sini, izinkan saya membantu Anda menerima racun kehidupan!
生命之毒	Racun Kehidupan
大衍神算施展失败。	Perhitungan Derivatif gagal.
无法观察	Tidak dapat mengamati
%s今天已经处于饱满状态	%s Hari ini penuh
饥渴的聚灵阵	Formasi Lapar
为了突破境界，修行者耗尽心力搭建超越极限的聚灵阵。\n然而不知为何，聚灵阵的效果竟然被放大了千百倍。\n在成阵的瞬间，修行者瞬间被无尽的灵气奴役化为傀儡……\n四周大地撕裂，万物凋零……	Untuk menerobos keadaan, seorang kultivator mengerahkan semua upaya untuk membangun formasi kondensasi Qi ini hingga melampaui batas.\nTetapi untuk beberapa alasan, efek formasi itu diperkuat ribuan kali lipat.\nPembudidaya dijadikan wadah oleh Qi yang tak terhitung jumlahnya saat formasi mulai terbentuk.\nTanah terkoyak karena segala sesuatu mulai layu.
天池之主	Kolam Penguasa Malaikat
吾乃玄溟，龙中之龙也！\n吾功业盖世，诸天仙神亦难及项背！\n吾乃天池之主！	Saya Xuanming, raja segala naga!\nPrestasiku tak tertandingi bahkan oleh semua makhluk surgawi!\nAkulah penguasa Kolam Malaikat!
好牛逼	Hebat.
好牛逼的法宝	Artefak yang luar biasa.
[NAMA]以秘印解读后，竟然从中了解到一段古代秘辛，而随着秘闻的解读，这本秘册也化为飞灰了！	Setelah[NAMA] menggunakan segel rahasia untuk menguraikannya, menjadi jelas bahwa ada rahasia kuno yang menyebabkan manual itu berubah menjadi abu setelah diuraikan.
据《上古异闻·仙魔之战·卷一》记载，上古时期，三皇飞升后，只有东皇在人间留下道统，号称东皇宫。其势力横压当代，举世无敌，是不折不扣的正道魁首。在其带领下，两次仙魔大战人间界都获得胜利，其声威冠盖上古，无人不知，无人不晓。	Menurut "Rahasia Kuno: Medan Perang Surgawi, Volume I," setelah Tiga Penguasa naik, hanya Penguasa Timur yang meninggalkan ajaran mereka di Istana Timur. Kekuatan sekte ini tidak ada bandingannya, sampai-sampai dirayakan di seluruh dunia. Di bawah kekuasaannya, manusia meraih kemenangan dalam Perang antara Dewa dan Iblis. Tidak ada seorang pun yang tidak mengetahui kekuatan mereka.
据《上古异闻·仙魔之战·卷五》记载，第二次仙魔大战开战在即，东皇宫统领人间修行者建立统一战线抵抗魔界，然而紫霄宗却依仗自己正道根脚，不服管束。关键时刻当霹雳行事，东皇掌教亲自出手杀灭紫霄宗抗命的七大长老，收束军心，最终统一战线得以建立，于第二次仙魔大战中获得惨胜。此役因紫霄宗事变产生剧烈内耗，导致修行界损失惨重，东皇宫迫紫霄宗立下誓言，为第三次仙魔大战先锋，将功赎罪。	Menurut "Rahasia Kuno: Medan Perang Surgawi, Volume V," ketika Perang Kedua antara Dewa dan Iblis sudah dekat dan Istana Timur sedang mempersiapkan front persatuan, Kuil Awan Ungu tidak sejalan. Dengan keberanian dan keteguhan hati yang luar biasa, pemimpin Sekte Istana Timur secara pribadi mengeksekusi tujuh tetua Kuil Awan Ungu karena melanggar perintah, memulihkan disiplin pasukan kultivator. Front persatuan kemudian terbentuk dan kemenangan besar dalam perang dimenangkan. Kejadian Kuil Awan Ungu ini menimbulkan pergesekan internal yang berujung pada permasalahan bagi dunia penggarap. Istana Timur memaksa Kuil Awan Ungu bersumpah mencari penebusan dengan memimpin Perang Ketiga Dewa dan Iblis.
