Key	Value
设置的所需游戏版本比当前游戏版本更高，请确认	Versi game wajib yang Anda tetapkan lebih tinggi dari versi game saat ini. Harap verifikasi
玄门秘籍	Pedoman Ortodoks
当前阵图无内容，无法配置布局	Rencananya tidak ada isinya. Tidak dapat menempatkan tata letak.
藏经阁容量：{0}/{1}	Kapasitas:{0}/{1}
[color=#FF0000]已达到最大等级[/color]	[color=#FF0000]Telah mencapai level maksimal[/color]
祭拜	Memuja
救灾	Pemadam kebakaran
满目凋敝	Dihancurkan
不是内门弟子	Bukan murid batin.
<font color=#D06508>[灵器]</font>[color=#66FFFF]({0})[/color]\n	<color font=#D06508>[Spiritual Artifact]</font>[color=#66FFFF]({0})[/color]\n
解锁神国建筑:[{0}]\n	Bangunan Alam Ilahi yang Tidak Terkunci:[{0}]\n
天气	Cuaca
影响角色灵气最大值。	Mempengaruhi Max Qi karakter.
壮减	Minus Otot
{0}{1}的线索	{0}{1}petunjuknya
单击选择目标	Pendek Tekan sebentar untuk memilih target
正道中流	Terhormat
建筑名非法	Nama bangunan ilegal
游戏中有大量可以提高角色基础属性与技能的方法，而角色初始属性过高，可能对您的游戏体验造成较大地破坏，请谨慎考虑！	Permainan ini menawarkan banyak cara untuk meningkatkan atribut dan keterampilan dasar karakter. Namun, atribut awal yang terlalu tinggi dapat sangat mengganggu pengalaman bermain game Anda. Harap pertimbangkan ini dengan cermat!
多次画符	Gambar Jimat Berganda
阵法真意图鉴需要玩家结成包含对应真意的阵法来点亮。	Untuk membuka isi Ensiklopedia Kebenaran Formasi, Anda perlu membentuk formasi lengkap dari Kebenaran yang sesuai.
从{0}前往{1}	Dari{0}ke{1}
模组商店及万界天宫的内容(UGC)是由玩家所制作，这些内容可能会影响你的游戏体验，包括但不仅限于：内容不适、数值崩溃、历程失控等。我们未对这些分享内容进行任何功能和数值上的审核或者协助，您必须自行分辨并承担下载该内容的风险。	Mod Store dan konten Workshop (User Generated Contents) dibuat oleh pemain. Konten ini dapat memengaruhi pengalaman bermain game Anda, termasuk namun tidak terbatas pada: konten yang tidak pantas, statistik yang tidak seimbang, kemajuan game yang terganggu, dll. Kami tidak mengambil bagian dalam pembuatan konten yang dibagikan ini. Anda harus mengunduh dan bermain dengan risiko Anda sendiri.
护体	Melindungi
土壤肥沃	Tanah yang Kaya
身手	Tindakan
正心不在焉的种植中	Bertani dengan linglung
真炁：{0:F0}/{1:F0}\n体修专属的战斗资源，会快速的恢复和消耗。真炁会随着境界的提升，身躯的淬炼而提升。	Qi Sejati: {0:F0}/{1:F0}\nMemerangi sumber daya yang eksklusif untuk pembudidaya fisik. Ia mengisi kembali dan menghabiskannya dengan sangat cepat. Qi Sejati meningkat seiring dengan Pembentukan Kembali Keadaan dan tubuh seseorang.
弟子女	Murid (P)
让其观察一个物品、建筑或植物，来获得对应的思绪。限于其低下的灵智，同一种思绪只能通过观察并记住一条。	Perintahkan dia untuk mengamati suatu benda, bangunan, atau tanaman untuk mendapatkan Pikiran yang sesuai. Karena kecerdasannya yang terbatas, hanya satu Pikiran dari setiap jenis yang dapat diperoleh melalui observasi dan hafalan.
请选择认知	Pilih Realisasi
该物品不能作为赋灵对象	Benda ini tidak dapat diberkahi dengan roh.
[失去]	[Lost]
确定派遣弟子要进入{0}吗？\n\t参与弟子有：\n{1}	Apakah Anda ingin mengirim murid untuk masuk{0}?\n\tPesertanya antara lain:\n{1}
代理人正在赶来...	Agen sedang dalam perjalanan…
身上已经携带了法宝胚胎{0},无法穿戴多个	Sudah diinkubasi{0}dan tidak bisa memakai barang yang sama.
高	Tinggi
【解锁隐秘·{0}】	[Unlock Mystery {0}]
<font color=#D06508>[原材料]</font>\n{0}\n	<color font=#D06508>[Raw Material]</font>\n{0}\n
自身生长速度较慢，对周边环境产生较大的正面增益。	Tingkat pertumbuhan yang lambat; dampak positif sedang terhadap lingkungan sekitar.
将一名修行者突破到结丹境界（选择角色，通过屏幕下方的人物面板，切换至练功模式，可以专攻修炼，以提高境界。）	Bantu seorang kultivator mencapai kondisi Core Shaping. Pilih karakter dan alihkan ke[Train]melalui menu karakter. Saat pelatihan aktif, karakter akan fokus pada pengembangan diri untuk meningkatkan kondisinya.
参悟经验：{0:F0}/{1:F0}	XP Inspirasi: {0:F0}/{1:F0}
正在下载 ：	Mengunduh:
景色绝美	Menakjubkan
检测服务器MOD...	Uji mod server…
{0}[color=#9e6404][挑战][/color]	{0}[color=#9e6404][Challenge][/color]
奖励发放失败,请稍后重试	Distribusi hadiah gagal, coba lagi nanti
{9}：{10:N2}%\n灵煞趋势：{8}{0:N2}/天\n　蕴养加成：{1}\n　天气加成：{2}\n　季节加成：{3}\n　五行加成：{4}\n　交感加成：{5}\n\n当前状态：{6}\n　{7}\n	{9}: {10:N2}%\nKecenderungan Memberkati:{8}{0:N2}/hari\nMembina:{1}\nCuaca:{2}\nMusim:{3}\nLima Elemen:{4}\nSimpati:{5}\n\nStatus:{6}\n　{7}\n
被{0}屠宰	dibantai oleh{0}.
寅时,黎明时分,平旦之时,五更时分,月沉西落,东方渐白	Saat itu sekitar pukul 03.00–05.00, cahaya mulai bersinar, mengusir kegelapan
木	Kayu
尝试突破瓶颈一次，不论成功与否。	Cobalah terobosan dan lihat apakah Anda berhasil.
影响生产事件中灵石和矿物的产量。	Mempengaruhi hasil batu roh dan mineral dalam acara produksi.
庄重的开启丹炉，准备炼丹	Panaskan tungku alkimia dengan sungguh-sungguh
全局闪避：{0:P2}	Penghindaran Global: {0:P2}
请选择一个合适的突破地点	Pilih tempat yang cocok untuk melakukan terobosan.
打水	Menggambar Air
好的	Oke
{0} ({1}格)	{0} ({1}Ruang angkasa)
进入场景	Memasuki daerah
未知	Tidak dikenal
只能传授给低代弟子	Hanya dapat diberikan kepada murid junior.
历练中......	Petualangan......
重载MapStory	Muat ulang MapStory
不能作为此技能的对象	Tidak dapat ditargetkan oleh skill ini.
[color=#009900][打开][/color]	[color=#009900][On][/color]
失落的灵智	Kecerdasan yang Hilang
突破{0}技能等级上限{1}	Terobosan{1}tingkat{0}keahlian
下载	Mengunduh
秘籍	petunjuk
采掘获取有用的材料。	Gali bahan-bahan yang bermanfaat.
对灵气的感知能力，影响灵气护盾穿透率，法宝镇压几率。	Kemampuan untuk memahami Qi. Mempengaruhi Peluang Penetrasi Penghalang Qi dan Peluang Penekanan Artefak.
蓝图标签	Label cetak biru
消息属性{0}存在问题	Atribut pesan{0}mengandung kesalahan.
重试	Mencoba kembali
已拥有	Dimiliki
分裂镇物	Relik Terpisah
较为利于	Cukup Bermanfaat
交互	Berinteraksi
别名	Alias
千	Ribu
境界不够({0}/{1})\n	Status terlalu rendah ({0}/{1})\n
失败惩罚：	Menghukum:
性别：{1}\n年龄：{0:N0}\n	Jenis kelamin:{1}\nUsia: {0:N0}\n
交流	Bicara
否	TIDAK
你对凡人的情感逐渐收敛，已经很少会有极端的狂喜或悲恸。得益于此，你对神力的掌握渐渐加深，但来自众生的那些平凡微小的信仰你已无法尽数感知。	Anda memiliki lebih sedikit emosi manusiawi dan hampir tidak dapat merasakan suka atau duka yang ekstrem. Anda telah menjadi lebih selaras dengan kekuatan ilahi, tetapi tidak dapat lagi memahami semua keyakinan fana dan kecil.
傲慢	Arogan
在拆地板之时，正在胡思乱想	Menghapus lantai; terganggu oleh pikiran
结丹时的天气对丹品的影响。	Cuaca mempengaruhi kualitas inti selama Pembentukan Inti.
无门无派	Tidak terafiliasi
无法录入	Tidak dapat menyalin
元神之法	Hukum Roh Primordial
尊掌门法旨！可是弟子尚为外门弟子，修为不足以忍受寒晶矿附近的酷寒。	Atas perintah master! Tapi saya masih murid luar. Aku tidak akan mampu menahan hawa dingin di dekat Tambang Kristal Es.
将置物台上的物品丢下。	Hapus item dari Tampilan.
剩余时间:	Waktu tersisa:
已存在同名文档，确定覆盖原存档吗？这将不可逆转。	Menemukan file dengan nama yang sama. Apakah Anda ingin mengganti penyimpanan asli? Hal ini tidak dapat diubah.
御器	Penguasaan Artefak
错误的控制器值:{0}	Nilai Pengontrol Salah:{0}
总大小:	Ukuran:
捕获小动物。	Tangkap binatang kecil.
身手({0:P0})\n上肢受伤会影响该值，身手影响大部分工作的效率。	Tindakan ({0:P0})\nNilai ini terpengaruh ketika lengan karakter terkena kerusakan. Tindakan mempengaruhi efisiensi kerja pada sebagian besar jenis pekerjaan.
请输入蓝图名称	Masukkan nama untuk cetak biru tersebut.
查阅	Meneliti
刚完成收获，准备洗洗手收工	Baru saja selesai panen; akan mencuci tangan dan berhenti bekerja
当前煞性	Menyumpahi
五行蕴养:\n	Lima Elemen Pemeliharaan:\n
在照顾别人的间余，刚小憩片刻	Peduli pada seseorang; sedang istirahat
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	Potensi (POT): Potensi pelatihan karakter. Potensi berkaitan dengan usia dan latar belakang seorang tokoh. Setelah karakter menjadi murid batin, ini akan dikunci dan tidak dapat diubah lebih lanjut.
铸体	Cetakan ulang
给路人提供帮助的次数	Berapa kali Anda membantu orang asing.
资源解压失败	Penguraian zip aset gagal
风水相宜	Feng Shui
复活中	Menghidupkan kembali
我们强烈建议您在进行真仙模式前尽可能的熟悉游戏，真仙模式下您将会面临极大的挑战。\n确定要打开真仙模式吗？	Kami sangat menyarankan Anda membiasakan diri dengan permainan ini sebaik mungkin sebelum memulai Immortal karena mengandung tantangan ekstrim.\nApakah Anda yakin ingin memulai Immortal?
未命名配置	Konfigurasi Tanpa Judul
炼宝	Keahlian
送礼	Hadiah
未选择需要上传的内容	Anda belum memilih konten apa pun untuk diunggah.
{0}点 {1}	{0}poin{1}
竹林深处	Jauh di dalam Hutan Bambu
在制药作业时，正感觉有点无聊	Membuat obat; terasa sedikit bosan
随机生成一个法宝	Hasilkan artefak acak.
灵气	Qi
数量：{0}	Kuantitas:{0}
(等待更换材料)	(Mengganti bahan)
卓越	Pakar
0/1次	0/1 Kali
(休眠)	(Terbengkalai)
体修秘体	Tubuh Rahasia
无称号	Tanpa judul
活物组成	Komposisi Kehidupan
{0}{1:F0}  {2}等级	{0}{1:F0} Lv{2}
{0}心防瓦解	{0}telah terbuka.
精英	Elite
归属：[color=#D06508]{0}[/color]\n	Dimiliki oleh:[color=#D06508]{0}[/color]\n
\n[color=#9e6404]不能共存：[/color]	\n[color=#9e6404]Tidak bisa hidup berdampingan:[/color]
请先为分堂选择专精。	Pertama pilih keahlian untuk cabang Anda.
更新	Memperbarui
行商无法被转换阵营	Pedagang tidak bisa memihak Anda.
已激活	Diaktifkan
将一个物品灵淬	Lakukan Penyempurnaan Aura untuk suatu item.
输入数值	Masukkan Nilai
入驻	Menetapkan
丹药	Eliksir
神修在心境为“动”时，心境会自然提高，情绪越好，提高速度越快。	Ketika kondisi mental sedang 'bergerak', maka secara alami akan meningkat, karena suasana hati yang lebih baik berarti peningkatan yang lebih cepat.
丢失	Hilang
女性	Perempuan
晃眼	Terang
\n当前进度:	\nKemajuan:
{0}\n当前有{1}个门派的任务未完成	{0}\n{1}tugas sekte belum selesai.
{0}品	{0}Kualitas
攻击威力: {0:F0}	Kekuatan Serangan: {0:F0}
在修理建筑之时，正在胡思乱想	Memperbaiki bangunan; terganggu oleh pikiran
上次保存时间:{0}{1}	Penghematan Waktu Terakhir:{0}{1}
装备物品	Lengkapi Barang
请教	Berkonsultasi
查阅秘籍。	Lihat manual.
<font color=#D06508>[激活进度]</font>\n	<color font=#D06508>[Activation Progress]</font>\n
思绪：{0}/{1}	Pikiran:{0}/{1}
\n[color=#FF8B00]消耗平衡点:{0:N0}\n(内门弟子吞服天地灵气补充食物的速度与自身消耗食物的速度在此处达到平衡)[/color]	\n[color=#FF8B00]Kesetimbangan: {0:N0}\n(Seorang murid batin telah melatih Qi mereka sejauh mereka menyerap energi dari lingkungan sekitar dan tidak perlu lagi makan.)[/color]
灵宠觉醒	Hewan Peliharaan Terbangun
可招揽:{0}/{1}	Tersedia untuk perekrutan:{0}/{1}
\n已达到道行上限	\nBatas pencapaian tercapai.
准备好仪轨符具，准备练习秘法	Mempersiapkan jimat dan alat ritual untuk mengamalkan Hukum rahasia
门派	Sekte
存档标识	Simpan Pengidentifikasi File
[NAME]通过从{2}获取的理智，对{3}的感知，对{4}的认知，产生了一点灵智碎片。	Melalui rasionalitas yang diperoleh dari{2}, persepsi{3}dan realisasi{4}, [NAME]telah menghasilkan Pecahan Intelijen.
拼装耗时 :	Waktu perakitan:
年龄不足16岁,无法选择历世!	Berusia kurang dari 16 tahun dan tidak dapat memilih pengalaman!
正兴高采烈的赶路	Berjalan dengan riang
冷淡	Cuek
数据格式有问题,解析失败，请检查配置数据!	Masalah format data, penguraian gagal, harap periksa data konfigurasi!
{0}:{1} 需求:{2}\n	{0}:{1}Memerlukan:{2}\n
无门派	Tidak Ada Sekte
内丹	Inti Dalam
(总值)	(Total)
潜力	Potensi
所修功法：{0}({2})\n{1}\n性别：{5}\n年龄：{3:N0}\n道行：{4:N0}	Hukum yang Dipelajari:{0} ({2})\n{1}\nJenis kelamin:{5}\nUsia: {3:N0}\nPencapaian: {4:N0}
巧匠	kerajinan
挖土	Menggali
{0}的尸体	{0}Mayat
埋葬	Mengubur
他的	miliknya
对弥留的角色进行灵魂拷问，尝试获得对方的秘密。\n拷问会加速角色死亡。	Interogasi karakter yang sekarat, mencoba mengetahui rahasia mereka.\nInterogasi akan membuat karakter lebih cepat mati.
购买妙法宝匣，可补充使用次数，是否前往购买？	Beli Miracle Casket untuk mengisi ulang kali. Apakah Anda yakin untuk membeli?
支付服务不可用,请稍后再试	Layanan pembayaran tidak tersedia, coba lagi nanti
自定义	Kebiasaan
爱好	Hobi
门派声望：{0:F0}\n声望来自于门派各个方面的行为。\n声望会影响来袭敌人的强度。\n声望会影响门派规模:\n山寨: 0\n门派: 500\n洞天: 2000	Reputasi Sekte: {0:F0}\nAnda mendapatkan reputasi dengan berbagai tindakan yang berkaitan dengan suatu sekte.\nReputasi mempengaruhi sulitnya menyerang musuh.\nReputasi mempengaruhi ukuran sekte:\nBenteng: 0\nSekte: 500\nSurga: 2k
[模组]	[Mods]
该效果不能对灵兽起作用!	Efek ini tidak bekerja pada makhluk roh!
前往{0}	Pergi ke{0}
击退抵抗 : {0:P0}	Resolusi Knockback: {0:P0}
(发呆)	(Kesurupan)
只有对炼丹之道有足够的造诣（20级以上），才能将这部分感悟寄托于装备。	Hanya ketika karakter sudah cukup memahami Alkimia (Lv.20 dan lebih tinggi), mereka dapat memasang pencerahan tersebut ke peralatan mereka.
等待激活	Tersedia
_结局	_Akhir
孵化进度：{0:N0}%\n	Penetasan: {0:N0}%\n
是	adalah
机缘	LUKA
新灵智	Intelijen Baru
在修理建筑时，正忍不住神游天外	Memperbaiki bangunan; tidak bisa menahan diri untuk tidak melamun
心境崩溃	Perincian
框选铺设范围	Silakan pilih area untuk meletakkan.
弟子男	Murid (L)
红尘记	Manusia
男人	Pria
\n来自：{0}	\nSumber:{0}
境界加成：{0}\n	Bonus Negara:{0}\n
[{0}]证据不足\n	[{0}]Bukti Tidak Cukup\n
随着时间推移，化妖天灾的影响越来越深了……	Seiring berjalannya waktu, pengaruh bencana pengubah Binatang semakin dalam...
被迫服役	Dipaksa untuk melayani.
本局游戏永久生效	Efek permanen di putaran permainan ini
所选对话文件数据异常无法读取	Kesalahan. Tidak dapat memuat file dialog yang dipilih.
\n点击建造	\nKlik untuk membangun
阵法负荷	Beban Formasi
历练值	Keahlian
环境脏乱	Kotor
水属性伤害减免: {0:P3}	Pengurangan Kerusakan Air: {0:P3}
该物品不能食用	Barang ini tidak dapat dimakan.
有所收获	Anda memperoleh sesuatu
此次思考将消耗所选思绪片段，产生{0}：{1}{2}，并清除所有未记忆的片段。是否确定？	Pemikiran ini akan menghabiskan Pecahan Pemikiran yang dipilih, menghasilkan{0}: {1} {2}, dan bersihkan pecahan yang tidak diingat. Mengonfirmasi?
分类:{0}\n	Kategori:{0}\n
创建XML文件成功!	Dokumen XML dibuat!
垃圾	Sampah
正在乐呵呵的挖矿中	Selamat menambang
历练	Petualangan
{0} 缺少产出方式无法保存	{0}tidak memiliki metode keluaran, tidak dapat menyimpan.
下一级参悟值：{0:F0}/{1:F0}\n提高道行: {3}\n{2}	Inspirasi pada level berikutnya: {0:F0}/{1:F0}\nPencapaian: +{3}\n{2}
{0}[color=#ff0000](错误)[/color]	{0}[color=#ff0000](Kesalahan)[/color]
在战斗中击败修行敌人的数量	Jumlah penggarap yang dikalahkan dalam pertempuran.
重新建造这个建筑。	Bangun kembali struktur ini.
被突然的悲伤打断了修行	Disela oleh kesedihan yang tiba-tiba saat bermeditasi
游戏中才能执行Lua	Lua hanya dapat dieksekusi selama bermain game
妖族崛起	Pemberontakan Yaoguai
单手武器	Senjata 1H
膳夫	Koki
自制物品	Barang Khusus
护法赐予	Hibah Penjaga
未知之物	Barang Tidak Diketahui
赠送	Kirim Hadiah
经验加成	XP
删除	Menghapus
灵魂拷问	Interogasi Jiwa
