ID	Name	Desc	sParam1	sParam2
93	Invasion of Beasts	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
94	Flood Dragon Tracks			
95	Phoenix Tracks			
96	Torch Dragon Tracks			
97	Ancient Cultivator			
98	Secret			
99	Secret			
100	Secret			
101	Secret			
102	Immortal Visitor	Seorang teman abadi Anda diundang untuk mengunjungi sekte Anda, dan dia akan tinggal selama beberapa hari.	Immortal Visitor	
103	Traces Found			
104	Secret			
105	Sentient Spirits Passing By	Seorang yang hidup[NAME]telah muncul di dekat sini, dan dipenuhi dengan rasa ingin tahu.		
106	Sentient Spirits Passing By	Seorang yang hidup[NAME]telah muncul di dekat sini, dan dipenuhi dengan rasa ingin tahu.		
107	Invasion of Beasts	Beberapa monster ayam muncul di dekat sini, dan mereka sangat bermusuhan.		
108	Invasion of Beasts	Beberapa monster ayam muncul di dekat sini, dan mereka sangat bermusuhan.		
109	Invasion of Beasts	Beberapa monster banteng muncul di dekat sini, dan mereka sangat bermusuhan.		
110	Invasion of Beasts	Beberapa monster harimau muncul di dekat sini, dan mereka sangat bermusuhan.		
111	Beast Attack	Sekelompok ayam gila muncul di dekat sini, dan mereka sangat bermusuhan.		
112	Beast Attack	Seekor beruang agresif muncul di dekat sini, dan ia sangat bermusuhan.		
113	Beast Attack	Sekelompok penyu yang panik muncul di dekat sini, dan mereka sangat bermusuhan.		
114	Beast Attack	Sekelompok katak gila muncul di dekat sini, dan mereka sangat bermusuhan.		
115	Beast Attack	Seekor kucing agresif muncul di dekat sini, dan ia sangat bermusuhan.		
116	Beast Attack	Sekelompok banteng gila telah muncul di dekat sini, dan mereka sangat bermusuhan.		
117	Beast Attack	Seekor harimau agresif muncul di dekat sini, dan ia sangat bermusuhan.		
118	Attack	Sekelompok pembudidaya Yaoguai menaruh perhatian serakah pada properti sekte Anda. Mereka muncul di dekatnya dengan penuh permusuhan.		
119	Attack	Sekelompok pembudidaya Yaoguai bermaksud menumbangkan sekte Anda. Mereka berkeliaran di sekitar dengan mata haus darah.		
120	Attack	Sekelompok pembudidaya Yaoguai menyimpan kebencian yang besar terhadap sekte Anda karena alasan tertentu, dan mereka akan melancarkan serangan.		
121	Assault	Sekelompok pembudidaya Yaoguai yang kuat bermaksud merampok kekayaan sekte Anda untuk memperkaya diri mereka sendiri.		
122	Assault	Sekelompok pembudidaya Yaoguai yang kuat mencoba memecat dan membantai sekte Anda.		
123	Assault	Sekelompok pembudidaya Yaoguai gila mencoba menyerang sekte Anda.		
124	Plea for Protection	Yaoguai yang baru saja berubah bentuk mencari perlindunganmu, berharap bisa selamat dari Kesengsaraan Surgawi Perubahan Bentuk dengan bantuanmu.		
125	Animal Joined	Seekor kucing telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
126	Animal Joined	Seekor ayam telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
127	Animal Joined	Seekor banteng telah datang ke sekte Anda, sepertinya senang berada di sini.		
128	Animal Joined	Seekor kura-kura telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
129	Animal Joined	Seekor kelinci telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
130	Animal Joined	Seekor katak telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
1000	Dragon Passing By			
1001	Burst of Qi			
1002	Phoenix Passing By			
10000	Establishment	Kami hidup dalam pengasingan di sini, mencoba memulai kembali kultivasi kami. Kami juga mendirikan sekte kecil kami sendiri. Akankah ini menjadi awal dari sebuah legenda baru?\n\n[color=#D06508]Dekorasi tidak terkunci.\nMembuka lebih banyak bangunan.[/color]		
10001	Famous	Sekte kami secara bertahap mendapatkan ketenarannya, dan ini bukanlah tugas yang mudah. Mari kita terus membangunnya menjadi sekte yang lebih besar.\n\n[color=#D06508]Populasi maksimum sekte ini telah ditingkatkan.[/color]		
10002	Eminent	Sekte kami telah mendapatkan keunggulannya di dunia kultivator. Ini telah menjadi tempat praktik yang diimpikan semua orang untuk bergabung.\n\n[color=#D06508]Populasi maksimum sekte telah ditingkatkan.\nAnda dapat mendirikan cabang baru melalui Struktur Sekte.		
10003	A New Leader	    [NAME]telah menjadi pemimpin sekte kami. Yang satu ini pasti akan membawa kita semua menuju keabadian.		
10004	Lack of Leader	Kami membutuhkan seseorang untuk menjadi pemimpin sekte kami.\n[color=#D06508]Anda dapat memilih pemimpin sekte melalui[Sect Structure]di menu Sekte.[/color]		
10005	Recommended Disciple	Murid yang direkomendasikan hampir tiba.		
10006	Escape the Unrest	Karena Anda melarikan diri dengan tergesa-gesa, Anda tidak membawa banyak sumber daya. Anda telah melarikan diri selama beberapa hari, dan hal ini menghabiskan hampir seluruh energi Anda.\nTanpa pilihan lain, Anda harus tetap di sini dan memulihkan diri untuk saat ini.		
10007	Settled	Api unggun yang hangat membantu meredakan ketegangan dan kegelisahan Anda. Setelah berdiskusi singkat, Anda memutuskan bahwa Anda cukup jauh dari bahaya, jadi Anda harus mendirikan perkemahan sementara di sini.\n\n[color=#D06508]Bangunan Struktural Tidak Terkunci\nPerabotan Dasar Tidak Terkunci\nStasiun Kerja Dasar Tidak Terkunci\nPapan Lantai dan Atap Tidak Terkunci[/color]		
10008	Contented	Meskipun Anda masih menderita karena kehilangan murid dan guru senior Anda, Anda perlahan-lahan mulai tenang. Menyadari bahwa ini adalah tempat yang sangat terpencil dan orang-orang yang mengejarmu sepertinya sudah menyerah, kamu memutuskan untuk tinggal di sini setelah berdiskusi kecil.\n\n[color=#D06508][/color]		
10009	A New Home	Anda sepertinya sudah terbiasa dengan kehidupan di sekitar sini. Meski tidak senyaman saat masih di sekte lama, namun kehidupan di sini masih cukup mandiri. Mengapa ini tidak bisa juga menjadi bentuk budidaya?\nIni adalah rumah baru di tengah segala kekacauan dan kerusuhan. Akankah ini menjadi awal yang baik juga? Semua orang penuh harapan.\n\n[color=#D06508]Perabotan Tingkat Lanjut Tidak Terkunci\nStasiun Kerja Tingkat Lanjut Tidak Terkunci[/color]		
10010	Escaped Outer Disciple	Murid luarmu[NAME]telah melarikan diri di malam hari karena[IT]tidak tahan lagi tinggal di sini.		
10011	Cultivator Again	Seseorang di antara kita telah menerobos!\nOrang ini tiba-tiba dapat merasakan energi kuat antara langit dan bumi: \nQi.\nGerbang kultivasi akhirnya terbuka untuk kita.\n\n[color=#D06508]Qi telah terlihat.\nAnda dapat mendirikan sekte sekarang.[/color]		
10012	Departure	Saya tidak tahu kesalahan apa yang saya lakukan, tetapi karena Anda telah memintanya, saya akan melanjutkan perjalanan. Terima kasih semuanya atas kebaikan Anda beberapa hari terakhir ini.\n[TXT]Saya senang bisa tinggal dan bekerja bersama Anda.		
10013	Prediction	    [NAME]Prediksi masa depan adalah:\n[TXT]		
10014	Glowing Stone Casket	Malam ini bulan purnama. Peti batu yang diberikan oleh pendeta Tao itu tiba-tiba bersinar di tengah malam, dan kemudian sebuah celah muncul. Tampaknya Anda bisa dengan mudah membukanya.		
10015	Cultivation Law Obtained	Anda telah memperoleh Hukum budidaya baru:[TXT]		
10016	Cultivation System Unlocked	Anda telah memperoleh Hukum budidaya pertama Anda. Anda sekarang memenuhi syarat untuk melanjutkan kultivasi Anda. Hukum kultivasi akan penuh dengan kesulitan, namun hidup di masa sulit dapat menjadi sumber kesengsaraan yang tak ada habisnya, dan anda selalu hanyut. Mungkin menemukan Hukum kenaikan adalah satu-satunya cara untuk melepaskan diri dari semua masalah duniawi. \n\n[color=#D06508]Membuka kunci sistem budidaya.\nMembuka kunci bangunan untuk budidaya.\n(Lihat semua Hukum di menu Sekte)[/color]		
10017	Invasion of Enemies	Sekelompok orang yang penuh permusuhan muncul di dekat sini.		
10018	Ascension	    [NAME]telah melewati semua kesulitan dan akhirnya naik ke atas alam ini, hanya menyisakan tubuh fana yang abadi untuk disembah oleh generasi mendatang.\nSebuah puisi sebagai bukti:\n[color=#D06508]Dari kekacauan yang terjadi di alam semesta, manusia pertama lahir. Kesatuan muncul sebelum dualitas, dan Empat Simbol menjaga bumi.\nSang dewi memberi kehidupan pada semua ciptaan dari tanah liat, sementara Yang Maha Cerah melukiskan gambaran yang memisahkan Yin dan Yang.\nSeratus tahun penanaman berlalu sementara para prajurit bertempur dalam pertempuran yang tak terhitung jumlahnya. Seribu tahun lagi hanyalah sekejap mata dalam meditasi.\nSaya tidak akan berkata apa-apa lagi karena Kesengsaraan Surgawi datang untuk membawa saya pergi. Semua masalah duniawi akan hilang bersama angin setelah saya meninggalkan alam eksistensi ini.[/color]		
10019	Assault	    [TXT]telah mengirim sekelompok murid elit untuk membalas dendam.		
10020	Assault	    [TXT]telah mengirim murid senior untuk membalas dendam.		
10021	Assault	    [TXT]telah mengirim tetua sekte yang berpengalaman untuk membalas dendam.		
10022	Fire of Anger	Perilaku Anda membuat marah[TXT], dan mereka akan segera mengambil tindakan.		
10023	Tribulation Day	    [NAME]Budidaya telah mencapai batasnya. Kesengsaraan Surgawi akan segera terjadi!		
10024	Mysterious Immortal	Selama beberapa hari, Anda bersembunyi di siang hari dan melakukan perjalanan di malam hari, akhirnya sampai di jurang terpencil. Saat Anda hendak bersantai, cahaya teleportasi tiba-tiba muncul, menunjukkan kontur seorang kultivator.		
10025	Mysterious Immortal	Kultivator misterius itu melihat sekeliling sambil berpikir keras, dan kemudian menghilang ke dalam cahaya teleportasi lainnya.		
10026	Tutorial	Selamat! Anda telah menguasai fitur dasar Simulator Budidaya Luar Biasa.\nSelanjutnya, Anda dapat membuat karakter Anda sendiri di Klasik dan memulai perjalanan kultivasi yang sebenarnya.\nNikmati permainannya!		
10027	Perished	Ini saat yang buruk. Hukum anda dalam berkultivasi belum dimulai dan belum berakhir. Yang tersisa hanyalah daratan dan lautan luas yang akan menghapus kesedihanmu.		
10028	Destroyed	    [TXT]Yang tersisa hanyalah daratan dan lautan luas yang akan menghapus kesedihanmu.		
10029	A New Beginning	Seorang pengelana yang bersembunyi di pegunungan menemukan reruntuhan tersebut. Tanpa ada tempat lain untuk pergi,[IT]memutuskan untuk tinggal di sini sekarang.		
10030	Mysterious Immortal	Kamu merasakan kehadiran yang lembut dan hangat yang berhenti di sisimu untuk beberapa saat, sebelum perlahan menjadi lemah dan akhirnya menghilang, seolah-olah tidak pernah ada di sini...		
10031	Blessed	    [TXT]menjadi diberkati, dan tiba-tiba mendapat banyak ketenaran dan berubah drastis.		
10032	Absent-minded	    [NAME]harus segera kembali untuk meditasi karena terlalu lama dikirim ke luar sekte.		
10033	Injured	    [NAME]harus kembali ke sekte untuk pulih dari cedera mereka selama penempatan.		
10034	Blending In	Setelah beberapa waktu dihabiskan untuk hidup bersama,[NAME]telah sepenuhnya menyatu dengan sekte lainnya.		
10035	Restless	Merasakan kehadiran seorang kultivator dengan Inti Emas,[NAME]tinggal di sini sepertinya sedikit gelisah...		
10036	Attack	Untuk mencegahmu berkembang,[NAME]tinggal di sini telah menyerang.		
10037	Restless	Merasa bahwa sekte Anda mungkin bukan ancaman potensial,[NAME]tinggal di sini berkonspirasi melawanmu...		
10038	Attack	Tak mampu lagi menahan godaan darah dan daging,[NAME]tinggal di sini telah menyerang.		
10039	Evolved	Dipengaruhi oleh cuaca dan Qi, a[NAME]telah diberkati dan berubah menjadi binatang.		
10040	Sinister	    [NAME]datang ke tempat ini dan tiba-tiba merasakan sesuatu yang menyeramkan, seolah-olah ada makhluk jahat yang tinggal di dekatnya.		
10041	Mysterious Cavern	Gempa bumi yang semakin sering terjadi di sekte Anda tiba-tiba berhenti baru-baru ini, dan pada saat yang sama, sebuah gua misterius muncul di tanah.\nPara pembudidaya kuno mulai lebih sering muncul di alam ini. Mungkin Anda bisa menanyakan informasi kepada mereka.		
10042	Threatening	Gua misterius itu tiba-tiba menjadi mengancam, dan ia ingin Anda berkorban[TXT].		
10043	Sacrificed	Anda menyelesaikan ritual di depan gua, dan makhluk misterius itu sangat puas.		
10044	Rainstorm	Makhluk misterius di dalam gua itu sangat marah, dan hujan badai datang dengan raungannya yang sangat marah.		
10045	Qi Drought	Makhluk misterius di dalam gua itu sangat marah, dan tarikan kuat dari gua menyedot semua Qi di sekitar tempat itu.		
10046	Polar Night	Makhluk misterius di dalam gua itu sangat marah, dan malam kutub dimulai sebagai akibat dari kemarahannya.		
10047	Invasion of Beasts	Makhluk misterius di dalam gua sangat marah, dan menarik beberapa binatang untuk menyerang sekte Anda.		
10048	Dawn of Anger	Makhluk misterius di dalam gua itu sangat marah, dan menyemburkan semburan air yang merusak permukaan tanah.		
10049	Dragon Born	Makhluk misterius di dalam gua tidak dapat menahan amarahnya lagi. Dengan suara keras yang bisa menyebar ribuan mil, seekor binatang raksasa muncul dari tanah.		
10050	Extreme Heat	Untuk alasan yang tidak diketahui, suhu rata-rata di alam ini tiba-tiba meningkat cukup tinggi. Kenaikan suhu ini jauh melampaui perubahan cuaca normal. Ini mungkin mengindikasikan sesuatu yang tidak biasa.		
10051	Unhinged Monster	Kekeringan ekstrim telah membuat monster menjadi gila, dan beberapa monster yang tidak berdaya telah muncul di dekat sekte tersebut.		
10052	Blazing Wing Falling	Gelombang panas menyapu langit, dan sesuatu yang aneh jatuh.		
10053	Prolonged Drought	Panas yang terus berlanjut telah menyebabkan kekeringan. Anda merasakan suhu meningkat semakin tinggi. Jika Anda tidak mengambil tindakan sekarang, situasinya mungkin akan bertambah buruk.		
10054	Unhinged Beast	Beberapa binatang menjadi gila karena ketakutan, dan mereka bahkan meninggalkan wilayah mereka sendiri untuk membuat kekacauan di mana-mana.		
10055	Blazing Wing Falling	Gelombang panas menyapu langit, dan sesuatu yang aneh jatuh.		
10056	Shrilling Sound	Setelah mengucapkan mantra untuk mengusir kekeringan yang berkepanjangan, Anda mendapati bahwa dunia tampak menjadi sangat menakutkan selama satu jam. Beberapa saat kemudian, sekawanan besar burung tiba-tiba terbang dari pegunungan terpencil. Suara melengking dan seram memecah kesunyian.		
10057	Phoenix	Phoenix ada di sini.		
10058	Polar Night Begins	Untuk alasan yang tidak diketahui, alam tiba-tiba kehilangan keseimbangan Yin dan Yang. Malam yang gelap menyelimuti area sekitar sekte Anda.		
10059	Eggs of Yin	Beberapa telur aneh tiba-tiba muncul di dekat sekte Anda di tengah malam. Ada sesuatu yang menetas di dalam diri mereka...		
10060	Polar Day Begins	Untuk alasan yang tidak diketahui, alam tiba-tiba kehilangan keseimbangan Yin dan Yang. Saat itu tengah hari di daerah sekitar sekte Anda... Anda tidak tahu berapa lama kekacauan ini akan berlanjut.		
10061	Eggs of Yang	Beberapa telur aneh tiba-tiba muncul di dekat sekte Anda di tengah hari. Ada sesuatu yang menetas di dalam diri mereka...		
10062	Torch Dragon Born	Kekacauan Yin dan Yang yang terus berlanjut akhirnya mencapai batasnya. Sambil menghela nafas panjang, makhluk raksasa mulai muncul di dunia nyata.		
10063	Torch Dragon's Chaos	Saat telur aneh mulai menetas, Yin dan Yang dari alam ini perlahan kehilangan keseimbangan.		
10064	Torch Dragon's Chaos	Saat telur-telur aneh itu dihancurkan, Yin dan Yang dari alam ini perlahan-lahan kehilangan keseimbangan.		
10065	Drastic Change	Tiba-tiba terjadi ledakan Qi di Dataran Tengah. Seiring berjalannya waktu, masyarakat mulai menyadari bahwa skala dan intensitas ledakan tersebut melampaui ekspektasi. Ini telah menyebar dari titik ledakan pusat selama lebih dari sebulan, membuktikan bahwa itu sebenarnya adalah perubahan drastis yang akan mempengaruhi semua kultivator.\nSekarang, pengaruh ledakan telah mencapai sekte Anda. Saat semua orang menikmati Qi yang melimpah, Anda bertanya-tanya apa arti perubahan drastis ini bagi Anda semua...		
10066	Thousand-year Tide	Sudah berhari-hari sejak ledakan Qi selesai menyebar ke seluruh dunia. Dari membaca dokumen-dokumen lama, sekte-sekte terkenal akhirnya memutuskan bahwa gelombang Qi-lah yang melonjak setiap 3.000 tahun. Para penggarap kuno yang tertidur karena berbagai alasan mulai dihidupkan kembali satu per satu oleh Gelombang Seribu Tahun.\nTanpa tatanan dan aturan saat ini, para penggarap di zaman dahulu percaya pada hukum rimba. Para kultivator dengan kepercayaan kuno dan pengalaman panjang dalam berkultivasi ini telah menyebabkan kekacauan di dunia kultivator hanya dalam beberapa hari...		
10067	Disaster in the Wild South	Sebuah bencana misterius terjadi baru-baru ini di pegunungan di perbatasan utara. Dikatakan bahwa tanah dan gunung berguncang selama satu menit, dan suaranya sangat keras hingga menyebar ribuan mil. Ketika para penggarap terdekat tiba, mereka hanya menemukan semua gunung tenggelam dalam air, dengan Qi yang kuat dan tidak menyenangkan merembes ke area tersebut.\nTampaknya beberapa binatang purba langka dan sulit ditangkap yang bersembunyi di pegunungan dan danau terpengaruh oleh Gelombang Seribu Tahun dan menjadi aktif kembali.		
10068	Underground Noise	Gelombang Seribu Tahun telah berlalu. Dalam waktu kurang dari sebulan, para pembudidaya kuno dihidupkan kembali, dan binatang buas kuno mulai aktif kembali... Dunia para pembudidaya dihadapkan pada perubahan drastis. Seiring berjalannya waktu, dunia kultivator secara bertahap mendapatkan kembali kedamaian dan keseimbangannya. Segalanya tampak kembali ke jalurnya.\nNamun, guncangan bawah tanah mulai sering terjadi di sekte Anda. Anda tidak tahu apa yang sedang terjadi...		
10069	Invasion of an Ancient Cultivator	Kultivator kuno ini telah berhasil menemukan sekte Anda setelah penyelidikan yang cermat.		
10070	Beast Awakens	Binatang buas yang menempati tanah ini telah bangkit.		
10071	Tribulation of Dragons	Kekuatan Kesengsaraan Surgawi telah membunuh semua Naga Banjir yang belum lahir...		
10072	Disturbance of the Otherworld	Ada pembicaraan bahwa Otherworld Rift tiba-tiba terbuka akhir-akhir ini dan beberapa harta karun terbang keluar darinya, tersebar ke seluruh dunia. Anda merasakan sesuatu yang aneh sedang terjadi. Tampaknya Anda memiliki hubungan spiritual dengan harta karun ini dan diperlukan pencarian yang cermat.		
10073	Disturbance of the Otherworld	Ada pembicaraan bahwa Otherworld Rift tiba-tiba terbuka akhir-akhir ini dan beberapa harta karun terbang keluar darinya, tersebar ke seluruh dunia. Anda merasakan sesuatu yang aneh sedang terjadi. Tampaknya Anda memiliki hubungan spiritual dengan harta karun ini dan diperlukan pencarian yang cermat.		
10074	Disturbance of the Otherworld	Ada pembicaraan bahwa Otherworld Rift tiba-tiba terbuka akhir-akhir ini dan beberapa harta karun terbang keluar darinya, tersebar ke seluruh dunia. Anda merasakan sesuatu yang aneh sedang terjadi. Tampaknya Anda memiliki hubungan spiritual dengan harta karun ini dan diperlukan pencarian yang cermat.		
10075	Disturbance of the Otherworld	Ada pembicaraan bahwa Otherworld Rift tiba-tiba terbuka akhir-akhir ini dan beberapa harta karun terbang keluar darinya, tersebar ke seluruh dunia. Anda merasakan sesuatu yang aneh sedang terjadi. Tampaknya Anda memiliki hubungan spiritual dengan harta karun ini dan diperlukan pencarian yang cermat.		
10076	Departure	Mengapa Anda mengirim saya sebagai hadiah[TXT]?		
10077	Ascension	    [NAME]telah mencapai keilahian mereka dan kehilangan semua perasaan dan emosi. Dengan setiap hubungan dan koneksi antarmanusia terputus,[IT]telah sepenuhnya berubah menjadi dewa di alam ini.		
10078	Condemnation from the Merchant Union	Karena perilaku kasar Anda, Merchant Union telah memutuskan untuk melarang Anda dari daftar perdagangan mereka selamanya.		
10079	Revenge	    [TXT]Teman dan sesepuh datang ke sekte Anda dengan ekspresi marah dan agresif, meminta penjelasan dan permintaan maaf Anda.		
10080	Revenge	    [TXT]telah mengkhianati sekte mereka sendiri karena kamu. Teman lama dan orang tua mereka sangat marah dan akan datang meminta penjelasan dan permintaan maaf Anda.		
10081	Connection	    [TXT]Murid telah mengkhianati sekte mereka karena Anda, tetapi karena Anda memiliki hubungan yang baik satu sama lain, tetua senior mereka telah memerintahkan untuk tidak melanjutkan masalah ini.\n(Koneksi dikurangi)		
10082	Connection	    [TXT]Murid telah mengkhianati sekte mereka karena Anda, tetapi karena Anda memiliki hubungan yang baik satu sama lain, mereka berusaha untuk tidak melanjutkan masalah ini. Namun bantuan yang mereka berikan kepada Anda mungkin tidak cukup untuk menghentikan mereka untuk tetap diam.\n(Koneksi dikurangi)		
10083	Visit from the Merchant Union	    [NAME]dari Merchant Union datang berkunjung, dan dia akan tinggal di sini selama satu hari.		
10084	Return from the Otherworld	Beberapa hari yang lalu, sekelompok pedagang di serikat pekerja menghilang saat menjelajahi Otherworld Rift. Ketika semua orang mengira mereka akan pergi untuk selamanya, Celah Dunia Lain terbuka lagi dan semua pedagang kembali dengan selamat, bahkan membawa banyak barang aneh dari Dunia Lain.\nNamun, sejumlah besar benda Dunia Lain telah membawa Pengakuan Iman Surga dari Dunia Lain. Di bawah pengaruh cara surga di Dunia Lain, beberapa perubahan sementara telah terjadi pada cara surgawi di dunia ini juga. Bahkan Naga Obor, perwujudan Aturan Yin dan Yang, menjadi sedikit aneh...		
10085	Awakened Bear			At [TXT], a bear came to the realization of "[FRAG]" by chance, and has thus become awakened.
10086	Awakened Rabbit			At [TXT], a rabbit came to the realization of "[FRAG]" by chance, and has thus become awakened.
10087	Awakened Chicken			At [TXT], a chicken came to the realization of "[FRAG]" by chance, and has thus become awakened.
10088	Awakened Wolf			At [TXT], a wolf came to the realization of "[FRAG]" by chance, and has thus become awakened.
10089	Awakened Snake			At [TXT], a snake came to the realization of "[FRAG]" by chance, and has thus become awakened.
