ID	Desc
66	Ruangan tersebut harus memiliki minimal 2 spanduk.
67	Ruangan harus memiliki minimal 1 rak.
68	Ruangan tidak boleh memiliki area air.
69	Ruangan harus memiliki minimal 1 area perairan.
70	Ruangan tersebut harus memiliki minimal 1 area spirit.
71	Ruangan tersebut tidak boleh memiliki lahan apa pun.
72	Ruangan tersebut harus memiliki minimal 1 bangunan dan peninggalan dengan elemen penghubung.
73	Ruangan tersebut harus memiliki minimal 2 bangunan dan peninggalan dengan elemen penghubung.
74	Ruangan tersebut harus memiliki minimal 3 bangunan dan peninggalan dengan elemen penghubung.
75	Ruangan tersebut tidak boleh mempunyai bangunan yang elemennya melawan relik.
76	Ruangan tersebut tidak boleh memiliki lebih dari 1 bangunan dan peninggalan dengan elemen penangkal.
77	Ruangan tersebut tidak boleh memiliki lebih dari 2 bangunan dan relik dengan elemen penangkal.
78	Ruangan tersebut tidak boleh memiliki lebih dari 3 bangunan dan relik dengan elemen penangkal.
79	Ruangan tersebut harus memiliki minimal 1 bangunan dan peninggalan dengan elemen yang sama.
80	Ruangan tersebut harus memiliki minimal 2 bangunan dan peninggalan dengan elemen yang sama.
81	Ruangan tersebut harus memiliki minimal 3 bangunan dan peninggalan dengan elemen yang sama.
82	Harus memiliki setidaknya 1.000 Relic Qi.
83	Harus memiliki setidaknya 5.000 Relic Qi.
84	Harus memiliki setidaknya 10.000 Relic Qi.
85	Harus memiliki setidaknya 30.000 Relic Qi.
86	tidak boleh memiliki lebih dari 1.000 Relic Qi.
87	tidak boleh memiliki lebih dari 5.000 Relic Qi.
88	tidak boleh memiliki lebih dari 10.000 Relic Qi.
89	tidak boleh memiliki lebih dari 30.000 Relic Qi.
90	Lokasi Relik harus diisi dengan Qi.
91	Semua bangunan ruangan harus memiliki Feng Shui yang tidak menyenangkan (Sedikit Tidak Menyenangkan/Tidak Menyenangkan/Sangat Tidak Menyenangkan).
92	Semua bangunan ruangan harus memiliki Feng Shui yang menguntungkan (Sedikit Menguntungkan/Menguntungkan/Sangat Menguntungkan).
93	Ruangan itu tidak boleh memiliki bangunan yang sangat menguntungkan.
94	Ruangan itu harus memiliki tepat 1 bangunan yang sangat menguntungkan.
95	Ruangan itu tidak boleh memiliki lebih dari 1 bangunan yang sangat menguntungkan.
96	Ruangan itu tidak boleh memiliki lebih dari 2 bangunan yang sangat menguntungkan.
97	Ruangan tersebut harus memiliki setidaknya 1 bangunan yang sangat tidak menyenangkan.
98	Ruangan tersebut harus memiliki setidaknya 2 bangunan yang sangat tidak menyenangkan.
99	Ruangan tersebut harus memiliki tepat 1 Relik Feng Shui.
100	Ruangan tersebut harus memiliki tepat 1 Relik Feng Shui.
101	Ruangan tersebut harus memiliki tepat 1 Relik Feng Shui.
102	Ruangan tersebut harus memiliki tepat 1 Relik Feng Shui.
103	Ruangan tersebut harus memiliki tepat 1 Relik Feng Shui.
10001	Harus memiliki setidaknya 100.000 Relic Qi.
10002	Ruangan tersebut harus memiliki setidaknya 5 bangunan yang sangat tidak menyenangkan.
10003	Ruangan tersebut harus memiliki tepat 1 Relik Feng Shui.
10004	Ruangan harus memiliki tepat 8 sumber cahaya.
10005	Ruangan harus memiliki minimal 3 kompor.
10006	Ruangan harus memiliki tepat 7 sumber cahaya.
10007	Ruangan itu harus memiliki tepat 5 kuburan.
10008	Ruangan harus memiliki tepat 2 sensor.
10009	Ruangan tersebut harus memiliki tepat 2 spanduk.
10010	Kamar harus memiliki tepat 1 tempat tidur.
10011	Ruangan tidak boleh mempunyai bantal atau bantalan qi.
20.000	Ruangan tersebut harus memiliki tepat 1 peninggalan roh.
