Tag	TargetType	Q	MA	SA	FA	fParam	sParam
S_Hobby_Ask	0	Tahukah Anda apa yang harus saya perhatikan saat menanganinya [TNAME] ?	Bagaimana saya tahu?	[TIT] memiliki [TXT] , begini... Perhatikanlah jika ingin menjadi temannya.	Aku tidak ingin memberitahumu.		
S_LikeItem_Discuss	0	Izinkan saya memberi tahu Anda, [TNAME] sangat disukai [TXT] .	Saya tidak tertarik dengan hal itu.	Suatu kebetulan. Aku juga mengetahuinya!	Ah masa? Anda bahkan tahu tentang itu?		
S_LikeItem_Ask	0	Apakah ada sesuatu yang kamu tahu itu [TNAME] akan suka?	Bagaimana saya tahu?	Ya saya tahu. [TIT] mencintai [TXT] . Bahkan kadang lupa makan dan tidur [TXT] .	Aku tidak ingin memberitahumu.		
S_Secret_Discuss	0	Izinkan saya memberi tahu Anda, [TNAME] tahu tentang [TXT] .	Saya tidak tertarik dengan hal itu.	Suatu kebetulan. Aku juga mengetahuinya!	Ah masa? Anda bahkan tahu tentang itu?		
S_Secret_Ask	0	Katakan padaku apa [TNAME] tahu.	Bagaimana saya tahu?	Tentang [TXT] , [TIT] mungkin mengetahui sesuatu.	Aku tidak ingin memberitahumu.		
T_Carry_Discuss	0	Anda sebenarnya memiliki [TXT] pada kamu. Ini akan sangat berguna dalam situasi tertentu. Anda memang berpikir ke depan!	Bukankah kita sudah membicarakannya?	Benar, menurut Anda [TXT] penting juga? Jadi, Anda juga orang yang pintar!	Hah? Apa maksudmu? (Menutupi kantong mereka sendiri)		
T_Carry_Ask	0	Apakah ada barang yang Anda bawa saat bepergian?	Bukankah kita sudah membicarakannya?	Saya selalu punya [TXT] bersamaku saat sedang bertualang. Ini mungkin berguna dalam situasi tertentu.	Hah? Apa maksudmu? (Menutupi kantong mereka sendiri)		
T_Esoterica_Discuss	0	Saya mendengar bahwa Anda pandai dalam hal itu [TXT] . Itu luar biasa. Saya akan sangat puas jika saya memiliki keahlian Anda.	Bukankah kita sudah membicarakannya?	Kamu adalah temanku. Saya akan mengajari Anda jika Anda ingin belajar! Dengan kemampuan Anda, akan sangat mudah untuk menguasainya.	Oh? Apa yang kamu inginkan?		
T_Esoterica_Ask	0	Adakah yang kamu kuasai?	Bukankah kita sudah membicarakannya?	Saya cukup ahli dalam hal itu [TXT] .	Kenapa aku harus memberitahumu?		
T_Feature_Discuss	0	Sebenarnya, aku seorang [TXT] orang juga. Terkadang itu sangat menggangguku, tapi apa yang bisa kamu lakukan?	Bukankah kita sudah membicarakannya?	Ya, kamu juga seperti ini? Jadi kami adalah orang-orang yang berpikiran sama...	Apa maksudmu? Apakah Anda mencoba mengolok-olok saya?		
T_Feature_Ask	0	(Terlalu tidak pantas untuk menanyakan topik ini secara langsung. Lebih baik cari lebih banyak informasi dari orang lain dan lanjutkan membicarakannya nanti.)	...	...	...		
T_HateItem_Discuss	0	Mengapa hal-hal menjijikkan seperti itu [TXT] harus ada? Benar?	Bukankah kita sudah membicarakannya?	Aargh! Kamu juga membenci hal ini?! Saya merasakan hal yang sama. Ingin menghancurkan semuanya [TXT] di dunia.	Apa? Apakah Anda meremehkan saya?		
T_HateItem_Ask	0	Apakah ada sesuatu yang tidak kamu sukai?	Bukankah kita sudah membicarakannya?	Ya. aku benci [TXT] begitu banyak sehingga saya ingin menghancurkan semuanya [TXT] di dunia.	Kenapa aku harus memberitahumu?		
T_Hobby_Discuss	0	Sebenarnya aku juga punya [TXT] , mirip dengan apa yang terjadi padamu... Ceritanya panjang sekali.	Bukankah kita sudah membicarakannya?	Anda pernah mengalami pengalaman yang sama? Itu benar. Sulit bagi orang lain untuk memahaminya...	(Mengubah sikap) Mengapa Anda mengungkit hal itu?		
T_Hobby_Ask	0	(Terlalu tidak pantas untuk menanyakan topik ini secara langsung. Lebih baik cari lebih banyak informasi dari orang lain dan lanjutkan membicarakannya nanti.)	...	...	...		
T_LikeItem_Discuss	0	saya suka [TXT] . Hanya dengan [TXT] , aku bisa merasakan diriku hidup!	Bukankah kita sudah membicarakannya?	Anda juga merasakan hal yang sama? Saya tidak bisa membayangkan apa jadinya hidup tanpanya [TXT] !	Oh? Kenapa tiba-tiba mengungkit hal ini?		
T_LikeItem_Ask	0	Apakah ada yang kamu suka?	Bukankah kita sudah membicarakannya?	Sekarang saya tidak mengantuk sama sekali, membicarakan hal ini! saya suka [TXT] sangat banyak. Itu adalah hadiah dari surga.	Kenapa aku harus memberitahumu?		
T_Secret_Discuss	0	Sebenarnya aku cukup penasaran [TXT] . Sungguh menarik!	Bukankah kita sudah membicarakannya?	Saya tahu satu atau dua hal tentangnya [TXT] . Seperti ini dan itu...	Oh? Kenapa tiba-tiba mengungkit hal ini?		
T_Secret_Ask	0	(Ini adalah topik yang sulit untuk didekati jika Anda tidak tahu apa-apa tentangnya. Lebih baik cari lebih banyak informasi dari orang lain dan tanyakan secara diam-diam...)	...	...	...		
