Tag	TargetType	Q	MA	SA	FA	fParam	sParam
Chat_Place_WuLian1	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan yang hanya memakan sari batu giok. Mungkin digambar oleh elemen Tanah.				
Chat_Place_WuLian2	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan yang hanya memakan sari batu giok. Mungkin digambar oleh elemen Tanah.				
Chat_Place_FertileField1	0	Ada ikan spesial di sini?	Ada sejenis ikan mas di sungai terdekat yang berwarna biru pekat dan menyukai makanan berelemen Air.				
Chat_Place_FertileField2	0	Ada ikan spesial di sini?	Ada sejenis ikan mas di sungai terdekat yang berwarna biru pekat dan menyukai makanan berelemen Air.				
Chat_Place_FertileField3	0	Ada ikan spesial di sini?	Ada sejenis ikan mas di sungai terdekat yang berwarna biru pekat dan menyukai makanan berelemen Air.				
Chat_Place_FertileField4	0	Ada ikan spesial di sini?	Ada sejenis ikan mas di sungai terdekat yang berwarna biru pekat dan menyukai makanan berelemen Air.				
Chat_Place_FertileField5	0	Ada ikan spesial di sini?	Ada sejenis ikan mas di sungai terdekat yang berwarna biru pekat dan menyukai makanan berelemen Air.				
Chat_Place_Desert2	0	Ada ikan spesial di sini?	Ada sejenis ikan di dekat gurun yang tahan terhadap kekeringan dan hanya memakan makanan berelemen Kayu.				
Chat_Place_Desert3	0	Ada ikan spesial di sini?	Ada sejenis ikan di dekat gurun yang tahan terhadap kekeringan dan hanya memakan makanan berelemen Kayu.				
Chat_Place_Desert4	0	Ada ikan spesial di sini?	Ada sejenis ikan di dekat gurun yang tahan terhadap kekeringan dan hanya memakan makanan berelemen Kayu.				
Chat_Place_XianKong1	0	Ada ikan spesial di sini?	Ada sejenis ikan di dekat gurun yang tahan terhadap kekeringan dan hanya memakan makanan berelemen Kayu.				
Chat_Place_XianKong	0	Ada ikan spesial di sini?	Ada sejenis ikan di dekat gurun yang tahan terhadap kekeringan dan hanya memakan makanan berelemen Kayu.				
Chat_Place_HeHuan1	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis belut tutul yang konon menyukai makanan unsur Api, terutama abu vulkanik di dasar laut.				
Chat_Place_HeHuan2	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis belut tutul yang konon menyukai makanan unsur Api, terutama abu vulkanik di dasar laut.				
Chat_Place_HeHuan	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis belut tutul yang konon menyukai makanan unsur Api, terutama abu vulkanik di dasar laut.				
Chat_Place_HeHuan	0	Apakah ada ikan spesial di sini?	Di dekatnya terdapat sejenis belut tutul yang konon menyukai makanan unsur Api, terutama abu vulkanik di dasar laut.				
Chat_Place_WuLian1	0	Ada ikan spesial di sini?	Kudengar ada sejenis ikan cantik di Kolam Surgawi yang hanya muncul setelah tengah malam saat musim gugur.				
Chat_Place_FertileField1	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat yang hanya muncul selama musim dingin.				
Chat_Place_FertileField2	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat yang hanya muncul selama musim dingin.				
Chat_Place_FertileField3	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat yang hanya muncul selama musim dingin.				
Chat_Place_FertileField4	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat yang hanya muncul selama musim dingin.				
Chat_Place_FertileField5	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat yang hanya muncul selama musim dingin.				
Chat_Place_WuLian	0	Ada ikan spesial di sini?	Sekte kami telah membudidayakan beberapa kepiting giok di sini, dan cangkangnya terlihat fantastis di siang hari.				
Chat_Place_BaiMan1	0	Ada ikan spesial di sini?	Konon bau menyengat akan keluar dari Gua Deathknell saat musim semi, yang sepertinya berasal dari sejenis ikan.				
Chat_Place_BaiMan	0	Ada ikan spesial di sini?	Konon bau menyengat akan keluar dari Gua Deathknell saat musim semi, yang sepertinya berasal dari sejenis ikan.				
Chat_Place_BaiMan2	0	Ada ikan spesial di sini?	Konon bau menyengat akan keluar dari Gua Deathknell saat musim semi, yang sepertinya berasal dari sejenis ikan.				
Chat_Place_BaiMan3	0	Ada ikan spesial di sini?	Konon bau menyengat akan keluar dari Gua Deathknell saat musim semi, yang sepertinya berasal dari sejenis ikan.				
Chat_Place_HeHuan	0	Ada ikan spesial di sini?	Ada sejenis ikan bergaris merah di Danau Naga Racun yang hanya muncul saat musim panas.				
Chat_Place_HeHuan1	0	Ada ikan spesial di sini?	Ada sejenis ikan bergaris merah di Danau Naga Racun yang hanya muncul saat musim panas.				
Chat_Place_HeHuan2	0	Ada ikan spesial di sini?	Ada sejenis ikan bergaris merah di Danau Naga Racun yang hanya muncul saat musim panas.				
Chat_Place_HeHuan	0	Apakah ada ikan spesial di sini?	Ada sejenis ikan bergaris merah di Danau Naga Racun yang hanya muncul saat musim panas.				
Chat_Place_WuLian1	0	Ada ikan spesial di sini?	Konon ada sejenis ikan di Celestial Pool yang hanya muncul pada tengah malam dan tertarik dengan item berelemen Metal.				
Chat_Place_FertileField1	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat di Kota Galepeak yang hanya dapat ditarik dengan item elemen Api.				
Chat_Place_FertileField2	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat di Kota Galepeak yang hanya dapat ditarik dengan item elemen Api.				
Chat_Place_FertileField3	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat di Kota Galepeak yang hanya dapat ditarik dengan item elemen Api.				
Chat_Place_FertileField4	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat di Kota Galepeak yang hanya dapat ditarik dengan item elemen Api.				
Chat_Place_FertileField5	0	Ada ikan spesial di sini?	Ada sejenis ikan bernama rainbow trout di sungai terdekat di Kota Galepeak yang hanya dapat ditarik dengan item elemen Api.				
Chat_Place_BaiMan1	0	Ada ikan spesial di sini?	Konon ada sejenis ikan di air darah yang hanya bisa ditangkap dengan tongkat berelemen tanah. Aneh sekali!				
Chat_Place_BaiMan	0	Ada ikan spesial di sini?	Konon ada sejenis ikan di air darah yang hanya bisa ditangkap dengan tongkat berelemen Tanah. Aneh sekali!				
Chat_Place_BaiMan2	0	Ada ikan spesial di sini?	Konon ada sejenis ikan di air darah yang hanya bisa ditangkap dengan tongkat berelemen tanah. Aneh sekali!				
Chat_Place_BaiMan3	0	Ada ikan spesial di sini?	Konon ada sejenis ikan di air darah yang hanya bisa ditangkap dengan tongkat berelemen tanah. Aneh sekali!				
Chat_Place_HeHuan	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan api yang hanya menyukai elemen Api.				
Chat_Place_HeHuan1	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan bergaris merah yang hanya menyukai elemen Api.				
Chat_Place_HeHuan2	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan bergaris merah yang hanya menyukai elemen Api.				
Chat_Place_Snowfield1	0	Ada ikan spesial di sini?	Konon merupakan jenis ikan di Danau Jadestone yang hanya bisa dipancing dengan pancing berelemen Air.				
Chat_Place_Snowfield2	0	Ada ikan spesial di sini?	Konon merupakan jenis ikan di Danau Jadestone yang hanya bisa dipancing dengan pancing berelemen Air.				
Chat_Place_Snowfield3	0	Ada ikan spesial di sini?	Konon merupakan jenis ikan di Danau Jadestone yang hanya bisa dipancing dengan pancing berelemen Air.				
Chat_Place_BirthPlace11	0	Ada ikan spesial di sini?	Konon ada sejenis ikan berwarna merah dan biru yang hanya bisa ditarik dengan item berelemen Air.				
Chat_Place_BirthPlace12	0	Ada ikan spesial di sini?	Konon ada sejenis ikan berwarna merah dan biru yang hanya bisa ditarik dengan item berelemen Air.				
Chat_Place_BirthPlace13	0	Ada ikan spesial di sini?	Konon ada sejenis ikan berwarna merah dan biru yang hanya bisa ditarik dengan item berelemen Air.				
Chat_Place_BirthPlace14	0	Ada ikan spesial di sini?	Konon ada sejenis ikan berwarna merah dan biru yang hanya bisa ditarik dengan item berelemen Air.				
Chat_Place_BirthPlace15	0	Ada ikan spesial di sini?	Konon ada sejenis ikan berwarna merah dan biru yang hanya bisa ditarik dengan item berelemen Air.				
Chat_Place_BirthPlace16	0	Ada ikan spesial di sini?	Konon ada sejenis ikan berwarna merah dan biru yang hanya bisa ditarik dengan item berelemen Air.				
Chat_Place_KunLun	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_KunLun2	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_KunLun2_1	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_TianJi	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_TianJi1	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_TianJi2	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_XianKong1	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_XianKong	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_BaiMan	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_BaiMan1	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_BaiMan2	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_BaiMan3	0	Apakah ada ikan spesial di sini?	Konon ada setengah udang merah disini dan mereka hanya memakan item berelemen api.				
Chat_Place_DanXia	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan hanya muncul di malam hari.				
Chat_Place_DanXia	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan hanya muncul saat musim panas.				
Chat_Place_DanXia	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan mereka hanya memakan item berelemen Logam.				
Chat_Place_DanXia1	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan hanya muncul di malam hari.				
Chat_Place_DanXia1	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan hanya muncul saat musim panas.				
Chat_Place_DanXia1	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan mereka hanya memakan item berelemen Logam.				
Chat_Place_DanXia2	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan hanya muncul di malam hari.				
Chat_Place_DanXia2	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan hanya muncul saat musim panas.				
Chat_Place_DanXia2	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan mereka hanya memakan item berelemen Logam.				
Chat_Place_DanXia3	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan hanya muncul di malam hari.				
Chat_Place_DanXia3	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan hanya muncul saat musim panas.				
Chat_Place_DanXia3	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang bercahaya di Kolam Lima Naga dan mereka hanya memakan item berelemen Logam.				
Chat_Place_SouthForest1	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang berwarna merah muda di dekatnya dan hanya muncul saat musim semi.				
Chat_Place_SouthForest2	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang berwarna merah muda di dekatnya dan hanya muncul saat musim semi.				
Chat_Place_SouthForest3	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang berwarna merah muda di dekatnya dan hanya muncul saat musim semi.				
Chat_Place_SouthForest3	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang berwarna merah muda di dekatnya dan hanya muncul saat musim semi.				
Chat_Place_BirthPlace11	0	Apakah ada ikan spesial di sini?	Konon ada sejenis udang berwarna merah muda di dekatnya dan hanya muncul saat musim semi.				
