Tag	TargetType	Q	MA	SA	FA	fParam	sParam
LingHun_LikeItem_Open	0	kamu suka [TXT] ? Sayang sekali, itu akan menjadi milikku! (Menghasilkan sejumlah besar [TXT] mengelilingi mereka melalui Ilusi, dan kemudian membawa mereka pergi.)	... ( [NAME] Jiwanya bergetar hebat, seolah-olah kesakitan yang luar biasa...)				
LingHun_HateItem	0	Kamu benci [TXT] ? Jika Anda memberi tahu saya apa yang Anda ketahui, saya berjanji Anda tidak akan tahan menghadapi ini... (Menghasilkan sejumlah besar [TXT] sekitarnya [HENAME] melalui Ilusi.)	...	Oke... Oke... Akan kuberitahu, tolong hentikan...	Jadi apa? Lakukan apa pun yang harus kamu lakukan...		
LingHun_HateItem_Open	0	Kamu benci [TXT] ? Ha?! Kamu tangguh? (Menghasilkan a [TXT] melalui Illusion dan menempatkannya di atas [NAME] kepala.)	... ( [NAME] Jiwanya bergetar hebat, seolah-olah kesakitan yang luar biasa...)				
LingHun_Hobby	0	Aku dengar ini milikmu [TXT] ? Jika Anda memberi tahu saya apa yang Anda ketahui, saya akan membebaskan Anda.	...	Tolong hentikan! Tolong berhenti bicara! Aku akan menceritakan semuanya padamu!	Jadi apa? Lakukan apa pun yang harus kamu lakukan...		
LingHun_Hobby_Open	0	Hah? Aku dengar ini milikmu [TXT] ? Saya tidak tahu Anda cukup terkenal, tapi yakinlah, saya akan menggunakan ini untuk menghancurkan reputasi Anda dan membuat Anda menyesal seumur hidup! HA HA HA HA!	... ( [NAME] Jiwanya bergetar hebat, seolah-olah kesakitan yang luar biasa...)				
LingHun_Esoterica	0	Aku dengar kamu pandai dalam hal itu [TXT] ? Bicaralah, atau betapa sia-sianya semua keterampilan Anda?	...	Oke... aku akan bicara. aku akan menceritakan semuanya padamu...	Jadi apa? Lakukan apa pun yang harus kamu lakukan...		
LingHun_Esoterica_Open	0	Seseorang sepertimu pantas mendapatkannya [TXT] ? Berikan padaku, atau harta itu akan sia-sia. Aku akan memberimu kematian cepat!	...	Oke oke. Aku akan memberitahumu... Tolong hentikan.	...Huh...		
LingHun_Secret	0	Anda telah melindungi rahasianya [TXT] begitu lama. Apa lagi yang kamu tahu? Ceritakan semuanya padaku!	...	Oke, oke, aku akan memberitahumu! Tolong biarkan aku pergi...	Saya tidak tahu apa-apa lagi...		
LingHun_Secret_Open	0	Ceritakan semuanya padaku [TXT] , jadi kamu bisa bebas.	...	Oke, oke, aku akan memberitahumu! Tolong biarkan aku pergi...	Saya tidak tahu apa-apa lagi...		
LingHun_KnowClue	0	Anda akan mati, jadi mengapa repot-repot menyimpan rahasia ini? Ceritakan semua petunjuk tentangnya [TXT] , dan aku akan memberimu kematian yang cepat.	...	Saya tahu tentang ini. Dan hal lainnya. Aku akan menceritakan semuanya padamu!	Aku tidak tahu. Aku tidak tahu. Jangan desak aku!		
LingHun_DontKnowClue	0	Anda akan mati, jadi mengapa repot-repot menyimpan rahasia ini? Ceritakan semua petunjuk tentangnya [TXT] , dan aku akan memberimu kematian yang cepat.	...	Aku tidak tahu tentang ini, tapi aku tahu sesuatu yang mungkin berhubungan dengan ini... Aku akan memberitahumu, dan memberiku kematian yang cepat...	Aku tidak tahu. Aku tidak tahu. Jangan desak aku!		
LingHun_KnowOtherClue	0	Anda akan mati, jadi mengapa repot-repot menyimpan rahasia ini? Ceritakan semua petunjuk tentangnya [TXT] , dan aku akan memberimu kematian yang cepat.	...	Saya benar-benar tidak tahu, tapi saya tahu tentang rahasia lainnya. Aku akan menceritakan semuanya padamu, jadi tolong hentikan...	Aku tidak tahu. Aku tidak tahu. Jangan desak aku!		
LingHun_KnowSecret	0	Anda akan mati, jadi mengapa repot-repot menyimpan rahasia ini? Ceritakan semua petunjuk tentangnya [TXT] , dan aku akan memberimu kematian yang cepat.	...	Aku tahu. Aku akan menceritakan semuanya padamu! Tolong biarkan aku...	Aku tidak tahu. Aku tidak tahu. Jangan desak aku!		
LingHun_KnowOtherSecret_Open	0	Anda akan mati, jadi mengapa repot-repot menyimpan rahasia ini? Ceritakan semua petunjuk tentangnya [TXT] , dan aku akan memberimu kematian yang cepat.	...	Saya tidak tahu, tapi saya tahu tentang rahasia lainnya. Tolong berhenti melakukan ini...	Aku tidak tahu. Aku tidak tahu. Jangan desak aku!		
LingHun_KnowOtherSecret_Close	0	Anda akan mati, jadi mengapa repot-repot menyimpan rahasia ini? Ceritakan semua petunjuk tentangnya [TXT] , dan aku akan memberimu kematian yang cepat.	...	Saya tidak tahu tentang ini, dan apa yang saya tahu tidak ada hubungannya dengan itu. Kenapa kamu melakukan ini padaku!	Aku tidak tahu. Aku tidak tahu. Jangan desak aku!		
