Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc	FromDLC
Chat_Place_DanXia	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Sage sekte kami [color=#ff0000] Huo Li [/color] adalah seorang fanatik buku yang menghabiskan seluruh hidupnya untuk menguraikan rahasia kuno. Meskipun tidak berhasil, dia masih mempelajari gulungan itu setiap menit setiap hari."					NPC_DanXia_3	NPC_DanXia_3	
Chat_Place_KunLun	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	“Tetua sekte kami [color=#ff0000] Li Weiyan [/color] sangat cerdik sehingga kami tidak pernah dimanfaatkan sejak mereka mulai mengelola penyimpanan sekte. Tapi sekitar [desc_daytime=-20] , Penatua [color=#ff0000] Li Weiyan [/color] menjadi sangat kesal untuk sementara waktu. Tidak ada yang tahu alasannya."					NPC_KunLun_2	NPC_KunLun_2	
Chat_Place_KunLun	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Sage sekte kami [color=#ff0000] Gu Cong [/color] telah menguasai berbagai macam formasi, dan bahkan Lingkaran Naga yang hilang disuruh dipulihkan oleh mereka. Sungguh intelektual yang jenius."					NPC_KunLun_3	NPC_KunLun_3	
Chat_Place_KunLun	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Cara Penciptaan Kosmos di Tahta Taos di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam sebuah formasi... Tapi siapa yang tahu kalau itu benar...							
Chat_Place_KunLun	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte tersebut mempraktikkan" "Perisai Ketenangan Surgawi". "Setelah formasi ditetapkan, orang-orang menjadi bersemangat."							
Chat_Place_TianJi	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Jalan Yin dan Yang di Kayu Emosi di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Tapi siapa yang tahu kalau itu benar...							
Chat_Place_TianJi	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte tersebut mempraktikkan""Formasi Bulu Phoenix."" Kekuatan pembalikan misterius dalam situasi putus asa diwujudkan dalam formasi ini."							
Chat_Place_TianJi	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Rumor mengatakan bahwa Tetua sekte kami [color=#ff0000] Dia Zudao [/color] suka mempelajari jimat dan sering menggambar jimat yang belum pernah dilihat sebelumnya. Mereka pasti mewarisi suatu warisan rahasia.					NPC_JiTian_1	NPC_JiTian_1	MiFaXuanZhang
Chat_Place_JiuHua	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	" [color=#ff0000] Qin Jie [/color] adalah anak yang tidak beruntung. Dia menghabiskan waktu puluhan tahun untuk mempersiapkan Pembentukan Inti, dan ketika waktunya sudah tiba [desc_daytime=-20] , dia meminta tuannya untuk menjaganya. Permintaannya diabaikan oleh gurunya, yang malah mengambil bagian dalam sesi tertutup dan melukai dirinya sendiri secara internal saat bermeditasi, persiapan puluhan tahun menjadi sia-sia. Sayang sekali."					NPC_ZiXiao_3	NPC_ZiXiao_3	
Chat_Place_JiuHua	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Sage sekte kami [color=#ff0000] Xin Qi [/color] ramah dan supel serta bertugas menyambut tamu dari sekte lain. Ini semua berkat Penatua Xin Qi sehingga murid-murid kami di Kuil Awan Ungu dapat menerima bantuan dari banyak pihak saat bertualang.					NPC_ZiXiao_2	NPC_ZiXiao_2	
Chat_Place_JiuHua	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Cara Penciptaan Waktu dan Cara Matahari dan Bulan di Lempeng Astral di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam sebuah formasi... Tapi siapa yang tahu kalau itu benar...							
Chat_Place_JiuHua	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte berlatih""Formasi Yin Yang."" Fleksibilitasnya benar-benar tidak terkendali."							
Chat_Place_LongHu	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Sage sekte kami [color=#ff0000] Kamu Baixue [/color] dikenal sebagai orang yang baik sehingga tidak ada seorang pun yang pernah melihatnya marah sebelumnya. Tetapi [desc_daytime=-20] , dia mengunjungi Kuil Awan Ungu dan kemudian kembali, sangat marah dan berteriak ""Beraninya mereka""."					NPC_ZhengYi_2	NPC_ZhengYi_2	
Chat_Place_LongHu	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Jalan Awal dan Akhir di Pagoda Drakonik di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Tapi siapa yang tahu kalau itu benar...							
Chat_Place_LongHu	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte tersebut mempraktikkan" "Perisai Keluasan". "Seluruh area menjadi terselubung, sepertinya tidak bisa ditembus."							
Chat_Place_Shu	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Jalan Hidup dan Mati di Kolam Pedang di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Tapi siapa yang tahu kalau itu benar...							
Chat_Place_Shu	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, aku melihat seseorang di sekte itu mempraktekkan" Formasi Pedang Logam Gelap. "Di antara Gerbang Kehidupan dan Kematian, ini benar-benar memberikan serangan dan pertahanan yang tangguh."							
Chat_Place_Shu	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Sage sekte kami [color=#ff0000] Ying Yang [/color] Gurunya dulunya dihormati sebagai bintang baru pertama setelah Dewa Abadi Teratai Biru. Sayangnya, mereka meninggal dalam bencana seribu tahun lalu. Sayang sekali."					NPC_Shu_1	NPC_Shu_1	
Chat_Place_WuLian	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	“Sekte kami sering berselisih paham dengan Gunung Seratus Serangga. Terima kasih kepada Penatua [color=#ff0000] Gan Ming [/color] mengawasi setiap perubahan di Gunung Seratus Serangga, kita dapat memperoleh beberapa keuntungan dibandingkan mereka."					NPC_QiXia_1	NPC_QiXia_1	
Chat_Place_WuLian	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	" [desc_daytime=-20] , murid sekte kami [color=#ff0000] Lin Siyuan [/color] menemukan tempat tinggal abadi di luar negeri dan hampir kehilangan nyawanya. Berkat para tetua di sekte kami, dia akhirnya selamat."					NPC_QiXia_3	NPC_QiXia_3	
Chat_Place_WuLian	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Lebih tua [color=#ff0000] Yue Qingchou [/color] Dan [color=#ff0000] Ning Xiao [/color] sudah saling kenal sejak mereka masih manusia. Bersama-sama, mereka bergabung dengan sekte tersebut, berlatih dan tetap berteman seumur hidup. Benar-benar sebuah inspirasi."					NPC_QiXia_2	Npc_QiXia_2|Npc_QiXia_4	
Chat_Place_WuLian	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Cara Berkembang Makhluk di Puncak Numinous di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Namun siapa yang tahu apakah itu benar...							
Chat_Place_WuLian	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte tersebut mempraktekkan ""Kehancuran Lima Puncak."" Ada satu ungkapan yang benar-benar berlaku, ""kokoh."""							
Chat_Place_BaiMan	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	" [color=#ff0000] Dia bertanya [/color] bertugas menjaga gerbang sekte. Biasanya, mereka mengetahui segala sesuatu yang terjadi di sekte tersebut. Mereka tidak hanya berpengetahuan luas tetapi juga dibayar dengan sangat baik. Sungguh pekerjaan yang nyaman."					NPC_BaiMan_1	NPC_BaiMan_1	
Chat_Place_BaiMan	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	" [desc_daytime=-20] , Sage sekte kami [color=#ff0000] Qidian Zhuo [/color] tiba-tiba menjadi jauh lebih kuat, dan setelah itu, murid senior di sekte tersebut juga mendapatkan kekuatan satu per satu. Entah keberuntungan apa yang mereka dapatkan kali ini."					NPC_BaiMan_2	NPC_BaiMan_2	
Chat_Place_BaiMan	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Sage sekte kami [color=#ff0000] Bai Zhi [/color] adalah kupu-kupu sosial dan bertugas menyambut tamu dari sekte lain. Dengan teman-teman di seluruh dunia, mereka adalah orang yang paling berpengetahuan di sekte kami."					NPC_BaiMan_3	NPC_BaiMan_3	
Chat_Place_BaiMan	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Cara Penghapusan Waktu di Altar Kematian di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Tapi siapa yang tahu kalau itu benar...							
Chat_Place_BaiMan	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte berlatih""Formasi Sembilan Naga."" Dilihat dari jauh, metode pemisahan roh sungguh luar biasa."							
Chat_Place_XianKong	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Di sekte Pit of Doom kami, kami semua iri [color=#ff0000] Zhu Fei [/color] , yang hanya perlu berkoordinasi dengan informan di Dataran Tengah secara teratur dan melaporkan pesan rahasia tersebut kepada petinggi di sekte kami. Ini pekerjaan yang nyaman dan Anda masih punya banyak waktu untuk berlatih. Betapa beruntungnya."					NPC_QiQian_2	NPC_QiQian_2	
Chat_Place_XianKong	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Jalan Penghancuran Kosmos di Kawah Magnetik di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Tapi siapa yang tahu kalau itu benar...							
Chat_Place_XianKong	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte mempraktikkan""Formasi Prajurit Sempurna Kereta Besar."" Keterampilan mematahkan khayalan ini sepertinya mampu menembus segala hal. Sungguh sulit dipercaya."							
Chat_Place_Hei	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Sage sekte kami [color=#ff0000] Yu Moran [/color] bertugas menjaga brankas gulungan. Gulungan tersebut berisi tentang harta karun yang telah hilang sejak zaman kuno. Membacanya seperti membaca cerita fiksi. Itu hanya untuk bersenang-senang, tidak ada yang lain."					NPC_QiSha_2	NPC_QiSha_2	
Chat_Place_Hei	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Cara Pemusnahan Makhluk dalam Prasasti Pembantaian di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Namun siapa yang tahu apakah itu benar...							
Chat_Place_Hei	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, aku melihat seseorang di sekte itu mempraktikkan" Formasi Ragestriker. "" Segala sesuatu di sekitarnya telah dilenyapkan. Kekuatannya jelas berasal dari zaman dahulu kala.							
Chat_Place_HeHuan	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Sage sekte kami [color=#ff0000] Yin Lian [/color] selalu tertarik dan tahu banyak tentang sejarah rahasia kuno. Diceritakan bahwa di [desc_daytime=-20] , dia menjawab pertanyaan selama kunjungannya ke Gunung Seratus Serangga dan menerima 100.000 batu roh sebagai hadiah. Jadi, mungkin mempelajari sejarah adalah cara cepat untuk menghasilkan banyak uang."					NPC_HeHuan_2	NPC_HeHuan_2	
Chat_Place_HeHuan	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Cara Penciptaan dan Pembentukan di Mata Air Yin Suci di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Namun siapa yang tahu apakah itu benar...							
Chat_Place_HeHuan	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte mempraktikkan""Formasi Tiga Negatif"," semua orang yang lewat hanya bisa berhenti dan menatap dengan kagum."							
Chat_Place_BirthPlace14	1	Adakah hal menarik yang terjadi di sini?	Ini Gunung Coppertomb... Sepertinya ada orang aneh di tenggara yang muncul baru-baru ini...ini mengkhawatirkan.							
Chat_Place_BirthPlace14	1	Adakah hal menarik yang terjadi di sini?	"Ada begitu banyak alat tajam terkenal yang ada, meskipun kamu belum pernah mendengar tentang alat tumpul. Alat tajam dan alat tumpul memiliki kegunaan yang berbeda, jadi... Kita semua menggunakan alat tajam, tapi konon ada beberapa alat tumpul yang digunakan dalam menambang batu giok, saya kira saya tidak tahu di mana letaknya."							
Chat_Place_JiuHua1	1	Adakah hal menarik yang terjadi di sini?	"Aku melihat seorang penghibur sebelumnya yang membawa semua jenis binatang bersamanya. Mereka berbaris sendiri-sendiri. Dia datang sekali, dan seorang pria yang mengenakan kulit binatang menghentikannya, berbicara dengannya sebentar, lalu binatang buas dan penghibur itu pergi bersamanya. Dia tidak pernah kembali."							
Chat_Place_Desert4	1	Adakah hal menarik yang terjadi di sini?	“Meski di sini cukup gersang, tapi ada kemungkinan turun hujan.”							
Chat_Place_FertileField1	1	Adakah hal menarik yang terjadi di sini?	“Kakekku bilang gunung tertinggi punya kolam di puncaknya, dan bahkan bisa meletus!”							
Chat_Place_FertileField2	1	Adakah hal menarik yang terjadi di sini?	"Ada beberapa jamur aneh di Hutan Mistwood. Setelah memakannya, aku melihat banyak elf sedang bekerja memotong batu, sungguh luar biasa!"							
Chat_Place_FertileField3	1	Adakah hal menarik yang terjadi di sini?	Saya pernah ke Gurun Besar sebelumnya untuk urusan bisnis. Ada sebuah desa di sana yang penduduknya hanya makan daging mentah... Mereka tidak tahu apa pun tentang Tepung!							
Chat_Place_CentralPlains4	1	Adakah hal menarik yang terjadi di sini?	“Seseorang di desa memakan jamur yang dibawa dari luar desa beberapa hari yang lalu…dia keluar selama 3 hari. Saat keluar, dia berkeringat banyak atau cekikikan dalam tidurnya. Ketika dia bangun, dia memberi tahu kami bahwa dia melihat semua orang di kota berubah menjadi burung dalam mimpi. Kami pikir dia menjadi gila, tapi kemudian dia kembali normal.”							
Chat_Place_CentralPlains5	1	Adakah hal menarik yang terjadi di sini?	"Saya pernah membeli beberapa jamur dengan harga sangat murah, yang saya makan ketika saya kembali ke rumah. Saya segera menyadari bahwa ada bunga di dinding, yang mulai saya petik. Saya tidak tahu berapa hari kemudian, saya menyadari bahwa orang-orang menatapku dengan cara yang lucu, sepertinya aku sedang menggali di dinding..."							
Chat_Place_BirthPlace11	1	Adakah hal menarik yang terjadi di sini?	“Dataran Tepi Sungai menghasilkan Tepung dalam jumlah yang cukup banyak. Nenek moyang kita menghasilkan lebih banyak Gandum daripada mereka, meskipun kita tidak pernah mampu memproduksi Tepung setengah dari jumlah tersebut dan tidak diketahui alasannya.”							
Chat_Place_BirthPlace13	1	Adakah hal menarik yang terjadi di sini?	Banyak kapas kami yang dijual ke Reed Village. Mereka sangat cepat dalam menjahit dan para wanita di sana memakai semacam gelang.							
Chat	1	Adakah hal menarik yang terjadi di sini?	"Kudengar tetangga punya anak baru, aku iri sekali!"							
Chat	1	Adakah hal menarik yang terjadi di sini?	“Beberapa anak muda di desa kami bertingkah aneh akhir-akhir ini, menghalangi pintu masuk desa dan melakukan tindakan yang tidak baik. Sungguh memalukan.”							
Chat	1	Adakah hal menarik yang terjadi di sini?	"Semuanya sangat membosankan, tidak pernah ada sesuatu yang baru! Aku ingin mengenal Dewa dan menjadi murid mereka juga. Tapi aku belum pernah melihat Dewa..."							
Chat	1	Adakah hal menarik yang terjadi di sini?	“Beberapa hari yang lalu, saya bertemu dengan seorang tukang kunci, tetapi semua yang dikatakannya membuat saya kesal.”							
Chat	1	Adakah hal menarik yang terjadi di sini?	“Tidak pernah ada makanan apa pun yang bisa dimakan di sekitar desa akhir-akhir ini, ini aneh.”							
Chat	1	Adakah hal menarik yang terjadi di sini?	Maksudmu mungkin saja ada Dewa yang menyelinap membawa barang-barang kita?							
Chat	2	" [HENAME] , ada yang menarik akhir-akhir ini?"	"Ini menjengkelkan, tapi hari itu, aku bertarung dan hanya menggunakan setengah dari apa yang aku tahu, namun aku dituduh mencuri teknik rahasia dari barat. Aku benar-benar kesal... Ilmu pedang tidak lebih dari pola-pola itu... Kamu tidak membedakan perubahan yang terjadi setelahnya, bagaimana kamu bisa sampai pada kesimpulan yang sebenarnya?"							
Chat	2	" [HENAME] , ada yang menarik akhir-akhir ini?"	"Baru-baru ini, yang lain mendesakku untuk bergegas dan menerobos ke Negara baru. Bagaimana kamu bisa mempercepat hal seperti itu? Aku hanya bisa memberi tahu mereka bahwa aku hampir sampai... Sungguh menjengkelkan."							
Chat	2	" [HENAME] , ada yang menarik akhir-akhir ini?"	"Baru-baru ini aku menyadari: Pengakuan Iman Praktek, tidak baik atau buruk, itu hanya sesuatu yang tidak dapat dikuasai sepenuhnya. Pengakuan Iman, pada akhirnya, terletak di dalam. Menjadi layak bagi hati sendiri saja sudah cukup."							
Chat	2	" [HENAME] , ada yang menarik akhir-akhir ini?"	"Berbicara tentang jimat, kita harus membahas sesepuh Istana Skydome [color=#ff0000] Dia Zudao [/color] ."					NPC_JiTian_1	NPC_JiTian_1	MiFaXuanZhang
ZhuLongChat	0	“Apakah itu Naga Obor, perwujudan Yin dan Yang dari Pengakuan Iman Surga? Tampaknya agak aneh jika ia tiba-tiba turun ke sini. Apa yang terjadi?”	"Aku adalah Naga Obor. Beberapa hal dari Dunia Lain telah mengalir ke alam ini baru-baru ini, bersama dengan Pengakuan Iman Surga Dunia Lain. Aku telah terpengaruh oleh hal itu dan dengan demikian muncul dalam bentuk ini. Di antara hal-hal ini, ada Koin Doa, yang merupakan kombinasi dari keinginan orang-orang dari Dunia Lain, cukup menarik. Jika kamu bersedia memberikannya kepadaku, aku akan mengabulkan permintaanmu dengan kekuatanku dari Pengakuan Iman Surga."							
