ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
9	Human	0	0	pembunuh remaja	[NAME]adalah seorang yatim piatu，Diadopsi oleh organisasi pembunuh saat masih kecil，Telah menerima pelatihan pembunuh berdarah dingin dan kejam。Baru setelah organisasi pembunuh itu dihancurkan, dia dapat meninggalkan organisasi tersebut。		0	3					4															BanParents	Warrior				
10	Human	0	1	anak-anak rumah bordil	[NAME]lahir di rumah bordil，Tidak tahu siapa ayahnya。Saya telah berjuang di pasar sejak saya masih kecil.[IT]Tahu lebih baik aturan bertahan hidup。		0	2			1																	BanParents					
11	Human	0	0	keluarga pengrajin	[NAME]tumbuh dalam keluarga pengrajin，Di bawah pengaruh telinga dan mata，[IT]Sejak saya masih kecil, saya suka membuat benda-benda kecil dengan tangan saya.。		0	1														4,1						Craftsman					
12	Human	0	0	anak tukang daging	[NAME]dibesarkan di keluarga tukang daging，[IT]Terkadang saya juga membantu pekerjaan rumah tangga。Pengalaman-pengalaman ini telah berhasil[IT]Ganas dan kuat。		0		2								3											UglyFace1					
13	Human	0	1	Putra sulung seorang petani	[NAME]Dia adalah putra tertua dari keluarga petani，Kesulitan keluarga[IT]Saya sangat bijaksana sejak saya masih kecil.，Berpartisipasilah dalam pekerjaan dengan kemampuan terbaik Anda。		0	1	1	-2							1		2	1		1											
14	Human	0	0	Magang Dokter	[NAME]Saya tumbuh mengikuti seorang dokter pengembara.，[IT]Jejak kaki kami dari selatan ke utara，Bepergian ke banyak tempat。Pengalaman-pengalaman ini telah berhasil[IT]terinformasi dengan baik。		0		1		1					2,1	2																
15	Human	0	0	Keluarga resmi	[NAME]Lahir dalam keluarga resmi，Terbiasa dengan kemunafikan perebutan kekuasaan。[IT]Sejak saya masih kecil, saya sangat pandai memenangkan hati orang lain.，Tapi mereka tidak pernah berbicara satu sama lain。		0			3	1				4													Distrust					
16	Human	0	0	pelamun	[NAME]Lahir dari keluarga astronom，Dipengaruhi oleh ayah，[IT]Saya telah tertarik pada astrologi sejak saya masih kecil。untuk tujuan ini[IT]Masa kecil yang tenggelam dalam peta bintang dan buku teori。		0	-1	-1	-1	2			2	-2	-2	-2	-2	-2	-2	-2	-2						Reader					
17	Human	0	0	Bepergian keliling dunia	[NAME]Ayahnya adalah utusan dari istana kekaisaran untuk Wilayah Barat.，[IT]Saya sering bepergian keliling dunia dengan ayah saya，Ini membuat[IT]Penuh kerinduan dan ketertarikan pada dunia。		0				1				2	2	2				2												
18	Human	0	1	penganiayaan anak	[NAME]Dia adalah seorang pelacur yang dibesarkan oleh keluarga kaya.，Pengalaman masa kecil ini membuat[IT]Dalam hati takut akan hubungan intim antara pria dan wanita。		0			2							4		-4	-4	2	2						BeautifulFace1	BanSpouse				
19	Human	0	0	Pekerja anak di toko pandai besi	[NAME]Dia dijual ke toko pandai besi sebagai pekerja anak sejak dia masih kecil.，[IT]Saya tumbuh dengan mendengarkan suara gemerincing，Keinginan untuk tumbuh dan menjadi pandai besi sejati。		0		1											2		4,1						Craftsman					
20	Human	0	0	monyet air	[NAME]Seorang anak yang tumbuh di perahu nelayan，[IT]Saya menyukai air sejak saya masih kecil。Pengalaman masa kecil juga dibuat[IT]Memiliki keterampilan fisik yang kuat。		0	1	1																								
21	Human	0	0	jenius musik	[NAME]lahir dalam keluarga musik，[IT]Mewarisi gen unggul，Memiliki bakat seni yang sangat luar biasa。		0			3											8							Artist					
22	Human	0	0	anak jahat	[NAME]ibu digoda setan，sehingga hamil dan melahirkan[IT]。[IT]Setengah dari darah iblis mengalir di tubuhnya.，Ini membuat[IT]tampak jelek，mengalami diskriminasi。		0	3	2	-3		-2	4	4	-4													BanParents	UglyFace2				
23	Human	0	0	Penglihatan tidak normal	[NAME]Lahir dengan keberuntungan dunia，Turbulensi melonjak antara langit dan bumi，cahaya keemasan berkedip，malam seperti siang hari。[IT]Ditakdirkan untuk disukai oleh Tuhan。		0					3																SonOfDestiny					
24	Human	0	0	Bintang Pembunuh Datang ke Dunia	[NAME]Dia adalah reinkarnasi dari Tujuh Bintang Pembunuh di langit，Terlahir untuk membunuh dan bertarung。		0	3	3				10,2															BanSpouse	BanParents				
25	Human	0	0	Berbakat	[NAME]Sangat pintar，Dia adalah seorang jenius dari Surga。Tidak peduli apa yang Anda pelajari，[IT]dapat menguasainya dengan cepat。Tetapi[IT]Namun memiliki cacat alami，Meridian tidak lengkap，Tidak dapat berlatih。		0				4																	MeridianIncomplete					
26	Human	0	0	koboi	[NAME]Saya telah menggembalakan ternak untuk keluarga pemilik rumah sejak saya masih kecil.。Tetapi[IT]Saya selalu merasa bahwa nasib tidak adil bagi saya，[IT]Harus melakukan sesuatu yang lebih besar。		0	1			1																						
27	Human	0	0	Cacat fisik tapi kuat mental	[NAME]Terlahir dengan kecerdasan yang relatif rendah，5Hanya dapat berbicara ketika dia sudah tua，10Tidak bisa berjalan sampai dia berumur 20 tahun，Bisa dikatakan sangat menginspirasi。Tetapi[ITS]Orang tua masih benar[IT]penuh kesabaran。\n[NAME]Meski sangat bodoh，Tapi dia tertarik pada segalanya，[IT]Bersedia bekerja berkali-kali lebih keras daripada orang lain untuk belajar bagaimana hidup。		0	-2	-2	-2	-4		-5,2	-5,2	-5,2	-5,2	-5,2	-5,2	-5,2	-5,2	-5,2	-5,2						Strong	Optimistic	Retarded			
28	Human	0	0	pengemis kecil	[NAME]Ditinggalkan sejak kecil，Dijemput dan dibesarkan oleh sekelompok pengemis。dari[IT]Sejak aku berakal sehat，[IT]Ikuti saja semua orang dan cari nafkah dengan mengemis。\nmemohon untuk hidup[IT]Saya telah melihat ketidakpedulian dunia，juga membiarkan[IT]Sangat pandai membaca pikiran orang。		0			-1	1				4													Distrust					
29	Human	0	0	kolektor cangkang	[NAME]tumbuh di desa nelayan miskin di tepi laut，[ITS]Kurangnya hiburan di masa kecil，Hobi saya satu-satunya adalah mengoleksi kerang di pantai。		0	2	1																								
30	Human	0	0	mata-mata anak	[NAME]Cantik dan imut，Dipilih oleh istana kekaisaran untuk menjadi mata-mata politik，Turun ke ibu kota musuh untuk memata-matai intelijen。\ndalam pelatihan，[IT]Berfokus pada mempelajari cara menyembunyikan diri dan teknik menguping，Dan mereka ditanamkan gagasan bahwa jika mereka ditemukan, mereka akan mati demi negaranya.。		0	2		3			4		2													BeautifulFace1					
31	Human	0	1	Anak tuan tanah	[NAME]Keluarga kelahiran tuan tanah，Sejak kecil saya rajin dalam segala aspek tubuh dan belum bisa membedakan antara biji-bijian dan biji-bijian.。\n[IT]Dia memiliki hubungan dengan pembantu di rumah ketika dia masih sangat muda，dan nikmatilah，Ini membuat[IT]Tubuhku yang sudah lemah menjadi semakin lemah。		0		-3	1					2						2							HealthOverdraft2					
32	Human	0	0	gadis penjual bunga	[NAME]orang tuanya memiliki toko bunga。ada[IT]Setelah saya sadar, saya sering membawa keranjang bunga untuk membantu orang tua saya menjual bunga.。Interaksi interpersonal yang sering memungkinkan[IT]Menjadi ramah dan hidup，Dan cukup menawan。		0			2					4,1				2														
33	Human	0	0	masa kecil yang bahagia	[NAME]Orang tuanya adalah keturunan jaminan dari keluarga kaya。[ITS]Kedua orang tuanya merasa damai，Meski tidak ada harapan untuk mewarisi bisnis keluarga, saya tetap menikmati waktu senggang，Tidak perlu khawatir tentang makanan dan pakaian。\nKarena itu，[NAME]Orang tua saya bermain-main dengan saya sejak saya masih kecil，Semoga masa kecilmu bahagia。		0			1					2		2				2	2						Optimistic					
34	Human	0	0	anak liar	[NAME]Lahir di desa pegunungan，[ITS]Orang tua saya meninggal karena serigala ketika mereka masih sangat muda.。\n[IT]Tumbuh besar dengan makan nasi Baijia，tanpa perawatan，Menghabiskan sepanjang hari berkeliaran di pedesaan dan pegunungan。karena pengalaman hidupnya，[IT]Kurangnya teman sejak kecil，Hanya ditemani seekor anjing hitam besar di kepala desa。		0	2	2	-2							4																
35	Human	0	0	pelayan bar	[NAME]keluarga miskin，[IT]Dia juga diutus oleh orang tuanya untuk bekerja sebagai bartender di kedai kota sejak dia masih kecil untuk menghidupi keluarga.。\nAda banyak tamu mabuk di pub，seringkali benar[IT]memarahi dan memarahi，sekali[IT]Kakinya bahkan dipatahkan oleh seorang pemabuk。		0	1					2		4													CrippleLeft					
36	Human	0	0	anak petani	[NAME]Keluarga ini mencari nafkah dengan bertani，[IT]Ia dibawa ke ladang oleh orang tuanya sejak kecil untuk memudahkan perawatan.。Karena itu[IT]Saya pun menjadi akrab dengan teknik dan pengetahuan menanam.。		0		1										6														
37	Human	0	0	anak petani	[NAME]Ayahnya adalah penyewa keluarga tuan tanah。Ada ladang dan beberapa ekor babi。ada[IT]Setelah ia berumur tujuh atau delapan tahun, ia mengikuti ayahnya bekerja di ladang.，Ayah bertani，[IT]Kumpulkan saja sayur-sayuran liar dan pakan ternak，untuk memberi makan ternak。\nSuatu ketika saat memberi makan babi，[IT]tidak memperhatikan，Sebuah jari digigit babi。		0		1								2		2	2								BanRightMiddleFinger					
38	Human	0	0	anak petani	[NAME]Keluarga adalah pelayan penyewa dari tuan tanah。[ITS]Ayah saya pingsan karena terlalu banyak bekerja，Tidak dapat mengantarkan makanan tepat waktu，Dalam keputusasaan, saya hanya bisa[IT]menjual utang hipotek。\n[NAME]penjual[IT]Sangat kasar，Diperas oleh kerja keras sepanjang hari[ITS]tubuh muda。		0		1									2	2	4								HealthOverdraft1					
39	Human	0	1	Harimau Jenderal	[NAME]Tiga generasi nenek moyang adalah jenderal，[IT]Setelah berlatih keras dan belajar sejak kecil，Harapan besar dari keluarga。\n[ITS]Menghabiskan separuh masa kecilnya di kamp militer，Ini membuat[IT]Nafas baja keluar dari tulang。		0	2	2	1			6															Warrior	Strong				
40	Human	0	0	keluarga militer	[NAME]ibu meninggal lebih awal，Ayah saya adalah seorang veteran dari ratusan pertempuran yang selamat dari medan perang Zhengxi.。Setelah perang menjadi tenang，[ITS]Ayah saya kembali menjadi tentara sebagai pelatih，[IT]Dia juga lama tinggal di kamp militer bersama ayahnya.。\nDalam operasi skala kecil untuk menekan aliran sesat，[IT]Saya melihat beberapa mantra ajaib dengan ayah saya，Meskipun itu hanya trik tingkat pemula，Tapi ini berhasil[IT]Penasaran dengan latihan spiritual。		0	2	1				4	4														BanParents					
41	Human	0	0	anak serigala	[NAME]Dibesarkan oleh serigala betina，ada[IT]Dia berumur lima tahun ketika dia ditemukan dari sarang serigala。Masa kecil yang dihabiskan bersama serigala tercipta[IT]Merasa terasing dari manusia，Bahkan butuh waktu beberapa tahun bagi saya untuk tidak dapat berbicara dengan normal.。		0	3	3	-2	-1		8	6	-6													Warrior					
42	Human	0	0	bangsawan yang putus asa	[NAME]Keluarga saya pernah menjadi keluarga arsitektur terkenal dari seluruh negeri.。Rumahnya disita karena ia terlibat dalam pemberontakan yang dilakukan oleh sisa-sisa dinasti sebelumnya.。Dalam perjalanan menuju distribusi，Ayah saya tidak dapat menahan penyiksaan dan meninggal dunia。Perubahan besar dalam hidup ini telah terjadi[IT]Menjadi inferior dan introvert。		0			-1	1				2			4			4							Pessimism					
43	Human	0	0	yatim piatu	[NAME]adalah seorang yatim piatu，[IT]Berkeliaran di sudut-sudut gelap kota，Mencari nafkah dengan mengemis dan mencuri。\nKehidupan mengembara sepanjang tahun menghasilkan[ITS]Saraf yang sangat sensitif，Dan tidak bisa tidur lama。		0	4																				HeartKnot					
44	Human	0	0	bayi yang ditinggalkan	[NAME]Ditinggalkan di tempat pembuangan sampah saat lahir。Dijemput oleh pemulung，Hampir tidak memberi makan。\nKondisi sanitasi yang sangat buruk[IT]Mendapat penyakit yang mengerikan，Ini membuat[ITS]Rentang hidup rusak parah。		0		-2	-2																		HealthOverdraft2					
45	Human	0	0	anak desa pegunungan	[NAME]Lahir di desa pegunungan，[ITS]Orang tua dan penduduk desa semuanya melarikan diri ke sini untuk menghindari perang.。Karena itu，ada[NAME]Dari pendidikan yang diterima sejak kecil，Penolakan terhadap kekerasan dan perang sangatlah dominan。Ini membuat[IT]Menjadi orang yang membenci kekerasan。		0				1	1	-4	2				4	4														
46	Human	0	0	anak-anak militer	[NAME]Dia adalah seorang yatim piatu yang dijemput di medan perang.。[ITS]Ayah angkat saya adalah seorang perwira tentara，[IT]Dilatih bersama orang dewasa sejak usia dini，Belajar adalah seni membunuh orang di medan perang。\nMelatih dan membunuh musuh terisi[ITS]masa kecil，sampai suatu hari[IT]disergap dan dikalahkan oleh pasukannya。Bertahan karena keberuntungan[IT]Mulailah memikirkan arti hidup Anda。		0	2	2				4															Warrior					
47	Human	0	1	Yatim piatu dari dinasti sebelumnya	[NAME]dibesarkan di halaman，Membaca setiap hari seperti anak-anak di sekitar Anda，bermain，Membantu orang dewasa dengan pekerjaan。\nHanya saja semua orang tidak mengetahuinya，[ITS]Identitas aslinya adalah pangeran dari dinasti sebelumnya，Saya diam-diam menunggu para pemberontak datang dan menjemput saya.[IT]Pemulihan dinasti。		0	1	1		1		2		4	2	2		2		4												
48	Human	0	0	selamat	[NAME]adalah orang yang selamat dari pembantaian。Kapan[IT]Saat terbangun dari kota dengan tumpukan mayat dan lautan darah，Segala sesuatu di depanku menjadi[IT]Mimpi buruk seumur hidup。		0					2																HeartKnot					
49	Human	0	0	Kekurangan bawaan	[NAME]Orang tua adalah saudara kandung，Karena itu[IT]Terlahir dengan cacat bawaan。Ini membuat[IT]terlahir lemah，Dan hari-hari sulit didapat。		0		-3	1	1																	HealthOverdraft2					
50	Human	0	0	anak-anak dewasa sebelum waktunya	[NAME]Latar belakang keluarga kaya，Dia memiliki kulit yang bagus。Dia telah populer dengan lawan jenis sejak dia masih kecil.[IT]Jadi itu matang sangat awal，Mampu memahami jarak antar orang dengan mudah。		0			2					4													Affinity	BeautifulFace1				
51	Human	0	0	anak terlantar	[NAME]Sang ayah secara tidak sengaja membunuh putra seorang pengganggu setempat，untuk menghindari balas dendam，Dia tidak punya pilihan selain memulai jalan pengasingan bersama istrinya。\n[NAME]Kenangan masa kecil saya adalah berlarian saat lapar dan kenyang.。		0	1	1				2			2	2																
52	Human	0	0	Maling	[NAME]untuk bertahan hidup，Harus melakukan sesuatu yang licik，Namun hati nuraninya tetap utuh。\n[IT]Jarang mencuri dari orang miskin，Mereka juga sering memberikan apa yang mereka curi.[IT]anak kecil。		0	1					2				2																
53	Human	0	0	pencuri kecil	[NAME]adalah anggota geng pencurian。Karena[IT]Muda dan canggung，Sering dikritik dan dipukuli oleh anggota geng lainnya，mereka menaruh[IT]Tetap di sarang dan urus logistik。\nMemang itulah kenyataannya，Selama jangka waktu tertentu hukuman berat oleh pengadilan,，[IT]Bertahan karena keberuntungan。		0	-1			-1					2	2		3									Rugged					
54	Human	0	0	masa kecil dengan menunggang kuda	[NAME]Seorang anak dari suku nomaden。[IT]Tumbuh di atas kuda，Ikuti suku di padang rumput。\nPada hari kerja，[IT]Bertanggung jawab mengambil kotoran kuda dan membersihkan kandang kuda，Tetapi[IT]tidak menyukai pekerjaan ini。[ITS]Impiannya adalah menjadi pemburu terkuat。		0	2	1				4																				
55	Human	0	2	pengantin anak	[NAME]Dia dijual sebagai pengantin anak-anak kepada putra seorang tuan tanah yang bodoh di usia yang sangat muda.。Karena kecantikan alaminya，Masuk akal dan berperilaku baik，Sangat disukai oleh orang lain。\nHari-hari di rumah tuan tanah，[IT]mendapat pelatihan yang baik，Menguasai banyak keterampilan rumah tangga。Dipengaruhi oleh telinga dan mata，Juga akhirnya berbicara dengan elegan。		0		-1	2					2	2	2		2			2						Weak					
56	Human	0	0	anak gembala	[NAME]Lahir dari suku di pantai barat。[IT]Kawanan domba untuk suku tersebut bersama beberapa teman lainnya。\nAda reruntuhan di sebelah peternakan，Legenda mengatakan bahwa ada hantu yang menyebabkan masalah.。[NAME]Sering kabur saat menggembala domba，Pergi menjelajah sendirian di reruntuhan。		0		1																								
57	Human	0	0	Yatim piatu perang	[NAME]lahir di kota perbatasan。ada[IT]sangat muda，invasi asing，Dibantai[IT]kota kelahiran。[IT]Bertahan karena keberuntungan。\n[IT]Saya telah bersumpah sejak saya masih kecil，Anda harus bergabung dengan tentara untuk menaklukkan ras alien，pembalasan dendam。untuk tujuan ini，[IT]Selesaikan satu demi satu latihan yang mustahil dengan kemauan yang kuat。		0	2	2				5,2															Strong	Warrior				
58	Human	0	0	memulung anak-anak	[NAME]Kehilangan rumah mereka dalam perang。seperti kebanyakan anak lainnya，Mencari nafkah dengan memulung。\n[IT]Ramping dan fleksibel，Dia sering menyelinap ke tempat pembuangan sampah di daerah kaya untuk mengambil sisa-sisa barang berharga dan menjualnya untuk mendapatkan uang.。Ini membuat[IT]Akumulasi aset yang cukup sejak dini，Menjadi magang di toko kerajinan tangan。		0	1	-1		1											4						Craftsman					
59	Human	0	1	anak laki-laki di depan buddha	[NAME]Itu adalah anak laki-laki di kuil，Bertanggung jawab memegang lampu di depan Sang Buddha。Mendengarkan sutra dan memuji Buddha selama bertahun-tahun[IT]penuh spiritualitas，Kehidupan yang terisolasi dari dunia menghasilkan[IT]Tidak ada pikiran yang mengganggu。		0				1			4							2							GoodMentality	NoHair				
60	Human	0	0	Tao kecil	[NAME]Itu adalah anak laki-laki Tao，[IT]Saya telah mengikuti guru saya sejak saya masih kecil dan menjalani hidup saya dengan matahari dan bulan.，Menyaksikan awan dan hujan dan menjalani kehidupan yang tenang。\n[IT]Berbakat，Potensi yang dalam，Mencapai keadaan kesatuan antara manusia dan alam pada usia yang sangat muda，Meskipun[IT]tidak menyadarinya。		0				2	1		6														Anatman					
61	Human	0	1	Kosami	[NAME]Dia adalah seorang biksu pemula muda di sebuah kuil。[IT]Aktif secara alami，Dan rakus terhadap makanan dan minuman，Kehidupan miskin di kuil membuat[IT]Putus asa untuk hidup dalam kesakitan。\n[IT]Saya mencoba melarikan diri dari kuil lagi dan lagi，Namun mereka semua ditangkap oleh para biksu di kuil.。		0		1								4		4									NoHair					
62	Human	0	0	keajaiban puisi	[NAME]Membawa Su Hui，Lahir untuk berbicara，Miliki memori fotografis。[IT]berumur tiga tahun，Sebuah puisi pada usia lima tahun，Ia menjadi terkenal di dunia puisi pada usia tujuh tahun，disebut keajaiban。Semua sastrawan baik di pemerintahan maupun masyarakat tidak mengetahui namanya.。		0				3										6							Reader					
63	Human	0	0	landak	[NAME]Saya sangat nakal ketika saya masih kecil。Dia adalah orang provokatif yang terkenal dari seluruh negeri.，Terlepas dari apakah orang dewasa atau anak-anak menyebutkannya[IT]Semua orang merasakan sakit kepala。\nsekali[IT]tidak mematuhi disiplin，lari dari rumah，Tersesat di pegunungan。Tetapi[IT]Dia sebenarnya tinggal bersama monyet-monyet itu selama setengah bulan tanpa perawatan apa pun sebelum dia ditemukan oleh keluarganya.。		0	1	1			2																Rugged					
64	Human	0	0	anak durhaka	[NAME]Ayahnya adalah seorang sarjana tua，Sejak kecil[IT]Sangat ketat。Ini membuat[IT]Penuh semangat memberontak，Mencoba segala cara untuk membuat ayahnya marah。untuk tujuan ini[IT]Saya akan dipukuli setiap tiga hari.。		0		2												2												
65	Human	0	0	Anak-anak yang bersemangat	[NAME]Dia adalah anak yang lincah dan ramah。[IT]Saya tidak pernah takut pada orang asing sejak saya masih kecil，Ketika saya tumbuh dewasa, saya akan menjadi lebih fasih.。[ITS]Banyak orang dewasa merasa sulit menahan lidah yang tajam.。\n[NAME]Sangat populer di kalangan anak-anak sekitar，Sering mengajak anak-anak di kota naik gunung dan menuruni sungai，menimbulkan masalah。		0			2					4													Enthusiasm					
66	Human	0	0	masa kecil yang introvert	[NAME]Introvert sejak kecil。Saya tidak berani menemuinya kecuali orang tuanya[IT]rakyat。setiap kali seseorang mendekat[IT]，[IT]Anda akan sangat gugup dan bingung harus berbuat apa。\nada[IT]Ketika saya pertama kali masuk sekolah swasta，Karena teman sekelas lawan jenis menginginkannya[IT]mengucapkan sepatah kata pun，[IT]Dia sangat gugup hingga dia pingsan di tempat。		0								-4													Sensitive					
67	Human	0	0	percobaan sihir	[NAME]Dia diculik oleh seorang penggarap sekte jahat sejak dia masih kecil.，Digunakan sebagai bahan cadangan untuk mempraktikkan seni jahat dan disegel dengan sihir iblis。\nBelakangan, penggarap non-religius itu dibunuh oleh orang-orang baik.，[IT]telah diselamatkan。Tapi juga karena dia sudah lama disegel oleh sihir，[ITS]kerugian tubuh yang besar。		0		-3					6														HealthOverdraft1					
68	Human	0	1	gangster kecil	[NAME]Ayahnya adalah pengganggu lokal。[IT]Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.，dan nikmatilah itu。\nada[IT]Ketika saya berumur tujuh atau delapan tahun，[IT]Pinjam saja[ITS]Ketenaran sang ayah membentuk liga kejahatan muda，Sering bepergian bersama di pedesaan，sangat tidak disukai oleh masyarakat。		0		2	-1			4																				
69	Human	0	0	anak psikis	[NAME]Terlahir dengan sepasang mata yin dan yang，Dapat melihat hal-hal yang tidak dapat dilihat oleh orang normal。Namun kemampuan ini memungkinkan[IT]Cerukan dini yang banyak energi。[IT]sering sakit，Dan secara fisik lemah。\nada[IT]Ketika saya berumur sepuluh tahun, saya bertemu dengan seorang dokter pengembara，Dokter ini menggunakan akupunktur untuk[ITS]Segel mata Yin Yang，[ITS]Tubuh saya berangsur-angsur menjadi lebih sehat。		0		-1					6		2																	
70	Human	0	0	Menyenangkan	[NAME]Memiliki bakat bawaan，Itu untuk merasakan jiwa orang lain。Ini membuat[IT]Anda dapat dengan mudah mengikuti pemikiran orang lain dan memberikan respons yang paling tepat。\nada[IT]sangat muda，[IT]Anda dapat dengan terampil menggunakan kemampuan ini untuk memenangkan hati orang-orang di sekitar Anda.。		0								10													Affinity					
71	Human	0	1	Warisan Budha	[NAME]Lahir di sebuah tempat bernama Desa Caomiao，ada[IT]tujuh tahun，Seluruh desa dibunuh oleh penjahat。Seorang biksu tua yang lewat menyelamatkannya[IT]，dan diteruskan ke[IT]sebuah rumus，Menginstruksikan[IT]Latihan sehari-hari，tidak bisa memberitahu siapa pun。		0		2					6														GoodMentality					
72	Human	0	1	Jenius dengan Sayap Patah	[NAME]Lahir dalam keluarga seni bela diri，Dia awalnya adalah seorang jenius seni bela diri yang tiada tara。Namun di[IT]Tiba-tiba terjangkit penyakit aneh ketika dia berumur sebelas tahun，Kekuatan internal secara bertahap hilang，Budidaya menjadi sangat sulit。Gadis yang dinikahi seujung jari itu pun melamar untuk menyesali pernikahan tersebut.。\nPerubahan identitas membuat[IT]Rasakan semua kehangatan dan dinginnya，[IT]Saya bersumpah untuk mengambil kembali semua yang saya miliki。		0	2	2				6	-6														Warrior	Strong				
73	Human	0	1	Belajar dengan anak-anak	[NAME]Dia adalah anak pendamping seorang sarjana，Namun, sarjana ini berkali-kali gagal dalam ujian.，Meskipun mudah tersinggung, dia sering berkonfrontasi[IT]Memukuli dan memarahi。\n[NAME]tak tertahankan untuk dipermalukan，Akhirnya mengambil keputusan，Menyelinap di malam hujan。		0				1					2	4					2											
74	Human	0	0	orang kaya	[NAME]Orang tuanya adalah pengusaha terkenal di negeri ini，Bisnis yang sibuk，Keluar sepanjang tahun，berikan saja[IT]Tinggalkan banyak uang untuk hidup sendiri。\n[IT]Oleh karena itu, dia menjalani kehidupan yang mendominasi sejak dia masih kecil.，Kehidupan yang ceroboh。		0			1					2													HealthMaintain1					
75	Human	0	0	Yugioh!	[NAME]Secara alami cerdas dan aktif，Suka bersenang-senang dengan teman。ada[IT]ketika aku berumur sepuluh tahun，Terlepas dari teka-teki catur dan kartu，Atau Cuju melempar pot?，[IT]Semuanya baik-baik saja。Pertarungan kriket bahkan lebih seru lagi[ITS]Keterampilan unik，[IT]Jangkrik yang dipilih cenderung sangat tajam，Sedikit musuh。		0	1			1				4																		
76	Human	0	1	kutu buku	[NAME]Ayahnya adalah seorang sarjana，Saya belum pernah mengikuti Ujian Juren seumur hidup saya.，Semua harapan disematkan[IT]tubuh，Pengawasan harian[NAME]Latihan membaca。\n[IT]Sudah mengenal buku sejak kecil，Tidak dapat mendengar apa yang terjadi di luar jendela。Menjadi orang yang tidak berdaya，Seorang kutu buku yang tidak tahu apa-apa。		0	-1	-1	-1	1		-6								4							Weak					
77	Human	0	0	Ahli ketapel	[NAME]Ketika saya masih kecil, saya sangat pandai bermain ketapel.，Suku yang sering membuat onar ini gelisah。\nada[IT]Setelah tumbuh dewasa，Bertanggung jawab merawat ladang suku，Gunakan ketapel untuk mengusir binatang kecil yang datang mencari makanan。		0	1					4																				
